CPU 1 ubuntu,User%,Sys%,Wait%,Idle%,Steal%
2024-06-22 13:57:21,0.0,5.9,0.0,94.1,0.0
2024-06-22 13:57:22,52.5,6.9,0.0,40.6,0.0
2024-06-22 13:57:23,94.0,6.0,0.0,0.0,0.0
2024-06-22 13:57:24,80.8,18.2,0.0,1.0,0.0
2024-06-22 13:57:25,84.3,14.7,0.0,1.0,0.0
2024-06-22 13:57:26,84.8,13.1,0.0,2.0,0.0
2024-06-22 13:57:27,84.2,14.9,0.0,1.0,0.0
2024-06-22 13:57:28,85.0,14.0,0.0,1.0,0.0
2024-06-22 13:57:29,85.1,12.9,0.0,2.0,0.0
2024-06-22 13:57:30,85.0,13.0,0.0,2.0,0.0
2024-06-22 13:57:31,85.1,13.9,0.0,1.0,0.0
2024-06-22 13:57:32,87.0,12.0,0.0,1.0,0.0
2024-06-22 13:57:33,87.0,11.0,0.0,2.0,0.0
2024-06-22 13:57:34,84.8,14.1,0.0,1.0,0.0
2024-06-22 13:57:35,87.0,12.0,0.0,1.0,0.0
2024-06-22 13:57:36,86.3,11.8,0.0,2.0,0.0
2024-06-22 13:57:37,85.1,13.9,0.0,1.0,0.0
2024-06-22 13:57:38,86.0,12.0,0.0,2.0,0.0
2024-06-22 13:57:39,85.0,14.0,0.0,1.0,0.0
2024-06-22 13:57:40,85.0,14.0,0.0,1.0,0.0
2024-06-22 13:57:41,85.0,13.0,0.0,2.0,0.0
2024-06-22 13:57:42,86.1,12.9,0.0,1.0,0.0
2024-06-22 13:57:43,87.1,10.9,0.0,2.0,0.0
2024-06-22 13:57:44,85.0,14.0,0.0,1.0,0.0
2024-06-22 13:57:45,84.8,14.1,0.0,1.0,0.0
2024-06-22 13:57:46,85.1,12.9,0.0,2.0,0.0
2024-06-22 13:57:47,85.9,13.1,0.0,1.0,0.0
2024-06-22 13:57:48,84.2,13.9,0.0,2.0,0.0
2024-06-22 13:57:49,87.0,12.0,0.0,1.0,0.0
2024-06-22 13:57:50,86.1,12.9,0.0,1.0,0.0
2024-06-22 13:57:51,82.0,16.0,0.0,2.0,0.0
2024-06-22 13:57:52,83.7,15.3,0.0,1.0,0.0
2024-06-22 13:57:53,84.3,14.7,0.0,1.0,0.0
2024-06-22 13:57:54,87.1,10.9,0.0,2.0,0.0
2024-06-22 13:57:55,80.8,18.2,0.0,1.0,0.0
2024-06-22 13:57:56,80.0,18.0,0.0,2.0,0.0
2024-06-22 13:57:57,88.0,11.0,0.0,1.0,0.0
2024-06-22 13:57:58,87.1,11.9,0.0,1.0,0.0
2024-06-22 13:57:59,84.0,14.0,0.0,2.0,0.0
2024-06-22 13:58:00,82.2,16.8,0.0,1.0,0.0
2024-06-22 13:58:01,86.7,12.2,0.0,1.0,0.0
2024-06-22 13:58:02,88.0,10.0,0.0,2.0,0.0
2024-06-22 13:58:03,91.0,8.0,0.0,1.0,0.0
2024-06-22 13:58:04,85.9,13.1,0.0,1.0,0.0
2024-06-22 13:58:05,83.2,14.9,0.0,2.0,0.0
2024-06-22 13:58:06,86.3,12.7,0.0,1.0,0.0
2024-06-22 13:58:07,86.0,13.0,0.0,1.0,0.0
2024-06-22 13:58:08,87.0,12.0,0.0,1.0,0.0
2024-06-22 13:58:09,87.3,10.8,0.0,2.0,0.0
2024-06-22 13:58:10,67.0,9.3,0.0,23.7,0.0
2024-06-22 13:58:11,0.0,3.0,0.0,97.0,0.0
2024-06-22 13:58:12,0.0,4.0,0.0,96.0,0.0
2024-06-22 13:58:13,1.0,4.0,0.0,95.0,0.0
2024-06-22 13:58:14,0.0,4.9,0.0,95.1,0.0
2024-06-22 13:58:15,4.1,5.2,0.0,90.7,0.0
2024-06-22 13:58:16,0.0,3.0,0.0,97.0,0.0
2024-06-22 13:58:17,1.0,5.0,0.0,94.1,0.0
2024-06-22 13:58:18,1.0,3.0,0.0,96.0,0.0
2024-06-22 13:58:19,0.0,5.0,0.0,95.0,0.0
2024-06-22 13:58:20,0.0,1.0,0.0,99.0,0.0
2024-06-22 13:58:21,0.0,3.0,0.0,97.0,0.0
2024-06-22 13:58:22,1.0,3.0,0.0,96.0,0.0
2024-06-22 13:58:23,1.0,5.1,0.0,93.9,0.0
2024-06-22 13:58:24,1.0,3.9,0.0,95.1,0.0
2024-06-22 13:58:25,1.0,3.0,0.0,96.0,0.0
2024-06-22 13:58:26,0.0,2.0,0.0,98.0,0.0
2024-06-22 13:58:27,0.0,4.0,0.0,96.0,0.0
2024-06-22 13:58:28,0.0,5.8,0.0,94.2,0.0
2024-06-22 13:58:29,7.9,10.9,0.0,81.2,0.0
2024-06-22 13:58:30,0.0,3.0,0.0,97.0,0.0
