CPU Total ubuntu,User%,Sys%,Wait%,Idle%,Steal%,Busy,CPUs
2024-06-22 13:57:21,1.9,2.7,0.0,95.4,0.0,,8
2024-06-22 13:57:22,55.2,6.3,0.0,38.5,0.0,,8
2024-06-22 13:57:23,96.9,2.9,0.0,0.2,0.0,,8
2024-06-22 13:57:24,94.1,4.4,0.0,1.5,0.0,,8
2024-06-22 13:57:25,94.0,4.5,0.0,1.5,0.0,,8
2024-06-22 13:57:26,94.2,4.4,0.0,1.4,0.0,,8
2024-06-22 13:57:27,94.2,4.4,0.0,1.4,0.0,,8
2024-06-22 13:57:28,95.0,3.5,0.0,1.5,0.0,,8
2024-06-22 13:57:29,96.0,2.4,0.0,1.6,0.0,,8
2024-06-22 13:57:30,93.8,4.7,0.0,1.5,0.0,,8
2024-06-22 13:57:31,94.8,3.8,0.0,1.5,0.0,,8
2024-06-22 13:57:32,95.0,3.5,0.0,1.5,0.0,,8
2024-06-22 13:57:33,95.2,3.3,0.0,1.5,0.0,,8
2024-06-22 13:57:34,94.4,4.1,0.0,1.5,0.0,,8
2024-06-22 13:57:35,96.4,2.4,0.0,1.3,0.0,,8
2024-06-22 13:57:36,95.5,3.0,0.0,1.5,0.0,,8
2024-06-22 13:57:37,94.9,3.6,0.0,1.5,0.0,,8
2024-06-22 13:57:38,95.9,2.5,0.0,1.6,0.0,,8
2024-06-22 13:57:39,95.1,3.5,0.0,1.4,0.0,,8
2024-06-22 13:57:40,95.0,3.6,0.0,1.4,0.0,,8
2024-06-22 13:57:41,94.9,3.6,0.0,1.5,0.0,,8
2024-06-22 13:57:42,94.9,3.6,0.0,1.5,0.0,,8
2024-06-22 13:57:43,96.6,2.0,0.0,1.4,0.0,,8
2024-06-22 13:57:44,95.1,3.4,0.0,1.5,0.0,,8
2024-06-22 13:57:45,95.5,3.2,0.0,1.4,0.0,,8
2024-06-22 13:57:46,94.9,3.6,0.0,1.5,0.0,,8
2024-06-22 13:57:47,94.6,4.1,0.0,1.3,0.0,,8
2024-06-22 13:57:48,95.4,3.1,0.0,1.5,0.0,,8
2024-06-22 13:57:49,94.0,4.6,0.0,1.4,0.0,,8
2024-06-22 13:57:50,95.1,3.5,0.0,1.4,0.0,,8
2024-06-22 13:57:51,94.3,4.2,0.0,1.5,0.0,,8
2024-06-22 13:57:52,95.0,3.6,0.0,1.4,0.0,,8
2024-06-22 13:57:53,95.3,3.4,0.0,1.4,0.0,,8
2024-06-22 13:57:54,96.4,2.4,0.0,1.2,0.0,,8
2024-06-22 13:57:55,93.7,5.0,0.0,1.4,0.0,,8
2024-06-22 13:57:56,94.9,3.8,0.0,1.4,0.0,,8
2024-06-22 13:57:57,95.3,3.2,0.0,1.5,0.0,,8
2024-06-22 13:57:58,96.0,2.7,0.0,1.2,0.0,,8
2024-06-22 13:57:59,93.7,4.9,0.0,1.4,0.0,,8
2024-06-22 13:58:00,94.5,4.0,0.0,1.5,0.0,,8
2024-06-22 13:58:01,96.0,2.8,0.0,1.3,0.0,,8
2024-06-22 13:58:02,96.5,2.1,0.0,1.4,0.0,,8
2024-06-22 13:58:03,96.0,2.2,0.1,1.6,0.0,,8
2024-06-22 13:58:04,94.7,3.9,0.0,1.4,0.0,,8
2024-06-22 13:58:05,95.3,3.4,0.0,1.4,0.0,,8
2024-06-22 13:58:06,95.1,3.5,0.0,1.5,0.0,,8
2024-06-22 13:58:07,94.2,4.6,0.0,1.2,0.0,,8
2024-06-22 13:58:08,95.7,2.9,0.0,1.4,0.0,,8
2024-06-22 13:58:09,93.6,5.0,0.0,1.5,0.0,,8
2024-06-22 13:58:10,71.9,4.1,0.0,24.0,0.0,,8
2024-06-22 13:58:11,0.5,1.2,0.0,98.3,0.0,,8
2024-06-22 13:58:12,2.5,2.2,0.1,95.2,0.0,,8
2024-06-22 13:58:13,1.9,1.7,0.0,96.4,0.0,,8
2024-06-22 13:58:14,3.2,2.0,0.0,94.8,0.0,,8
2024-06-22 13:58:15,6.9,3.8,0.0,89.2,0.0,,8
2024-06-22 13:58:16,2.3,1.7,0.0,96.0,0.0,,8
2024-06-22 13:58:17,2.8,2.4,0.0,94.7,0.0,,8
2024-06-22 13:58:18,2.3,1.4,0.1,96.2,0.0,,8
2024-06-22 13:58:19,2.7,2.2,0.0,95.1,0.0,,8
2024-06-22 13:58:20,0.2,0.5,0.0,99.3,0.0,,8
2024-06-22 13:58:21,0.9,0.9,0.0,98.3,0.0,,8
2024-06-22 13:58:22,0.6,0.6,0.0,98.7,0.0,,8
2024-06-22 13:58:23,1.9,1.7,0.1,96.3,0.0,,8
2024-06-22 13:58:24,2.8,2.1,0.0,95.1,0.0,,8
2024-06-22 13:58:25,2.7,2.2,0.0,95.2,0.0,,8
2024-06-22 13:58:26,1.6,1.7,0.0,96.7,0.0,,8
2024-06-22 13:58:27,3.7,2.7,0.0,93.6,0.0,,8
2024-06-22 13:58:28,2.9,2.8,0.0,94.3,0.0,,8
2024-06-22 13:58:29,8.0,4.0,0.0,87.9,0.0,,8
2024-06-22 13:58:30,1.8,1.8,0.0,96.3,0.0,,8
