JFS Filespace %Used ubuntu,/,/dev,/run,/snap/core20/2267,/snap/core20/2321,/snap/snapd/21467,/snap/snapd/21761,/snap/sublime-text/138
2024-06-22 13:57:21,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:22,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:23,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:24,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:25,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:26,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:27,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:28,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:29,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:30,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:31,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:32,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:33,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:34,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:35,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:36,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:37,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:38,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:39,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:40,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:41,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:42,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:43,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:44,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:45,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:46,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:47,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:48,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:49,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:50,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:51,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:52,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:53,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:54,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:55,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:56,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:57,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:58,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:57:59,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:00,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:01,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:02,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:03,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:04,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:05,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:06,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:07,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:08,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:09,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:10,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:11,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:12,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:13,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:14,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:15,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:16,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:17,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:18,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:19,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:20,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:21,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:22,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:23,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:24,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:25,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:26,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:27,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:28,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:29,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 13:58:30,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
