Memory MB ubuntu,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
2024-06-22 13:57:21,30697.6,-0.0,-0.0,15348.8,17223.7,-0.0,-0.0,15348.8,33.9,10699.5,7883.8,-1.0,112.1,0.0,4001.4
2024-06-22 13:57:22,30697.6,-0.0,-0.0,15348.8,16990.8,-0.0,-0.0,15348.8,33.9,10699.2,7883.8,-1.0,112.1,0.0,4226.6
2024-06-22 13:57:23,30697.6,-0.0,-0.0,15348.8,16992.3,-0.0,-0.0,15348.8,33.9,10699.2,7883.8,-1.0,112.1,0.0,4227.3
2024-06-22 13:57:24,30697.6,-0.0,-0.0,15348.8,16991.5,-0.0,-0.0,15348.8,33.9,10699.2,7883.8,-1.0,112.1,0.0,4227.5
2024-06-22 13:57:25,30697.6,-0.0,-0.0,15348.8,16990.3,-0.0,-0.0,15348.8,33.9,10699.2,7883.8,-1.0,112.1,0.0,4227.5
2024-06-22 13:57:26,30697.6,-0.0,-0.0,15348.8,16989.3,-0.0,-0.0,15348.8,33.9,10699.2,7883.8,-1.0,112.1,0.0,4227.5
2024-06-22 13:57:27,30697.6,-0.0,-0.0,15348.8,16989.1,-0.0,-0.0,15348.8,33.9,10699.2,7883.8,-1.0,112.1,0.0,4227.5
2024-06-22 13:57:28,30697.6,-0.0,-0.0,15348.8,16988.4,-0.0,-0.0,15348.8,33.9,10699.2,7883.8,-1.0,112.1,0.0,4227.5
2024-06-22 13:57:29,30697.6,-0.0,-0.0,15348.8,16989.8,-0.0,-0.0,15348.8,33.9,10699.2,7883.8,-1.0,112.1,0.0,4227.5
2024-06-22 13:57:30,30697.6,-0.0,-0.0,15348.8,16989.1,-0.0,-0.0,15348.8,33.9,10699.2,7883.8,-1.0,112.1,0.0,4227.5
2024-06-22 13:57:31,30697.6,-0.0,-0.0,15348.8,16992.5,-0.0,-0.0,15348.8,33.9,10699.2,7883.8,-1.0,112.1,0.0,4227.6
2024-06-22 13:57:32,30697.6,-0.0,-0.0,15348.8,16991.8,-0.0,-0.0,15348.8,33.9,10699.2,7883.8,-1.0,112.1,0.0,4227.5
2024-06-22 13:57:33,30697.6,-0.0,-0.0,15348.8,16991.0,-0.0,-0.0,15348.8,33.9,10699.2,7883.8,-1.0,112.1,0.0,4227.6
2024-06-22 13:57:34,30697.6,-0.0,-0.0,15348.8,16990.3,-0.0,-0.0,15348.8,33.9,10699.3,7883.8,-1.0,112.1,0.0,4227.6
2024-06-22 13:57:35,30697.6,-0.0,-0.0,15348.8,16990.1,-0.0,-0.0,15348.8,33.9,10699.3,7883.8,-1.0,112.1,0.0,4227.6
2024-06-22 13:57:36,30697.6,-0.0,-0.0,15348.8,16989.3,-0.0,-0.0,15348.8,33.9,10699.3,7883.8,-1.0,112.1,0.0,4227.6
2024-06-22 13:57:37,30697.6,-0.0,-0.0,15348.8,16988.9,-0.0,-0.0,15348.8,33.9,10699.3,7883.8,-1.0,112.1,0.0,4227.6
2024-06-22 13:57:38,30697.6,-0.0,-0.0,15348.8,16988.1,-0.0,-0.0,15348.8,33.9,10699.3,7883.8,-1.0,112.1,0.0,4227.6
2024-06-22 13:57:39,30697.6,-0.0,-0.0,15348.8,16987.4,-0.0,-0.0,15348.8,33.9,10699.3,7883.8,-1.0,112.1,0.0,4227.6
2024-06-22 13:57:40,30697.6,-0.0,-0.0,15348.8,16989.3,-0.0,-0.0,15348.8,33.9,10699.3,7883.8,-1.0,112.1,0.0,4227.6
2024-06-22 13:57:41,30697.6,-0.0,-0.0,15348.8,16988.3,-0.0,-0.0,15348.8,33.9,10699.3,7883.8,-1.0,112.1,0.0,4227.7
2024-06-22 13:57:42,30697.6,-0.0,-0.0,15348.8,16988.0,-0.0,-0.0,15348.8,33.9,10699.3,7883.8,-1.0,112.1,0.0,4227.7
2024-06-22 13:57:43,30697.6,-0.0,-0.0,15348.8,16987.3,-0.0,-0.0,15348.8,33.9,10699.3,7883.8,-1.0,112.1,0.0,4227.7
2024-06-22 13:57:44,30697.6,-0.0,-0.0,15348.8,16986.8,-0.0,-0.0,15348.8,33.9,10699.4,7883.8,-1.0,112.1,0.0,4227.7
2024-06-22 13:57:45,30697.6,-0.0,-0.0,15348.8,16986.3,-0.0,-0.0,15348.8,33.9,10699.4,7883.8,-1.0,112.1,0.0,4227.7
2024-06-22 13:57:46,30697.6,-0.0,-0.0,15348.8,16985.8,-0.0,-0.0,15348.8,33.9,10699.4,7883.8,-1.0,112.1,0.0,4227.7
2024-06-22 13:57:47,30697.6,-0.0,-0.0,15348.8,16985.3,-0.0,-0.0,15348.8,33.9,10699.4,7883.8,-1.0,112.1,0.0,4227.7
2024-06-22 13:57:48,30697.6,-0.0,-0.0,15348.8,16985.1,-0.0,-0.0,15348.8,33.9,10699.4,7883.8,-1.0,112.1,0.0,4227.7
2024-06-22 13:57:49,30697.6,-0.0,-0.0,15348.8,16985.1,-0.0,-0.0,15348.8,33.9,10699.4,7883.8,-1.0,112.1,0.0,4227.7
2024-06-22 13:57:50,30697.6,-0.0,-0.0,15348.8,16984.9,-0.0,-0.0,15348.8,33.9,10699.4,7883.8,-1.0,112.1,0.0,4227.7
2024-06-22 13:57:51,30697.6,-0.0,-0.0,15348.8,16984.6,-0.0,-0.0,15348.8,33.9,10699.4,7883.8,-1.0,112.1,0.0,4227.8
2024-06-22 13:57:52,30697.6,-0.0,-0.0,15348.8,16984.6,-0.0,-0.0,15348.8,33.9,10699.4,7883.8,-1.0,112.1,0.0,4227.8
