Processes ubuntu,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2024-06-22 13:57:21,2,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:57:22,9,0,6849.2,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2024-06-22 13:57:23,9,0,2884.2,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0
2024-06-22 13:57:24,10,0,8827.3,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:25,9,0,5523.5,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:26,9,0,8424.2,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:57:27,9,0,6382.8,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:28,9,0,6312.9,-1.0,-1.0,-1.0,62.5,-1.0,-1.0,-1.0
2024-06-22 13:57:29,9,0,6161.2,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:30,9,0,6304.8,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:31,9,0,6139.3,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:32,9,0,6261.9,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:33,9,0,5618.3,-1.0,-1.0,-1.0,62.5,-1.0,-1.0,-1.0
2024-06-22 13:57:34,9,0,6280.6,-1.0,-1.0,-1.0,62.8,-1.0,-1.0,-1.0
2024-06-22 13:57:35,9,0,5946.9,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:57:36,9,0,6214.9,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:37,9,0,5929.3,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:38,9,0,5958.0,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:39,9,0,5741.8,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:40,9,0,6288.7,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:57:41,10,0,5944.7,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:42,10,0,5658.0,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:43,9,0,5906.7,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:57:44,10,0,6157.2,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:45,9,0,5645.1,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:57:46,9,0,5563.2,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:47,9,0,5565.8,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:57:48,9,0,5732.3,-1.0,-1.0,-1.0,62.5,-1.0,-1.0,-1.0
2024-06-22 13:57:49,9,0,6711.2,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:57:50,9,0,6053.2,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:57:51,13,0,6745.3,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:52,9,0,7568.9,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:57:53,9,0,6921.4,-1.0,-1.0,-1.0,55.6,-1.0,-1.0,-1.0
2024-06-22 13:57:54,9,0,5029.9,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:57:55,9,0,7235.8,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:57:56,9,0,8006.6,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:57:57,9,0,5790.3,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:57:58,9,0,5651.3,-1.0,-1.0,-1.0,55.6,-1.0,-1.0,-1.0
2024-06-22 13:57:59,9,0,5045.2,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:58:00,10,0,5965.2,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:58:01,9,0,5472.0,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:58:02,9,0,5583.1,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:58:03,9,0,6184.5,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:58:04,9,0,5546.1,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:58:05,9,0,4900.6,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:58:06,11,0,5261.6,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:58:07,9,0,6123.9,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:58:08,9,0,4972.8,-1.0,-1.0,-1.0,55.9,-1.0,-1.0,-1.0
2024-06-22 13:58:09,9,0,6820.6,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-06-22 13:58:10,1,0,8259.2,-1.0,-1.0,-1.0,34.9,-1.0,-1.0,-1.0
2024-06-22 13:58:11,1,0,3067.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:12,1,0,6562.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:13,3,0,3082.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:14,1,0,4106.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:15,1,0,10303.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:16,1,0,3746.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 13:58:17,1,0,5302.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
