CPU 2 ubuntu,User%,Sys%,Wait%,Idle%,Steal%
2024-06-22 12:49:39,3.3,1.7,0.0,95.0,0.0
2024-06-22 12:49:40,17.0,2.0,0.0,81.0,0.0
2024-06-22 12:49:41,99.0,1.0,0.0,0.0,0.0
2024-06-22 12:49:42,98.0,2.0,0.0,0.0,0.0
2024-06-22 12:49:43,95.0,3.0,0.0,2.0,0.0
2024-06-22 12:49:44,98.0,1.0,0.0,1.0,0.0
2024-06-22 12:49:45,96.0,2.0,0.0,2.0,0.0
2024-06-22 12:49:46,98.0,1.0,0.0,1.0,0.0
2024-06-22 12:49:47,94.1,4.0,0.0,2.0,0.0
2024-06-22 12:49:48,96.0,3.0,0.0,1.0,0.0
2024-06-22 12:49:49,95.1,2.9,0.0,2.0,0.0
2024-06-22 12:49:50,97.0,2.0,0.0,1.0,0.0
2024-06-22 12:49:51,97.0,1.0,0.0,2.0,0.0
2024-06-22 12:49:52,95.0,3.0,0.0,2.0,0.0
2024-06-22 12:49:53,96.0,3.0,0.0,1.0,0.0
2024-06-22 12:49:54,96.0,2.0,0.0,2.0,0.0
2024-06-22 12:49:55,99.0,0.0,0.0,1.0,0.0
2024-06-22 12:49:56,95.0,3.0,0.0,2.0,0.0
2024-06-22 12:49:57,98.0,1.0,0.0,1.0,0.0
2024-06-22 12:49:58,97.0,1.0,0.0,2.0,0.0
2024-06-22 12:49:59,96.1,2.9,0.0,1.0,0.0
2024-06-22 12:50:00,97.0,1.0,0.0,2.0,0.0
2024-06-22 12:50:01,98.0,1.0,0.0,1.0,0.0
2024-06-22 12:50:02,95.0,3.0,0.0,2.0,0.0
2024-06-22 12:50:03,97.0,2.0,0.0,1.0,0.0
2024-06-22 12:50:04,98.0,0.0,0.0,2.0,0.0
2024-06-22 12:50:05,95.1,2.9,0.0,2.0,0.0
2024-06-22 12:50:06,98.0,1.0,0.0,1.0,0.0
2024-06-22 12:50:07,92.0,6.0,0.0,2.0,0.0
2024-06-22 12:50:08,96.0,3.0,0.0,1.0,0.0
2024-06-22 12:50:09,95.1,2.9,0.0,2.0,0.0
2024-06-22 12:50:10,98.0,1.0,0.0,1.0,0.0
2024-06-22 12:50:11,95.1,2.9,0.0,1.9,0.0
2024-06-22 12:50:12,98.0,1.0,0.0,1.0,0.0
2024-06-22 12:50:13,96.0,2.0,0.0,2.0,0.0
2024-06-22 12:50:14,98.0,1.0,0.0,1.0,0.0
2024-06-22 12:50:15,96.1,2.0,0.0,2.0,0.0
2024-06-22 12:50:16,98.0,0.0,0.0,2.0,0.0
2024-06-22 12:50:17,98.0,1.0,0.0,1.0,0.0
2024-06-22 12:50:18,97.0,1.0,0.0,2.0,0.0
2024-06-22 12:50:19,94.9,4.0,0.0,1.0,0.0
2024-06-22 12:50:20,97.0,1.0,0.0,2.0,0.0
2024-06-22 12:50:21,99.0,0.0,0.0,1.0,0.0
2024-06-22 12:50:22,96.0,2.0,0.0,2.0,0.0
2024-06-22 12:50:23,96.0,2.0,0.0,2.0,0.0
2024-06-22 12:50:24,96.0,3.0,0.0,1.0,0.0
2024-06-22 12:50:25,97.0,1.0,0.0,2.0,0.0
2024-06-22 12:50:26,99.0,0.0,0.0,1.0,0.0
2024-06-22 12:50:27,97.0,2.0,0.0,1.0,0.0
2024-06-22 12:50:28,96.0,2.0,0.0,2.0,0.0
2024-06-22 12:50:29,97.0,2.0,0.0,1.0,0.0
2024-06-22 12:50:30,96.0,2.0,0.0,2.0,0.0
2024-06-22 12:50:31,97.0,2.0,0.0,1.0,0.0
2024-06-22 12:50:32,94.1,3.9,0.0,2.0,0.0
2024-06-22 12:50:33,98.0,1.0,0.0,1.0,0.0
2024-06-22 12:50:34,97.0,1.0,0.0,2.0,0.0
2024-06-22 12:50:35,96.0,2.0,0.0,2.0,0.0
2024-06-22 12:50:36,99.0,0.0,0.0,1.0,0.0
2024-06-22 12:50:37,97.1,1.0,0.0,2.0,0.0
2024-06-22 12:50:38,97.0,2.0,0.0,1.0,0.0
2024-06-22 12:50:39,96.1,2.0,0.0,2.0,0.0
2024-06-22 12:50:40,98.0,1.0,0.0,1.0,0.0
2024-06-22 12:50:41,96.0,2.0,0.0,2.0,0.0
2024-06-22 12:50:42,99.0,0.0,0.0,1.0,0.0
2024-06-22 12:50:43,96.1,1.9,0.0,1.9,0.0
2024-06-22 12:50:44,97.0,2.0,0.0,1.0,0.0
2024-06-22 12:50:45,97.0,1.0,0.0,2.0,0.0
2024-06-22 12:50:46,97.0,2.0,0.0,1.0,0.0
2024-06-22 12:50:47,96.0,2.0,0.0,2.0,0.0
2024-06-22 12:50:48,98.0,1.0,0.0,1.0,0.0
2024-06-22 12:50:49,95.1,2.9,0.0,2.0,0.0
2024-06-22 12:50:50,98.0,1.0,0.0,1.0,0.0
2024-06-22 12:50:51,98.0,0.0,0.0,2.0,0.0
2024-06-22 12:50:52,98.0,1.0,0.0,1.0,0.0
2024-06-22 12:50:53,97.0,1.0,0.0,2.0,0.0
2024-06-22 12:50:54,96.0,2.0,0.0,2.0,0.0
2024-06-22 12:50:55,97.1,2.0,0.0,1.0,0.0
2024-06-22 12:50:56,97.0,1.0,0.0,2.0,0.0
2024-06-22 12:50:57,98.0,1.0,0.0,1.0,0.0
2024-06-22 12:50:58,94.0,4.0,0.0,2.0,0.0
2024-06-22 12:50:59,96.0,3.0,0.0,1.0,0.0
2024-06-22 12:51:00,94.1,4.0,0.0,2.0,0.0
2024-06-22 12:51:01,72.0,2.0,0.0,26.0,0.0
2024-06-22 12:51:02,1.0,0.0,0.0,99.0,0.0
2024-06-22 12:51:03,0.0,0.0,0.0,100.0,0.0
2024-06-22 12:51:04,0.0,1.0,0.0,99.0,0.0
2024-06-22 12:51:05,0.0,0.0,0.0,100.0,0.0
2024-06-22 12:51:06,0.0,1.0,0.0,99.0,0.0
2024-06-22 12:51:07,1.0,0.0,0.0,99.0,0.0
2024-06-22 12:51:08,0.0,1.0,0.0,99.0,0.0
2024-06-22 12:51:09,0.0,1.0,0.0,99.0,0.0
2024-06-22 12:51:10,0.0,0.0,0.0,100.0,0.0
2024-06-22 12:51:11,1.0,0.0,0.0,99.0,0.0
2024-06-22 12:51:12,0.0,0.0,0.0,100.0,0.0
2024-06-22 12:51:13,1.0,1.0,0.0,98.0,0.0
2024-06-22 12:51:14,0.0,1.0,0.0,99.0,0.0
2024-06-22 12:51:15,0.0,1.0,0.0,99.0,0.0
2024-06-22 12:51:16,1.0,0.0,0.0,99.0,0.0
2024-06-22 12:51:17,0.0,1.0,0.0,99.0,0.0
2024-06-22 12:51:18,1.0,0.0,0.0,99.0,0.0
2024-06-22 12:51:19,0.0,0.0,0.0,100.0,0.0
2024-06-22 12:51:20,0.0,0.0,0.0,100.0,0.0
2024-06-22 12:51:21,1.0,0.0,0.0,99.0,0.0
2024-06-22 12:51:22,0.0,1.0,0.0,99.0,0.0
2024-06-22 12:51:23,0.0,0.0,0.0,100.0,0.0
2024-06-22 12:51:24,0.0,1.0,0.0,99.0,0.0
2024-06-22 12:51:25,2.0,0.0,0.0,98.0,0.0
2024-06-22 12:51:26,15.8,14.9,0.0,69.3,0.0
2024-06-22 12:51:27,0.0,0.0,0.0,100.0,0.0
2024-06-22 12:51:28,1.0,0.0,0.0,99.0,0.0
