CPU Total ubuntu,User%,Sys%,Wait%,Idle%,Steal%,Busy,CPUs
2024-06-22 12:49:39,6.0,3.1,0.0,90.9,0.0,,8
2024-06-22 12:49:40,23.7,6.4,0.0,70.0,0.0,,8
2024-06-22 12:49:41,96.9,2.5,0.0,0.6,0.0,,8
2024-06-22 12:49:42,97.8,2.2,0.0,0.0,0.0,,8
2024-06-22 12:49:43,95.2,3.1,0.1,1.5,0.0,,8
2024-06-22 12:49:44,96.3,2.5,0.0,1.2,0.0,,8
2024-06-22 12:49:45,97.0,1.8,0.0,1.3,0.0,,8
2024-06-22 12:49:46,96.5,2.2,0.0,1.2,0.0,,8
2024-06-22 12:49:47,95.5,3.2,0.0,1.2,0.0,,8
2024-06-22 12:49:48,95.5,3.3,0.0,1.3,0.0,,8
2024-06-22 12:49:49,96.4,2.4,0.0,1.2,0.0,,8
2024-06-22 12:49:50,95.4,3.4,0.0,1.2,0.0,,8
2024-06-22 12:49:51,95.2,3.3,0.0,1.5,0.0,,8
2024-06-22 12:49:52,95.3,3.4,0.0,1.4,0.0,,8
2024-06-22 12:49:53,95.7,3.0,0.1,1.2,0.0,,8
2024-06-22 12:49:54,95.7,3.0,0.0,1.3,0.0,,8
2024-06-22 12:49:55,96.6,2.1,0.0,1.2,0.0,,8
2024-06-22 12:49:56,95.6,3.1,0.0,1.2,0.0,,8
2024-06-22 12:49:57,96.2,2.5,0.0,1.2,0.0,,8
2024-06-22 12:49:58,95.6,3.1,0.0,1.2,0.0,,8
2024-06-22 12:49:59,95.3,3.3,0.0,1.4,0.0,,8
2024-06-22 12:50:00,95.2,3.5,0.0,1.3,0.0,,8
2024-06-22 12:50:01,96.9,1.9,0.0,1.2,0.0,,8
2024-06-22 12:50:02,95.5,3.3,0.0,1.3,0.0,,8
2024-06-22 12:50:03,96.2,2.6,0.0,1.2,0.0,,8
2024-06-22 12:50:04,97.4,1.4,0.0,1.2,0.0,,8
2024-06-22 12:50:05,96.6,2.1,0.0,1.2,0.0,,8
2024-06-22 12:50:06,96.6,2.1,0.0,1.2,0.0,,8
2024-06-22 12:50:07,95.5,3.1,0.0,1.4,0.0,,8
2024-06-22 12:50:08,96.1,2.6,0.0,1.3,0.0,,8
2024-06-22 12:50:09,95.9,2.9,0.0,1.2,0.0,,8
2024-06-22 12:50:10,96.4,2.4,0.0,1.3,0.0,,8
2024-06-22 12:50:11,95.6,3.1,0.0,1.2,0.0,,8
2024-06-22 12:50:12,96.1,2.4,0.0,1.5,0.0,,8
2024-06-22 12:50:13,95.9,2.9,0.0,1.2,0.0,,8
2024-06-22 12:50:14,96.1,2.6,0.0,1.2,0.0,,8
2024-06-22 12:50:15,96.4,2.4,0.0,1.2,0.0,,8
2024-06-22 12:50:16,96.2,2.4,0.0,1.4,0.0,,8
2024-06-22 12:50:17,96.9,1.9,0.0,1.3,0.0,,8
2024-06-22 12:50:18,95.8,3.0,0.0,1.2,0.0,,8
2024-06-22 12:50:19,93.9,4.6,0.0,1.5,0.0,,8
2024-06-22 12:50:20,95.9,2.9,0.0,1.3,0.0,,8
