JFS Filespace %Used ubuntu,/,/dev,/run,/snap/core20/2267,/snap/core20/2321,/snap/snapd/21467,/snap/snapd/21761,/snap/sublime-text/138
2024-06-22 12:49:39,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:40,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:41,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:42,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:43,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:44,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:45,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:46,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:47,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:48,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:49,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:50,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:51,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:52,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:53,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:54,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:55,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:56,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:57,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:58,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:49:59,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:00,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:01,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:02,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:03,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:04,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:05,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:06,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:07,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:08,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:09,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:10,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:11,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:12,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:13,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:14,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:15,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:16,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:17,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:18,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:19,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:20,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:21,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:22,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:23,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:24,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:25,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:26,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:27,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:28,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:29,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:30,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:31,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:32,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:33,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:34,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:35,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:36,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:37,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:38,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:39,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:40,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:41,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:42,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:43,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:44,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:45,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:46,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:47,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:48,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:49,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:50,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:51,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:52,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:53,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:54,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:55,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:56,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:57,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:58,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:50:59,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:00,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:01,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:02,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:03,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:04,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:05,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:06,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:07,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:08,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:09,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:10,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:11,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:12,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:13,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:14,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:15,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:16,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:17,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:18,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:19,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:20,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:21,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:22,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:23,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:24,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:25,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:26,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:27,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
2024-06-22 12:51:28,76.9,0.0,0.4,100.0,100.0,100.0,100.0,100.0
