Processes ubuntu,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2024-06-22 12:49:39,2,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 12:49:40,9,0,6089.2,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0
2024-06-22 12:49:41,9,0,1909.3,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0
2024-06-22 12:49:42,9,0,687.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-22 12:49:43,9,0,3906.3,-1.0,-1.0,-1.0,34.9,-1.0,-1.0,-1.0
2024-06-22 12:49:44,9,0,4149.2,-1.0,-1.0,-1.0,34.9,-1.0,-1.0,-1.0
2024-06-22 12:49:45,9,0,3955.8,-1.0,-1.0,-1.0,34.9,-1.0,-1.0,-1.0
2024-06-22 12:49:46,9,0,5692.7,-1.0,-1.0,-1.0,34.9,-1.0,-1.0,-1.0
2024-06-22 12:49:47,9,0,4893.4,-1.0,-1.0,-1.0,34.9,-1.0,-1.0,-1.0
2024-06-22 12:49:48,9,0,3917.7,-1.0,-1.0,-1.0,34.9,-1.0,-1.0,-1.0
2024-06-22 12:49:49,9,0,3662.3,-1.0,-1.0,-1.0,34.9,-1.0,-1.0,-1.0
2024-06-22 12:49:50,9,0,3704.6,-1.0,-1.0,-1.0,34.9,-1.0,-1.0,-1.0
2024-06-22 12:49:51,10,0,3901.1,-1.0,-1.0,-1.0,41.9,-1.0,-1.0,-1.0
2024-06-22 12:49:52,10,0,4004.5,-1.0,-1.0,-1.0,34.9,-1.0,-1.0,-1.0
2024-06-22 12:49:53,9,0,4297.7,-1.0,-1.0,-1.0,34.9,-1.0,-1.0,-1.0
2024-06-22 12:49:54,11,0,3978.5,-1.0,-1.0,-1.0,35.9,-1.0,-1.0,-1.0
2024-06-22 12:49:55,9,0,3823.9,-1.0,-1.0,-1.0,34.9,-1.0,-1.0,-1.0
2024-06-22 12:49:56,10,0,3750.0,-1.0,-1.0,-1.0,34.9,-1.0,-1.0,-1.0
2024-06-22 12:49:57,9,0,3624.3,-1.0,-1.0,-1.0,34.9,-1.0,-1.0,-1.0
2024-06-22 12:49:58,9,0,5737.7,-1.0,-1.0,-1.0,34.9,-1.0,-1.0,-1.0
2024-06-22 12:49:59,10,0,7259.8,-1.0,-1.0,-1.0,34.8,-1.0,-1.0,-1.0
