CPU 2 ubuntu,User%,Sys%,Wait%,Idle%,Steal%
2024-03-13 06:39:10,2.6,0.9,0.0,96.5,0.0
2024-03-13 06:39:11,68.0,0.0,0.0,32.0,0.0
2024-03-13 06:39:12,98.0,2.0,0.0,0.0,0.0
2024-03-13 06:39:13,14.0,0.0,0.0,86.0,0.0
2024-03-13 06:39:14,58.6,1.0,0.0,40.4,0.0
2024-03-13 06:39:15,5.9,1.0,0.0,93.1,0.0
2024-03-13 06:39:16,11.2,1.0,0.0,87.8,0.0
2024-03-13 06:39:17,10.8,2.0,0.0,87.3,0.0
2024-03-13 06:39:18,95.0,1.0,0.0,4.0,0.0
2024-03-13 06:39:19,10.1,1.0,0.0,88.9,0.0
2024-03-13 06:39:20,22.8,2.0,0.0,75.2,0.0
2024-03-13 06:39:21,1.0,1.0,0.0,98.0,0.0
2024-03-13 06:39:22,10.0,1.0,0.0,89.0,0.0
2024-03-13 06:39:23,46.5,0.0,0.0,53.5,0.0
2024-03-13 06:39:24,2.0,2.0,0.0,96.1,0.0
2024-03-13 06:39:25,12.0,1.0,0.0,87.0,0.0
2024-03-13 06:39:26,11.1,0.0,0.0,88.9,0.0
2024-03-13 06:39:27,0.0,0.0,0.0,100.0,0.0
2024-03-13 06:39:28,51.5,2.0,0.0,46.5,0.0
2024-03-13 06:39:29,28.3,0.0,0.0,71.7,0.0
2024-03-13 06:39:30,11.0,0.0,0.0,89.0,0.0
2024-03-13 06:39:31,33.0,1.0,0.0,66.0,0.0
2024-03-13 06:39:32,78.0,0.0,0.0,22.0,0.0
2024-03-13 06:39:33,36.6,1.0,0.0,62.4,0.0
2024-03-13 06:39:34,65.0,1.0,0.0,34.0,0.0
2024-03-13 06:39:35,25.7,1.0,0.0,73.3,0.0
2024-03-13 06:39:36,35.0,0.0,0.0,65.0,0.0
2024-03-13 06:39:37,34.3,0.0,0.0,65.7,0.0
2024-03-13 06:39:38,57.4,1.0,0.0,41.6,0.0
2024-03-13 06:39:39,0.0,0.0,0.0,100.0,0.0
2024-03-13 06:39:40,0.0,1.0,0.0,99.0,0.0
2024-03-13 06:39:41,0.0,1.0,0.0,99.0,0.0
2024-03-13 06:39:42,0.0,0.0,0.0,100.0,0.0
2024-03-13 06:39:43,0.0,0.0,0.0,100.0,0.0
2024-03-13 06:39:44,1.0,0.0,0.0,99.0,0.0
2024-03-13 06:39:45,1.0,2.0,0.0,97.0,0.0
2024-03-13 06:39:46,0.0,0.0,0.0,100.0,0.0
2024-03-13 06:39:47,10.0,2.0,0.0,88.0,0.0
2024-03-13 06:39:48,3.0,0.0,0.0,97.0,0.0
2024-03-13 06:39:49,0.0,1.0,0.0,99.0,0.0
2024-03-13 06:39:50,0.0,3.0,0.0,97.0,0.0
2024-03-13 06:39:51,0.0,0.0,0.0,100.0,0.0
2024-03-13 06:39:52,0.0,0.0,0.0,100.0,0.0
2024-03-13 06:39:53,0.0,0.0,0.0,100.0,0.0
2024-03-13 06:39:54,0.0,0.0,0.0,100.0,0.0
2024-03-13 06:39:55,0.0,0.0,0.0,100.0,0.0
2024-03-13 06:39:56,2.0,1.0,0.0,97.0,0.0
2024-03-13 06:39:57,0.0,0.0,0.0,100.0,0.0
2024-03-13 06:39:58,2.0,1.0,0.0,97.0,0.0
2024-03-13 06:39:59,3.0,1.0,0.0,96.0,0.0
