CPU Total ubuntu,User%,Sys%,Wait%,Idle%,Steal%,Busy,CPUs
2024-03-13 06:39:10,3.3,2.8,0.0,93.9,0.0,,8
2024-03-13 06:39:11,36.2,2.7,0.0,61.0,0.0,,8
2024-03-13 06:39:12,49.9,0.3,0.0,49.9,0.0,,8
2024-03-13 06:39:13,49.3,1.2,0.0,49.4,0.0,,8
2024-03-13 06:39:14,49.1,1.2,0.0,49.6,0.0,,8
2024-03-13 06:39:15,49.0,1.5,0.0,49.5,0.0,,8
2024-03-13 06:39:16,49.6,0.9,0.0,49.6,0.0,,8
2024-03-13 06:39:17,49.7,1.2,0.0,49.1,0.0,,8
2024-03-13 06:39:18,48.8,1.6,0.0,49.6,0.0,,8
2024-03-13 06:39:19,48.9,1.5,0.1,49.4,0.0,,8
2024-03-13 06:39:20,48.8,1.4,0.0,49.8,0.0,,8
2024-03-13 06:39:21,48.9,1.4,0.0,49.7,0.0,,8
2024-03-13 06:39:22,48.9,1.1,0.0,50.0,0.0,,8
2024-03-13 06:39:23,49.1,1.5,0.0,49.4,0.0,,8
2024-03-13 06:39:24,49.1,1.2,0.0,49.6,0.0,,8
2024-03-13 06:39:25,48.3,2.2,0.0,49.5,0.0,,8
2024-03-13 06:39:26,48.8,1.4,0.0,49.8,0.0,,8
2024-03-13 06:39:27,49.3,1.1,0.0,49.6,0.0,,8
2024-03-13 06:39:28,49.1,1.4,0.0,49.5,0.0,,8
2024-03-13 06:39:29,49.2,0.8,0.1,49.9,0.0,,8
2024-03-13 06:39:30,48.9,1.5,0.0,49.6,0.0,,8
2024-03-13 06:39:31,48.9,1.3,0.0,49.9,0.0,,8
2024-03-13 06:39:32,49.4,1.5,0.0,49.1,0.0,,8
2024-03-13 06:39:33,49.2,0.9,0.0,49.9,0.0,,8
2024-03-13 06:39:34,49.2,1.4,0.0,49.4,0.0,,8
2024-03-13 06:39:35,49.2,1.2,0.0,49.6,0.0,,8
2024-03-13 06:39:36,49.2,1.2,0.0,49.5,0.0,,8
2024-03-13 06:39:37,49.0,1.3,0.0,49.7,0.0,,8
2024-03-13 06:39:38,47.1,2.0,0.0,50.9,0.0,,8
2024-03-13 06:39:39,1.0,1.0,0.0,98.0,0.0,,8
2024-03-13 06:39:40,0.2,0.7,0.1,98.9,0.0,,8
2024-03-13 06:39:41,0.0,0.4,0.0,99.6,0.0,,8
2024-03-13 06:39:42,0.4,0.5,0.0,99.1,0.0,,8
2024-03-13 06:39:43,0.4,0.9,0.0,98.7,0.0,,8
2024-03-13 06:39:44,0.3,0.6,0.0,99.1,0.0,,8
2024-03-13 06:39:45,0.6,1.4,0.1,97.9,0.0,,8
2024-03-13 06:39:46,1.3,0.8,0.0,98.0,0.0,,8
2024-03-13 06:39:47,5.6,2.6,0.0,91.7,0.0,,8
2024-03-13 06:39:48,2.5,2.1,0.0,95.4,0.0,,8
2024-03-13 06:39:49,0.1,0.8,0.0,99.1,0.0,,8
2024-03-13 06:39:50,1.1,2.0,0.1,96.7,0.0,,8
2024-03-13 06:39:51,2.3,1.5,0.0,96.2,0.0,,8
2024-03-13 06:39:52,0.4,0.5,0.0,99.1,0.0,,8
2024-03-13 06:39:53,0.0,1.0,0.0,99.0,0.0,,8
2024-03-13 06:39:54,0.1,0.5,0.0,99.4,0.0,,8
2024-03-13 06:39:55,1.0,1.3,0.1,97.6,0.0,,8
2024-03-13 06:39:56,1.4,1.5,0.0,97.1,0.0,,8
2024-03-13 06:39:57,0.3,0.6,0.0,99.1,0.0,,8
2024-03-13 06:39:58,2.0,1.6,0.0,96.4,0.0,,8
2024-03-13 06:39:59,1.4,2.0,0.0,96.6,0.0,,8
