Memory MB ubuntu,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
2024-03-13 06:39:10,30697.6,-0.0,-0.0,15348.8,18693.1,-0.0,-0.0,15348.8,40.9,8425.9,4825.6,-1.0,243.3,0.0,5010.0
2024-03-13 06:39:11,30697.6,-0.0,-0.0,15348.8,18442.3,-0.0,-0.0,15348.8,40.9,8425.7,4825.6,-1.0,243.3,0.0,5249.9
2024-03-13 06:39:12,30697.6,-0.0,-0.0,15348.8,18444.3,-0.0,-0.0,15348.8,40.9,8425.8,4825.6,-1.0,243.3,0.0,5251.9
2024-03-13 06:39:13,30697.6,-0.0,-0.0,15348.8,18445.8,-0.0,-0.0,15348.8,40.9,8425.8,4825.6,-1.0,243.3,0.0,5252.0
2024-03-13 06:39:14,30697.6,-0.0,-0.0,15348.8,18447.3,-0.0,-0.0,15348.8,40.9,8425.8,4825.6,-1.0,243.3,0.0,5252.0
2024-03-13 06:39:15,30697.6,-0.0,-0.0,15348.8,18447.1,-0.0,-0.0,15348.8,40.9,8425.8,4825.6,-1.0,243.3,0.0,5252.0
2024-03-13 06:39:16,30697.6,-0.0,-0.0,15348.8,18446.8,-0.0,-0.0,15348.8,40.9,8425.8,4825.6,-1.0,243.3,0.0,5252.0
2024-03-13 06:39:17,30697.6,-0.0,-0.0,15348.8,18446.6,-0.0,-0.0,15348.8,40.9,8425.8,4825.6,-1.0,243.3,0.0,5252.0
2024-03-13 06:39:18,30697.6,-0.0,-0.0,15348.8,18446.6,-0.0,-0.0,15348.8,40.9,8425.8,4825.6,-1.0,243.3,0.0,5252.0
2024-03-13 06:39:19,30697.6,-0.0,-0.0,15348.8,18446.6,-0.0,-0.0,15348.8,40.9,8425.8,4825.6,-1.0,243.3,0.0,5252.0
2024-03-13 06:39:20,30697.6,-0.0,-0.0,15348.8,18446.3,-0.0,-0.0,15348.8,40.9,8425.8,4825.6,-1.0,243.3,0.0,5252.0
2024-03-13 06:39:21,30697.6,-0.0,-0.0,15348.8,18446.1,-0.0,-0.0,15348.8,40.9,8425.8,4825.6,-1.0,243.3,0.0,5252.0
2024-03-13 06:39:22,30697.6,-0.0,-0.0,15348.8,18445.8,-0.0,-0.0,15348.8,40.9,8425.8,4825.6,-1.0,243.3,0.0,5252.0
2024-03-13 06:39:23,30697.6,-0.0,-0.0,15348.8,18446.3,-0.0,-0.0,15348.8,40.9,8425.8,4825.6,-1.0,243.3,0.0,5252.0
2024-03-13 06:39:24,30697.6,-0.0,-0.0,15348.8,18446.1,-0.0,-0.0,15348.8,40.9,8425.9,4825.6,-1.0,243.3,0.0,5252.0
2024-03-13 06:39:25,30697.6,-0.0,-0.0,15348.8,18445.6,-0.0,-0.0,15348.8,40.9,8425.9,4825.6,-1.0,243.3,0.0,5252.0
2024-03-13 06:39:26,30697.6,-0.0,-0.0,15348.8,18445.6,-0.0,-0.0,15348.8,40.9,8425.9,4825.6,-1.0,243.3,0.0,5252.0
2024-03-13 06:39:27,30697.6,-0.0,-0.0,15348.8,18445.6,-0.0,-0.0,15348.8,40.9,8425.9,4825.6,-1.0,243.3,0.0,5252.1
2024-03-13 06:39:28,30697.6,-0.0,-0.0,15348.8,18445.1,-0.0,-0.0,15348.8,40.9,8425.9,4825.6,-1.0,243.3,0.0,5252.1
2024-03-13 06:39:29,30697.6,-0.0,-0.0,15348.8,18445.3,-0.0,-0.0,15348.8,40.9,8425.9,4825.6,-1.0,243.3,0.0,5252.1
2024-03-13 06:39:30,30697.6,-0.0,-0.0,15348.8,18444.8,-0.0,-0.0,15348.8,40.9,8425.9,4825.6,-1.0,243.3,0.0,5252.1
2024-03-13 06:39:31,30697.6,-0.0,-0.0,15348.8,18445.3,-0.0,-0.0,15348.8,40.9,8425.9,4825.6,-1.0,243.3,0.0,5252.1
2024-03-13 06:39:32,30697.6,-0.0,-0.0,15348.8,18445.1,-0.0,-0.0,15348.8,40.9,8425.9,4825.6,-1.0,243.3,0.0,5252.1
2024-03-13 06:39:33,30697.6,-0.0,-0.0,15348.8,18444.6,-0.0,-0.0,15348.8,40.9,8425.9,4825.6,-1.0,243.3,0.0,5252.1
2024-03-13 06:39:34,30697.6,-0.0,-0.0,15348.8,18444.6,-0.0,-0.0,15348.8,40.9,8425.9,4825.6,-1.0,243.3,0.0,5252.1
