Processes ubuntu,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2024-03-13 06:39:10,2,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:11,5,0,3344.6,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0
2024-03-13 06:39:12,5,0,887.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:13,5,0,4124.5,-1.0,-1.0,-1.0,26.9,-1.0,-1.0,-1.0
2024-03-13 06:39:14,5,0,4189.3,-1.0,-1.0,-1.0,27.0,-1.0,-1.0,-1.0
2024-03-13 06:39:15,6,0,4243.3,-1.0,-1.0,-1.0,26.9,-1.0,-1.0,-1.0
2024-03-13 06:39:16,5,0,3873.3,-1.0,-1.0,-1.0,23.9,-1.0,-1.0,-1.0
2024-03-13 06:39:17,5,0,4563.5,-1.0,-1.0,-1.0,26.9,-1.0,-1.0,-1.0
2024-03-13 06:39:18,6,0,3995.0,-1.0,-1.0,-1.0,27.0,-1.0,-1.0,-1.0
2024-03-13 06:39:19,5,0,4446.5,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0
2024-03-13 06:39:20,5,0,4335.0,-1.0,-1.0,-1.0,27.0,-1.0,-1.0,-1.0
2024-03-13 06:39:21,5,0,4818.8,-1.0,-1.0,-1.0,26.9,-1.0,-1.0,-1.0
2024-03-13 06:39:22,5,0,4070.6,-1.0,-1.0,-1.0,27.0,-1.0,-1.0,-1.0
2024-03-13 06:39:23,5,0,4216.2,-1.0,-1.0,-1.0,23.9,-1.0,-1.0,-1.0
2024-03-13 06:39:24,5,0,4469.3,-1.0,-1.0,-1.0,26.9,-1.0,-1.0,-1.0
2024-03-13 06:39:25,5,0,4411.0,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0
2024-03-13 06:39:26,5,0,4326.5,-1.0,-1.0,-1.0,27.0,-1.0,-1.0,-1.0
2024-03-13 06:39:27,6,0,4470.0,-1.0,-1.0,-1.0,27.0,-1.0,-1.0,-1.0
2024-03-13 06:39:28,5,0,4439.5,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0
2024-03-13 06:39:29,5,0,4026.7,-1.0,-1.0,-1.0,27.0,-1.0,-1.0,-1.0
2024-03-13 06:39:30,5,0,4511.7,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0
2024-03-13 06:39:31,5,0,4189.2,-1.0,-1.0,-1.0,26.9,-1.0,-1.0,-1.0
2024-03-13 06:39:32,5,0,4451.7,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0
2024-03-13 06:39:33,6,0,4083.5,-1.0,-1.0,-1.0,27.0,-1.0,-1.0,-1.0
2024-03-13 06:39:34,5,0,4403.8,-1.0,-1.0,-1.0,23.9,-1.0,-1.0,-1.0
2024-03-13 06:39:35,5,0,4224.6,-1.0,-1.0,-1.0,26.9,-1.0,-1.0,-1.0
2024-03-13 06:39:36,5,0,4499.4,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0
2024-03-13 06:39:37,5,0,4151.5,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0
2024-03-13 06:39:38,2,0,4878.5,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0
2024-03-13 06:39:39,1,0,1943.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:40,1,0,1508.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:41,1,0,1371.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:42,1,0,2582.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:43,1,0,3407.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:44,1,0,3525.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:45,2,0,3539.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:46,1,0,3387.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:47,3,0,7939.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:48,1,0,7772.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-03-13 06:39:49,1,0,2736.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-03-13 06:39:50,1,0,6602.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:51,1,0,5676.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:52,1,0,3316.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:53,1,0,1489.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:54,1,0,910.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:55,1,0,2739.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:56,1,0,5085.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:57,1,0,3226.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-13 06:39:58,1,0,4691.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
2024-03-13 06:39:59,1,0,7132.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
