CPU 3 ubuntu,User%,Sys%,Wait%,Idle%,Steal%
2024-03-26 16:11:59,0.8,0.8,0.0,98.4,0.0
2024-03-26 16:12:01,0.5,1.5,0.0,98.0,0.0
2024-03-26 16:12:03,13.5,1.0,0.0,85.5,0.0
2024-03-26 16:12:05,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:12:07,98.0,2.0,0.0,0.0,0.0
2024-03-26 16:12:09,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:12:11,98.0,2.0,0.0,0.0,0.0
2024-03-26 16:12:13,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:12:15,99.0,1.0,0.0,0.0,0.0
2024-03-26 16:12:17,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:12:19,98.0,2.0,0.0,0.0,0.0
2024-03-26 16:12:21,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:12:23,99.5,0.5,0.0,0.0,0.0
2024-03-26 16:12:25,97.5,2.5,0.0,0.0,0.0
2024-03-26 16:12:27,98.0,2.0,0.0,0.0,0.0
2024-03-26 16:12:29,99.5,0.5,0.0,0.0,0.0
2024-03-26 16:12:31,98.0,2.0,0.0,0.0,0.0
2024-03-26 16:12:33,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:12:35,98.0,2.0,0.0,0.0,0.0
2024-03-26 16:12:37,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:12:39,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:12:41,99.0,1.0,0.0,0.0,0.0
2024-03-26 16:12:43,98.0,2.0,0.0,0.0,0.0
2024-03-26 16:12:45,97.5,2.5,0.0,0.0,0.0
2024-03-26 16:12:47,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:12:49,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:12:51,97.0,3.0,0.0,0.0,0.0
2024-03-26 16:12:53,99.0,1.0,0.0,0.0,0.0
2024-03-26 16:12:55,99.5,0.5,0.0,0.0,0.0
2024-03-26 16:12:57,99.0,1.0,0.0,0.0,0.0
2024-03-26 16:12:59,21.5,1.0,0.0,77.5,0.0
2024-03-26 16:13:01,0.0,0.5,0.0,99.5,0.0
2024-03-26 16:13:03,0.0,0.5,0.0,99.5,0.0
2024-03-26 16:13:05,0.0,0.0,0.0,100.0,0.0
2024-03-26 16:13:07,0.5,0.0,0.0,99.5,0.0
2024-03-26 16:13:09,0.0,1.0,0.0,99.0,0.0
2024-03-26 16:13:11,0.0,0.0,0.0,100.0,0.0
2024-03-26 16:13:13,0.5,0.0,0.0,99.5,0.0
2024-03-26 16:13:15,0.0,1.0,0.5,98.5,0.0
2024-03-26 16:13:17,0.0,0.0,0.0,100.0,0.0
2024-03-26 16:13:19,0.0,0.0,0.0,100.0,0.0
2024-03-26 16:13:21,0.5,0.5,0.5,98.5,0.0
2024-03-26 16:13:23,0.0,0.0,0.0,100.0,0.0
2024-03-26 16:13:25,0.0,0.5,0.0,99.5,0.0
2024-03-26 16:13:27,0.0,1.5,0.0,98.5,0.0
2024-03-26 16:13:29,1.0,0.5,0.0,98.5,0.0
2024-03-26 16:13:31,0.0,0.5,0.5,99.0,0.0
2024-03-26 16:13:33,0.0,0.0,0.0,100.0,0.0
2024-03-26 16:13:35,0.0,1.0,0.0,99.0,0.0
2024-03-26 16:13:37,0.0,0.0,0.0,100.0,0.0
2024-03-26 16:13:39,0.0,1.5,0.0,98.5,0.0
2024-03-26 16:13:41,0.5,0.5,0.5,98.5,0.0
2024-03-26 16:13:43,0.0,0.0,0.0,100.0,0.0
2024-03-26 16:13:45,0.5,1.0,0.0,98.5,0.0
2024-03-26 16:13:47,0.0,0.5,0.0,99.5,0.0
2024-03-26 16:13:49,0.0,0.5,0.0,99.5,0.0
2024-03-26 16:13:51,0.0,0.0,0.5,99.5,0.0
2024-03-26 16:13:53,43.0,1.0,0.0,56.0,0.0
2024-03-26 16:13:55,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:13:57,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:13:59,99.0,1.0,0.0,0.0,0.0
2024-03-26 16:14:01,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:14:03,99.0,1.0,0.0,0.0,0.0
2024-03-26 16:14:05,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:14:07,99.0,1.0,0.0,0.0,0.0
2024-03-26 16:14:09,99.0,1.0,0.0,0.0,0.0
2024-03-26 16:14:11,97.5,2.5,0.0,0.0,0.0
2024-03-26 16:14:13,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:14:15,98.0,2.0,0.0,0.0,0.0
2024-03-26 16:14:17,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:14:19,98.0,2.0,0.0,0.0,0.0
2024-03-26 16:14:21,98.0,2.0,0.0,0.0,0.0
2024-03-26 16:14:23,99.0,1.0,0.0,0.0,0.0
2024-03-26 16:14:25,97.5,2.5,0.0,0.0,0.0
2024-03-26 16:14:27,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:14:29,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:14:31,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:14:33,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:14:35,99.0,1.0,0.0,0.0,0.0
2024-03-26 16:14:37,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:14:39,98.0,2.0,0.0,0.0,0.0
2024-03-26 16:14:41,99.0,1.0,0.0,0.0,0.0
2024-03-26 16:14:43,98.5,1.5,0.0,0.0,0.0
2024-03-26 16:14:45,100.0,0.0,0.0,0.0,0.0
2024-03-26 16:14:47,78.7,1.5,0.0,19.8,0.0
2024-03-26 16:14:49,0.5,0.5,0.0,99.0,0.0
2024-03-26 16:14:51,0.0,0.0,0.0,100.0,0.0
2024-03-26 16:14:53,0.0,0.5,0.0,99.5,0.0
