CPU Total ubuntu,User%,Sys%,Wait%,Idle%,Steal%,Busy,CPUs
2024-03-26 16:11:59,1.3,1.8,0.1,96.8,0.0,,8
2024-03-26 16:12:01,2.6,1.1,0.0,96.3,0.0,,8
2024-03-26 16:12:03,16.9,1.4,0.0,81.8,0.0,,8
2024-03-26 16:12:05,49.3,1.2,0.1,49.4,0.0,,8
2024-03-26 16:12:07,49.4,0.9,0.0,49.7,0.0,,8
2024-03-26 16:12:09,49.6,0.8,0.0,49.6,0.0,,8
2024-03-26 16:12:11,49.3,1.1,0.0,49.6,0.0,,8
2024-03-26 16:12:13,49.7,0.6,0.0,49.7,0.0,,8
2024-03-26 16:12:15,49.6,0.9,0.1,49.4,0.0,,8
2024-03-26 16:12:17,49.8,0.6,0.0,49.7,0.0,,8
2024-03-26 16:12:19,49.3,1.1,0.1,49.5,0.0,,8
2024-03-26 16:12:21,49.6,0.7,0.0,49.7,0.0,,8
2024-03-26 16:12:23,49.8,0.7,0.0,49.5,0.0,,8
2024-03-26 16:12:25,49.4,0.9,0.1,49.6,0.0,,8
2024-03-26 16:12:27,49.4,1.0,0.0,49.6,0.0,,8
2024-03-26 16:12:29,49.8,0.6,0.0,49.7,0.0,,8
2024-03-26 16:12:31,49.6,0.9,0.0,49.5,0.0,,8
2024-03-26 16:12:33,49.4,0.9,0.0,49.7,0.0,,8
2024-03-26 16:12:35,49.6,0.8,0.1,49.5,0.0,,8
2024-03-26 16:12:37,49.4,0.9,0.0,49.6,0.0,,8
2024-03-26 16:12:39,49.5,0.9,0.0,49.6,0.0,,8
2024-03-26 16:12:41,49.8,0.6,0.0,49.6,0.0,,8
2024-03-26 16:12:43,49.7,0.7,0.0,49.6,0.0,,8
2024-03-26 16:12:45,49.3,1.1,0.1,49.5,0.0,,8
2024-03-26 16:12:47,49.5,0.8,0.0,49.7,0.0,,8
2024-03-26 16:12:49,49.6,0.7,0.1,49.6,0.0,,8
2024-03-26 16:12:51,49.3,1.2,0.0,49.5,0.0,,8
2024-03-26 16:12:53,49.5,0.8,0.0,49.7,0.0,,8
2024-03-26 16:12:55,49.8,0.4,0.0,49.8,0.0,,8
2024-03-26 16:12:57,49.9,0.4,0.0,49.7,0.0,,8
2024-03-26 16:12:59,49.2,1.0,0.1,49.8,0.0,,8
2024-03-26 16:13:01,49.8,0.9,0.0,49.4,0.0,,8
2024-03-26 16:13:03,49.5,0.8,0.0,49.7,0.0,,8
2024-03-26 16:13:05,49.2,1.2,0.1,49.5,0.0,,8
2024-03-26 16:13:07,49.6,0.8,0.0,49.6,0.0,,8
2024-03-26 16:13:09,49.5,1.2,0.1,49.2,0.0,,8
2024-03-26 16:13:11,49.7,0.6,0.0,49.7,0.0,,8
2024-03-26 16:13:13,49.2,1.1,0.0,49.7,0.0,,8
2024-03-26 16:13:15,49.4,1.1,0.1,49.5,0.0,,8
2024-03-26 16:13:17,49.1,1.3,0.0,49.7,0.0,,8
2024-03-26 16:13:19,49.8,0.6,0.0,49.6,0.0,,8
2024-03-26 16:13:21,49.7,0.7,0.0,49.6,0.0,,8
2024-03-26 16:13:23,49.6,0.7,0.0,49.7,0.0,,8
2024-03-26 16:13:25,49.5,0.8,0.1,49.6,0.0,,8
2024-03-26 16:13:27,49.6,0.9,0.0,49.5,0.0,,8
2024-03-26 16:13:29,49.9,1.2,0.0,48.9,0.0,,8
2024-03-26 16:13:31,49.9,1.3,0.1,48.8,0.0,,8
2024-03-26 16:13:33,49.4,1.1,0.0,49.5,0.0,,8
2024-03-26 16:13:35,49.6,1.8,0.0,48.7,0.0,,8
2024-03-26 16:13:37,49.5,0.9,0.0,49.6,0.0,,8
2024-03-26 16:13:39,49.6,0.8,0.0,49.6,0.0,,8
2024-03-26 16:13:41,49.4,1.0,0.1,49.6,0.0,,8
2024-03-26 16:13:43,49.3,0.9,0.0,49.8,0.0,,8
2024-03-26 16:13:45,49.5,1.0,0.0,49.5,0.0,,8
2024-03-26 16:13:47,49.5,0.8,0.0,49.7,0.0,,8
2024-03-26 16:13:49,49.7,0.7,0.0,49.6,0.0,,8
2024-03-26 16:13:51,50.0,0.2,0.1,49.7,0.0,,8
2024-03-26 16:13:53,49.9,0.7,0.0,49.4,0.0,,8
2024-03-26 16:13:55,49.7,0.7,0.0,49.6,0.0,,8
2024-03-26 16:13:57,49.7,0.8,0.1,49.5,0.0,,8
2024-03-26 16:13:59,49.7,0.7,0.0,49.5,0.0,,8
2024-03-26 16:14:01,49.5,1.0,0.1,49.4,0.0,,8
2024-03-26 16:14:03,50.0,0.6,0.0,49.5,0.0,,8
2024-03-26 16:14:05,49.6,0.9,0.0,49.5,0.0,,8
2024-03-26 16:14:07,49.8,0.6,0.0,49.6,0.0,,8
2024-03-26 16:14:09,49.6,0.8,0.0,49.6,0.0,,8
2024-03-26 16:14:11,49.2,1.1,0.0,49.6,0.0,,8
2024-03-26 16:14:13,49.7,0.7,0.1,49.6,0.0,,8
2024-03-26 16:14:15,49.2,1.1,0.0,49.7,0.0,,8
2024-03-26 16:14:17,49.7,0.7,0.1,49.5,0.0,,8
2024-03-26 16:14:19,49.4,1.0,0.0,49.6,0.0,,8
2024-03-26 16:14:21,49.6,0.9,0.0,49.4,0.0,,8
2024-03-26 16:14:23,49.6,0.9,0.0,49.5,0.0,,8
2024-03-26 16:14:25,49.3,1.2,0.0,49.5,0.0,,8
2024-03-26 16:14:27,49.7,0.9,0.1,49.4,0.0,,8
2024-03-26 16:14:29,49.8,0.8,0.0,49.4,0.0,,8
2024-03-26 16:14:31,49.6,0.9,0.0,49.5,0.0,,8
2024-03-26 16:14:33,49.5,0.8,0.1,49.5,0.0,,8
2024-03-26 16:14:35,49.6,0.9,0.0,49.5,0.0,,8
2024-03-26 16:14:37,49.6,0.8,0.0,49.6,0.0,,8
2024-03-26 16:14:39,49.7,0.8,0.0,49.5,0.0,,8
2024-03-26 16:14:41,49.6,1.0,0.0,49.4,0.0,,8
2024-03-26 16:14:43,49.5,0.9,0.0,49.6,0.0,,8
2024-03-26 16:14:45,50.0,0.3,0.0,49.8,0.0,,8
2024-03-26 16:14:47,50.2,0.5,0.0,49.3,0.0,,8
2024-03-26 16:14:49,49.4,0.9,0.1,49.6,0.0,,8
2024-03-26 16:14:51,49.5,1.0,0.0,49.5,0.0,,8
2024-03-26 16:14:53,49.6,0.7,0.0,49.7,0.0,,8
2024-03-26 16:14:55,49.7,0.8,0.0,49.6,0.0,,8
2024-03-26 16:14:57,49.5,1.0,0.0,49.5,0.0,,8
2024-03-26 16:14:59,49.3,1.1,0.1,49.5,0.0,,8
2024-03-26 16:15:01,49.5,0.8,0.0,49.7,0.0,,8
2024-03-26 16:15:03,49.6,0.8,0.0,49.6,0.0,,8
2024-03-26 16:15:05,49.6,0.8,0.0,49.7,0.0,,8
2024-03-26 16:15:07,49.5,0.9,0.0,49.6,0.0,,8
2024-03-26 16:15:09,49.3,1.1,0.1,49.5,0.0,,8
2024-03-26 16:15:11,49.5,1.2,0.0,49.3,0.0,,8
2024-03-26 16:15:13,49.6,0.8,0.0,49.7,0.0,,8
2024-03-26 16:15:15,49.2,1.3,0.0,49.5,0.0,,8
2024-03-26 16:15:17,49.7,0.7,0.0,49.6,0.0,,8
2024-03-26 16:15:19,49.4,0.9,0.1,49.6,0.0,,8
2024-03-26 16:15:21,49.4,1.2,0.0,49.4,0.0,,8
