JFS Filespace %Used ubuntu,/,/dev,/run,/snap/core20/2107,/snap/core20/2186,/snap/snapd/20674,/snap/sublime-text/138
2024-03-26 16:11:59,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:01,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:03,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:05,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:07,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:09,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:11,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:13,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:15,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:17,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:19,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:21,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:23,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:25,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:27,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:29,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:31,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:33,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:35,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:37,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:39,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:41,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:43,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:45,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:47,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:49,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:51,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:53,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:55,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:57,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:12:59,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:01,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:03,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:05,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:07,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:09,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:11,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:13,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:15,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:17,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:19,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:21,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:23,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:25,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:27,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:29,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:31,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:33,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:35,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:37,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:39,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:41,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:43,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:45,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:47,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:49,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:51,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:53,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:55,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:57,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:13:59,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:01,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:03,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:05,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:07,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:09,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:11,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:13,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:15,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:17,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:19,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:21,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:23,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:25,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:27,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:29,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:31,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:33,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:35,81.4,0.0,0.7,100.0,100.0,100.0,100.0
2024-03-26 16:14:37,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:14:39,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:14:41,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:14:43,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:14:45,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:14:47,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:14:49,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:14:51,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:14:53,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:14:55,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:14:57,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:14:59,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:01,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:03,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:05,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:07,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:09,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:11,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:13,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:15,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:17,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:19,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:21,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:23,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:25,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:27,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:29,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:31,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:33,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:35,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:37,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:39,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:41,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:43,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:45,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:47,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:49,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:51,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:53,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:55,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:57,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:15:59,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:01,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:03,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:05,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:07,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:09,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:11,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:13,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:15,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:17,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:19,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:21,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:23,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:25,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:27,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:29,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:31,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:33,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:35,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:37,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:39,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:41,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:43,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:45,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:47,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:49,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:51,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:53,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:55,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:57,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:16:59,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:01,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:03,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:05,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:07,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:09,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:11,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:13,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:15,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:17,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:19,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:21,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:23,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:25,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:27,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:29,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:31,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:33,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:35,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:37,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:39,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:41,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:43,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:45,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:47,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:49,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:51,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:53,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:55,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:57,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:17:59,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:01,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:03,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:05,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:07,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:09,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:11,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:13,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:15,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:17,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:19,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:21,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:23,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:25,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:27,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:29,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:31,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:33,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:35,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:37,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:39,81.4,0.0,0.8,100.0,100.0,100.0,100.0
2024-03-26 16:18:41,81.4,0.0,0.8,100.0,100.0,100.0,100.0
