Processes ubuntu,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2024-03-26 16:11:59,2,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:01,3,0,2812.7,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0
2024-03-26 16:12:03,5,0,2282.8,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0
2024-03-26 16:12:05,5,0,903.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:07,5,0,704.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:09,5,0,832.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:11,5,0,884.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:13,5,0,786.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:15,5,0,851.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:17,5,0,890.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:19,5,0,831.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:21,5,0,838.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:23,5,0,845.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:25,5,0,776.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:27,5,0,824.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:29,5,0,831.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:31,5,0,843.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:33,5,0,804.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:35,5,0,864.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:37,5,0,844.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:39,5,0,791.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:41,5,0,907.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:43,5,0,805.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:45,5,0,817.3,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0
2024-03-26 16:12:47,5,0,868.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:49,5,0,831.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:51,5,0,782.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:53,5,0,607.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:55,5,0,585.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:57,5,0,571.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:12:59,5,0,1056.5,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0
2024-03-26 16:13:01,5,0,892.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:13:03,5,0,795.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:13:05,5,0,830.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:13:07,5,0,960.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:13:09,5,0,1056.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:13:11,5,0,803.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:13:13,5,0,961.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:13:15,5,0,836.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:13:17,5,0,827.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
