Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab_reclaimable,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
2024-03-26 16:11:59,21,0,0,5237,75489,62024,0,128,0,0,3673,5,0,4684,0,0,0,0,0,0,0,0,0,3663,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:01,25,0,0,5343,120261,62024,0,0,0,0,2562,0,0,19076,0,0,0,0,0,0,0,0,0,16454,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:03,14,0,0,6249,512198,62024,0,12,0,0,1597,0,0,30722,0,0,0,0,0,0,0,0,0,7192,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:05,25,0,0,6275,512200,62024,0,128,0,0,40,0,0,353,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:07,26,0,0,6275,512202,62024,0,4,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:09,25,0,0,6275,512203,62024,0,88,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:11,30,0,0,6275,512205,62024,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:13,30,0,0,6275,512208,62024,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:15,28,0,0,6275,512210,62024,0,112,0,0,18,0,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:17,30,0,0,6275,512212,62024,0,0,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:19,23,0,0,6275,512214,62024,0,80,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:21,29,0,0,6275,512217,62024,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:23,30,0,0,6275,512219,62024,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:25,28,0,0,6275,512222,62024,0,80,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:27,33,0,0,6275,512225,62024,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:29,33,0,0,6275,512231,62024,0,44,0,0,15,0,0,6,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:31,32,0,0,6275,512232,62024,0,32,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:33,35,0,0,6275,512234,62024,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:35,24,0,0,6275,512237,62024,0,100,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:37,18,0,0,6275,512239,62024,0,40,0,0,18,0,0,3,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:39,20,0,0,6275,512240,62024,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:41,24,0,0,6275,512242,62024,0,76,0,0,184,0,0,2,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:43,22,0,0,6275,512245,62024,0,0,0,0,19,0,0,8,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:45,19,0,0,6275,512247,62024,0,72,0,0,17,0,0,5,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:47,17,0,0,6275,512250,62024,0,28,0,0,14,0,0,8,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:49,37,0,0,6275,512262,62024,0,116,0,0,19,1,0,12,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26 16:12:51,40,0,0,6275,512265,62024,0,0,0,0,19,0,0,6,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
