CPU Total ubuntu,User%,Sys%,Wait%,Idle%,Steal%,Busy,CPUs
2024-05-11 19:39:16,16.4,5.3,0.0,78.3,0.0,,8
2024-05-11 19:39:17,49.6,1.5,0.0,48.9,0.0,,8
2024-05-11 19:39:18,48.6,3.1,0.0,48.3,0.0,,8
2024-05-11 19:39:19,49.3,3.5,0.0,47.3,0.0,,8
2024-05-11 19:39:20,48.6,3.5,0.1,47.8,0.0,,8
2024-05-11 19:39:21,48.3,3.2,0.0,48.5,0.0,,8
2024-05-11 19:39:22,48.8,2.5,0.0,48.7,0.0,,8
2024-05-11 19:39:23,49.2,2.8,0.0,48.0,0.0,,8
2024-05-11 19:39:24,48.8,2.8,0.0,48.4,0.0,,8
2024-05-11 19:39:25,49.3,2.0,0.0,48.7,0.0,,8
2024-05-11 19:39:26,49.5,2.4,0.1,48.0,0.0,,8
2024-05-11 19:39:27,48.7,2.6,0.0,48.7,0.0,,8
2024-05-11 19:39:28,48.7,3.0,0.0,48.3,0.0,,8
2024-05-11 19:39:29,48.9,2.9,0.0,48.2,0.0,,8
2024-05-11 19:39:30,49.2,2.5,0.0,48.2,0.0,,8
2024-05-11 19:39:31,48.9,2.5,0.1,48.5,0.0,,8
2024-05-11 19:39:32,48.8,2.8,0.0,48.4,0.0,,8
2024-05-11 19:39:33,49.7,1.9,0.0,48.4,0.0,,8
2024-05-11 19:39:34,49.1,2.5,0.0,48.4,0.0,,8
2024-05-11 19:39:35,0.5,0.6,0.0,98.9,0.0,,8
2024-05-11 19:39:36,0.0,0.5,0.0,99.5,0.0,,8
2024-05-11 19:39:37,0.1,0.4,0.0,99.5,0.0,,8
2024-05-11 19:39:38,0.1,0.6,0.0,99.3,0.0,,8
2024-05-11 19:39:39,0.0,0.7,0.0,99.3,0.0,,8
2024-05-11 19:39:40,0.2,0.2,0.0,99.5,0.0,,8
