Processes ubuntu,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2024-05-11 19:39:16,6,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 19:39:17,5,0,3943.1,-1.0,-1.0,-1.0,38.9,-1.0,-1.0,-1.0
2024-05-11 19:39:18,5,0,6709.5,-1.0,-1.0,-1.0,65.9,-1.0,-1.0,-1.0
2024-05-11 19:39:19,2,0,7540.6,-1.0,-1.0,-1.0,67.9,-1.0,-1.0,-1.0
2024-05-11 19:39:20,6,0,7568.9,-1.0,-1.0,-1.0,71.8,-1.0,-1.0,-1.0
2024-05-11 19:39:21,5,0,7141.2,-1.0,-1.0,-1.0,68.9,-1.0,-1.0,-1.0
2024-05-11 19:39:22,5,0,7134.1,-1.0,-1.0,-1.0,68.9,-1.0,-1.0,-1.0
2024-05-11 19:39:23,5,0,7532.7,-1.0,-1.0,-1.0,65.8,-1.0,-1.0,-1.0
2024-05-11 19:39:24,5,0,7004.8,-1.0,-1.0,-1.0,65.9,-1.0,-1.0,-1.0
2024-05-11 19:39:25,5,0,7227.7,-1.0,-1.0,-1.0,65.9,-1.0,-1.0,-1.0
2024-05-11 19:39:26,5,0,7145.2,-1.0,-1.0,-1.0,71.9,-1.0,-1.0,-1.0
2024-05-11 19:39:27,5,0,7084.0,-1.0,-1.0,-1.0,71.9,-1.0,-1.0,-1.0
2024-05-11 19:39:28,5,0,7211.2,-1.0,-1.0,-1.0,68.9,-1.0,-1.0,-1.0
2024-05-11 19:39:29,5,0,7378.4,-1.0,-1.0,-1.0,68.9,-1.0,-1.0,-1.0
2024-05-11 19:39:30,5,0,6595.3,-1.0,-1.0,-1.0,65.9,-1.0,-1.0,-1.0
2024-05-11 19:39:31,5,0,7015.9,-1.0,-1.0,-1.0,71.9,-1.0,-1.0,-1.0
2024-05-11 19:39:32,5,0,7149.1,-1.0,-1.0,-1.0,68.8,-1.0,-1.0,-1.0
2024-05-11 19:39:33,6,0,7065.3,-1.0,-1.0,-1.0,62.9,-1.0,-1.0,-1.0
2024-05-11 19:39:34,5,0,7233.9,-1.0,-1.0,-1.0,65.9,-1.0,-1.0,-1.0
2024-05-11 19:39:35,2,0,1426.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 19:39:36,1,0,756.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 19:39:37,1,0,972.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 19:39:38,1,0,740.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 19:39:39,2,0,892.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 19:39:40,1,0,965.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
