CPU Total ubuntu,User%,Sys%,Wait%,Idle%,Steal%,Busy,CPUs
2024-03-27 02:47:34,3.4,3.2,0.0,93.4,0.0,,8
2024-03-27 02:47:36,8.6,2.4,0.0,88.9,0.0,,8
2024-03-27 02:47:38,22.5,1.0,0.1,76.4,0.0,,8
2024-03-27 02:47:40,49.3,1.4,0.0,49.3,0.0,,8
2024-03-27 02:47:42,49.8,1.1,0.0,49.2,0.0,,8
2024-03-27 02:47:44,49.4,1.3,0.1,49.2,0.0,,8
2024-03-27 02:47:46,49.5,1.3,0.0,49.2,0.0,,8
2024-03-27 02:47:48,49.5,0.9,0.0,49.5,0.0,,8
2024-03-27 02:47:50,49.4,1.3,0.1,49.2,0.0,,8
2024-03-27 02:47:52,49.7,0.8,0.0,49.5,0.0,,8
2024-03-27 02:47:54,49.7,0.8,0.1,49.4,0.0,,8
2024-03-27 02:47:56,49.7,0.9,0.0,49.5,0.0,,8
2024-03-27 02:47:58,49.6,1.1,0.0,49.3,0.0,,8
2024-03-27 02:48:00,49.3,1.3,0.1,49.3,0.0,,8
2024-03-27 02:48:02,49.4,1.3,0.0,49.4,0.0,,8
2024-03-27 02:48:04,49.6,1.4,0.0,49.0,0.0,,8
2024-03-27 02:48:06,49.6,1.1,0.1,49.2,0.0,,8
2024-03-27 02:48:08,49.9,0.8,0.0,49.3,0.0,,8
2024-03-27 02:48:10,49.4,1.3,0.1,49.2,0.0,,8
2024-03-27 02:48:12,49.3,1.2,0.0,49.5,0.0,,8
2024-03-27 02:48:14,49.3,1.1,0.0,49.6,0.0,,8
2024-03-27 02:48:16,49.6,0.9,0.0,49.5,0.0,,8
2024-03-27 02:48:18,49.4,1.2,0.0,49.3,0.0,,8
2024-03-27 02:48:20,49.4,1.1,0.1,49.5,0.0,,8
2024-03-27 02:48:22,49.4,1.1,0.0,49.5,0.0,,8
2024-03-27 02:48:24,50.1,0.6,0.0,49.3,0.0,,8
2024-03-27 02:48:26,49.5,0.9,0.1,49.6,0.0,,8
2024-03-27 02:48:28,49.5,0.9,0.0,49.6,0.0,,8
2024-03-27 02:48:30,49.5,0.9,0.0,49.6,0.0,,8
2024-03-27 02:48:32,49.3,1.1,0.1,49.5,0.0,,8
2024-03-27 02:48:34,49.4,0.9,0.0,49.6,0.0,,8
2024-03-27 02:48:36,49.5,1.0,0.0,49.5,0.0,,8
2024-03-27 02:48:38,49.8,0.7,0.0,49.5,0.0,,8
2024-03-27 02:48:40,49.6,1.4,0.0,49.1,0.0,,8
2024-03-27 02:48:42,49.5,1.1,0.1,49.3,0.0,,8
2024-03-27 02:48:44,49.4,1.3,0.0,49.3,0.0,,8
2024-03-27 02:48:46,49.7,1.0,0.0,49.3,0.0,,8
2024-03-27 02:48:48,49.2,1.5,0.1,49.2,0.0,,8
2024-03-27 02:48:50,49.4,1.2,0.0,49.3,0.0,,8
2024-03-27 02:48:52,49.3,1.3,0.0,49.4,0.0,,8
2024-03-27 02:48:54,49.8,0.9,0.0,49.3,0.0,,8
2024-03-27 02:48:56,49.5,1.0,0.0,49.5,0.0,,8
2024-03-27 02:48:58,49.2,1.3,0.1,49.4,0.0,,8
2024-03-27 02:49:00,49.3,1.4,0.0,49.3,0.0,,8
2024-03-27 02:49:02,49.7,1.1,0.0,49.3,0.0,,8
2024-03-27 02:49:04,49.5,1.2,0.1,49.3,0.0,,8
2024-03-27 02:49:06,49.4,1.5,0.0,49.1,0.0,,8
2024-03-27 02:49:08,49.7,1.2,0.1,49.1,0.0,,8
2024-03-27 02:49:10,49.7,0.9,0.0,49.4,0.0,,8
2024-03-27 02:49:12,49.6,1.0,0.1,49.4,0.0,,8
2024-03-27 02:49:14,49.4,1.2,0.0,49.4,0.0,,8
2024-03-27 02:49:16,49.7,1.2,0.0,49.2,0.0,,8
2024-03-27 02:49:18,49.4,1.2,0.0,49.4,0.0,,8
2024-03-27 02:49:20,49.4,1.1,0.0,49.5,0.0,,8
2024-03-27 02:49:22,49.3,1.3,0.0,49.4,0.0,,8
2024-03-27 02:49:24,49.7,1.0,0.1,49.2,0.0,,8
2024-03-27 02:49:26,49.4,1.6,0.0,49.1,0.0,,8
2024-03-27 02:49:28,49.3,1.1,0.1,49.5,0.0,,8
2024-03-27 02:49:30,50.2,1.5,0.0,48.3,0.0,,8
2024-03-27 02:49:32,49.3,1.0,0.0,49.7,0.0,,8
2024-03-27 02:49:34,49.9,1.1,0.1,48.9,0.0,,8
2024-03-27 02:49:36,49.5,0.9,0.0,49.6,0.0,,8
2024-03-27 02:49:38,49.6,0.9,0.0,49.6,0.0,,8
2024-03-27 02:49:40,49.9,1.1,0.0,49.1,0.0,,8
2024-03-27 02:49:42,49.5,1.3,0.0,49.2,0.0,,8
2024-03-27 02:49:44,49.4,1.2,0.1,49.4,0.0,,8
2024-03-27 02:49:46,49.6,1.1,0.0,49.3,0.0,,8
2024-03-27 02:49:48,49.3,1.2,0.0,49.5,0.0,,8
2024-03-27 02:49:50,49.3,1.1,0.1,49.5,0.0,,8
2024-03-27 02:49:52,49.3,1.3,0.0,49.4,0.0,,8
2024-03-27 02:49:54,49.3,1.2,0.0,49.5,0.0,,8
2024-03-27 02:49:56,49.8,0.9,0.1,49.2,0.0,,8
2024-03-27 02:49:58,49.6,0.8,0.0,49.6,0.0,,8
2024-03-27 02:50:00,49.4,1.2,0.1,49.3,0.0,,8
2024-03-27 02:50:02,49.5,1.1,0.0,49.4,0.0,,8
2024-03-27 02:50:04,49.4,1.4,0.0,49.2,0.0,,8
2024-03-27 02:50:06,49.8,1.0,0.1,49.1,0.0,,8
