JFS Filespace %Used ubuntu,/,/dev,/run,/snap/core20/2107,/snap/core20/2186,/snap/snapd/20674,/snap/sublime-text/138
2024-03-27 02:47:34,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:47:36,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:47:38,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:47:40,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:47:42,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:47:44,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:47:46,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:47:48,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:47:50,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:47:52,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:47:54,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:47:56,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:47:58,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:00,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:02,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:04,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:06,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:08,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:10,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:12,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:14,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:16,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:18,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:20,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:22,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:24,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:26,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:28,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:30,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:32,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:34,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:36,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:38,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:40,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:42,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:44,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:46,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:48,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:50,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:52,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:54,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:56,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:48:58,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:49:00,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:49:02,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:49:04,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:49:06,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:49:08,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:49:10,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:49:12,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:49:14,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:49:16,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:49:18,81.7,0.0,4.0,100.0,100.0,100.0,100.0
2024-03-27 02:49:20,81.7,0.0,4.0,100.0,100.0,100.0,100.0
