Processes ubuntu,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2024-03-27 02:47:34,1,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:47:36,2,0,3700.5,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
2024-03-27 02:47:38,5,0,1618.1,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0
2024-03-27 02:47:40,5,0,1142.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:47:42,5,0,1137.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:47:44,5,0,1147.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:47:46,5,0,1288.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:47:48,5,0,986.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:47:50,5,0,1169.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:47:52,5,0,1015.0,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0
2024-03-27 02:47:54,5,0,1247.3,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0
2024-03-27 02:47:56,5,0,965.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:47:58,5,0,1130.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:00,5,0,1038.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:02,5,0,1036.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:04,5,0,1190.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:06,5,0,1074.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:08,5,0,1318.5,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0
2024-03-27 02:48:10,5,0,1236.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:12,5,0,960.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:14,5,0,933.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:16,5,0,1097.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:18,5,0,957.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:20,5,0,907.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:22,5,0,992.5,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0
2024-03-27 02:48:24,5,0,1139.7,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0
2024-03-27 02:48:26,5,0,885.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:28,5,0,731.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:30,5,0,648.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:32,5,0,663.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:34,5,0,650.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:36,5,0,688.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:38,5,0,667.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:40,5,0,1332.8,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0
2024-03-27 02:48:42,5,0,1152.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:44,5,0,1117.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-27 02:48:46,5,0,1089.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
