Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab_reclaimable,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
2024-03-27 02:47:34,28,0,0,8244,133017,65840,0,64,0,0,3779,2,0,4991,0,0,0,0,0,0,0,0,0,4011,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:47:36,32,0,0,9354,670521,65840,0,0,0,0,4027,27883,0,45045,0,0,0,0,0,0,0,0,0,12625,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:47:38,35,0,0,9378,670506,65840,0,72,0,0,1218,0,0,497,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:47:40,42,0,0,9377,670506,65840,0,24,0,0,183,0,0,159,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:47:42,45,0,0,9377,670508,65841,0,32,0,0,661,0,0,100,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:47:44,56,0,0,9377,670511,65841,0,92,0,0,20,0,0,8,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:47:46,58,0,0,9377,670511,65841,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:47:48,61,0,0,9377,670513,65841,0,0,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:47:50,61,0,0,9377,670516,65841,0,24,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:47:52,65,0,0,9377,670517,65841,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:47:54,66,0,0,9419,670519,65841,0,24,0,0,80,0,0,811,0,0,0,0,0,0,0,0,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:47:56,67,0,0,9419,670522,65841,0,0,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:47:58,71,0,0,9419,670524,65841,0,0,0,0,25,0,0,2,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:48:00,71,0,0,9419,670527,65841,0,24,0,0,21,0,0,3,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:48:02,73,0,0,9419,670529,65841,0,0,0,0,373,0,0,103,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:48:04,46,0,0,9419,670531,65841,0,104,0,0,40,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:48:06,23,0,0,9419,670535,65841,0,128,0,0,29,0,0,4,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:48:08,28,0,0,9419,670538,65841,0,0,0,0,72,0,0,24,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:48:10,10,9,0,9419,670542,65841,0,156,0,0,424,0,0,590,0,0,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:48:12,8,0,0,9419,670542,65841,0,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:48:14,11,0,0,9419,670546,65841,0,0,0,0,17,0,0,5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27 02:48:16,17,0,0,9419,670549,65842,0,84,0,0,23,0,0,5,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
