Total Memory,Active Memory,Used Memory,Free Memory,Inactive Memory
16384.00,6753.34,8011.61,962.33,6637.22
16384.00,6775.67,8044.59,925.66,6642.36
16384.00,6797.03,8031.33,926.70,6653.14
16384.00,6776.11,8034.31,926.28,6651.28
16384.00,6265.36,8154.03,863.33,6595.22
16384.00,6273.34,8156.00,862.83,6593.30
16384.00,6921.44,8146.48,863.88,6602.16
16384.00,6888.95,8131.98,863.42,6616.39
16384.00,6801.28,8067.30,862.08,6681.70
16384.00,6801.30,8066.78,863.38,6681.70
16384.00,6819.38,8049.36,862.08,6699.02
