              disk0              disk10              disk12              disk14 
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s 
   23.59   49  1.13     8.40    0  0.00     8.13    0  0.00     8.78    0  0.00 
   15.79   57  0.87     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    6.00    2  0.01     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   10.50  276  2.84     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    6.71   62  0.40     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    5.37   73  0.38     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    4.27   15  0.06     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  235.78  197 45.34     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    5.23   75  0.38     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
