Total Memory,Active Memory,Used Memory,Free Memory,Inactive Memory
16384.00,6259.11,7737.86,1081.89,3521.62
16384.00,6258.31,7737.61,1080.66,3521.53
16384.00,4885.38,8423.23,515.67,3548.38
16384.00,4892.36,8425.77,513.36,3546.95
16384.00,4899.91,8425.28,513.33,3546.86
16384.00,4899.61,8424.73,514.31,3545.91
16384.00,4898.77,8423.89,514.92,3545.92
16384.00,4896.89,8422.02,518.25,3545.66
16384.00,4890.44,8415.81,525.34,3543.95
16384.00,4890.41,8414.38,526.38,3543.97
16384.00,4875.98,8400.06,549.84,3535.06
16384.00,4875.39,8399.47,549.55,3535.02
16384.00,4875.78,8399.86,548.64,3534.95
16384.00,4875.94,8400.08,548.58,3534.95
16384.00,4875.92,8400.06,549.11,3534.95
16384.00,4876.08,8400.22,548.20,3534.89
16384.00,4875.77,8400.12,548.83,3534.84
16384.00,4876.45,8400.50,548.95,3534.84
16384.00,4876.59,8400.66,549.30,3534.84
16384.00,6440.27,7912.00,1057.67,3513.53
16384.00,6424.41,7903.61,1056.73,3514.02
