              disk0              disk10              disk12              disk14 
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s 
   22.00   57  1.23     8.33    0  0.00     8.08    0  0.00     8.71    0  0.00 
   12.00    4  0.05     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    7.20    5  0.04     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   80.00    1  0.08     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  128.00    1  0.12     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  100.00    4  0.39     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  128.00    1  0.12     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  104.00    2  0.20     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  120.00    2  0.23     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  128.00    2  0.25     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   12.00  131  1.54     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  106.67    3  0.31     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   80.00    1  0.08     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  120.00    2  0.23     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   84.00    4  0.33     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   80.00    2  0.16     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  128.00    2  0.25     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  128.00    1  0.12     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
              disk0              disk10              disk12              disk14 
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s 
  128.00    3  0.37     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  128.00    3  0.37     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   96.00    2  0.19     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   88.00    4  0.34     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
