Total Memory,Active Memory,Used Memory,Free Memory,Inactive Memory
16384.00,6485.02,8115.42,479.80,4446.94
16384.00,6526.48,8163.03,422.62,4457.89
16384.00,5372.25,9661.72,60.58,4547.41
16384.00,5376.23,9663.08,59.89,4547.98
16384.00,5375.14,9661.34,59.36,4550.14
16384.00,5373.41,9659.83,58.16,4551.97
16384.00,5372.50,9661.55,58.97,4550.14
16384.00,5372.22,9659.06,61.19,4550.77
16384.00,5372.42,9659.20,62.59,4550.56
16384.00,5372.02,9659.05,62.27,4550.17
16384.00,5372.30,9659.20,62.30,4550.17
16384.00,5372.20,9659.06,62.08,4550.12
16384.00,5369.23,9655.86,67.64,4546.31
16384.00,5369.06,9655.69,67.78,4546.47
16384.00,5358.50,9646.69,88.53,4524.12
16384.00,5358.61,9645.39,88.94,4524.02
16384.00,5358.73,9645.23,87.97,4524.19
16384.00,5357.92,9644.55,87.00,4525.31
16384.00,5357.28,9643.78,87.80,4525.95
16384.00,5356.84,9643.66,87.30,4525.86
16384.00,5357.91,9643.39,86.98,4525.78
16384.00,5357.00,9643.42,87.33,4525.73
16384.00,5357.25,9643.67,85.41,4525.67
16384.00,7548.92,9183.81,537.72,4498.34
16384.00,7546.38,9179.53,539.98,4499.11
