User CPU%,System CPU%,Idle CPU%,I/O Wait CPU%
9.1,4.5,86.4,0
8.4,4.7,86.9,0
8.4,6.8,84.8,0
2.4,5,92.6,0
2,1.2,96.8,0
2.5,1.2,96.3,0
2.4,1.2,96.4,0
6.4,2.6,91,0
2,1,97,0
2,1.1,96.9,0
8.5,2.6,88.9,0
7.5,2.7,89.8,0
2.5,1.1,96.4,0
1.8,1.3,97,0
2.1,1.1,96.8,0
2.4,1.2,96.4,0
2.1,1.2,96.6,0
2.1,1,96.9,0
2.5,1.2,96.3,0
3.5,2.1,94.4,0
2,1.1,96.9,0
2.5,1,96.5,0
2.1,1.2,96.6,0
2,1,97,0
12.1,4.3,83.7,0
3.1,1.2,95.6,0
2.4,1.7,95.9,0
2.7,1.4,95.9,0
2.1,1,96.9,0
2,1.1,96.9,0
1.9,1.3,96.9,0
2.1,1,96.9,0
2.1,1,96.9,0
2.2,1.2,96.5,0
2,0.9,97.1,0
2.1,1.2,96.6,0
2.5,1.5,96,0
2.2,1,96.8,0
1.6,1.8,96.6,0
1.2,0.7,98,0
14.1,6,79.8,0
