              disk0              disk10              disk12              disk14 
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s 
   23.20   58  1.31     8.33    0  0.00     8.08    0  0.00     8.71    0  0.00 
    8.57   14  0.12     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    9.91   23  0.22     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   28.80    5  0.14     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   56.00    4  0.22     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   11.05   21  0.23     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   22.00    6  0.13     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   80.00    2  0.16     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   96.00    5  0.47     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  117.33    3  0.34     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  128.00    3  0.37     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   19.60   10  0.19     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  128.00    2  0.25     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   80.00    2  0.16     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   76.00    8  0.59     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   96.00    6  0.56     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
              disk0              disk10              disk12              disk14 
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s 
    9.74  162  1.54     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   69.33    3  0.20     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   32.80    5  0.16     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   32.00    2  0.06     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   16.00    2  0.03     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   32.00    3  0.09     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   26.67    3  0.08     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   24.00    2  0.05     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   24.80    5  0.12     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   32.00    2  0.06     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   24.00    6  0.14     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   32.00    1  0.03     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   24.00    2  0.05     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    8.62   13  0.11     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   11.11    9  0.10     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   32.00    1  0.03     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   48.00    7  0.33     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   16.00    1  0.02     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
              disk0              disk10              disk12              disk14 
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
