Total Memory,Active Memory,Used Memory,Free Memory,Inactive Memory
16384.00,7194.31,8434.89,240.73,6532.00
16384.00,7235.72,8478.62,180.28,6548.55
16384.00,4954.88,9431.58,55.69,6361.86
16384.00,5104.98,10456.48,24.42,5310.19
16384.00,4794.14,10882.61,62.12,4748.06
16384.00,4780.56,10905.16,56.80,4731.23
16384.00,4781.70,10905.98,55.73,4731.03
16384.00,4784.14,10903.39,54.83,4733.28
16384.00,4782.67,10901.77,55.33,4734.55
16384.00,4782.17,10901.27,56.33,4734.86
16384.00,4782.39,10901.48,56.55,4734.83
16384.00,4777.38,10896.50,50.36,4742.09
16384.00,4781.53,10900.70,45.80,4741.98
16384.00,4782.02,10902.73,45.58,4739.95
16384.00,4784.42,10902.84,45.33,4739.91
16384.00,4783.45,10902.61,45.94,4739.45
16384.00,4783.70,10902.70,46.91,4739.22
16384.00,4783.50,10902.50,47.23,4738.48
16384.00,4783.73,10902.73,47.97,4738.00
16384.00,4784.83,10902.95,46.98,4737.91
16384.00,4784.28,10903.33,47.47,4737.91
16384.00,4784.41,10903.48,46.27,4737.84
16384.00,4784.31,10904.75,46.47,4737.59
16384.00,4783.61,10902.69,55.12,4730.92
16384.00,4783.12,10902.20,53.97,4731.56
16384.00,4783.59,10902.92,59.66,4722.75
16384.00,4783.41,10902.73,60.38,4722.97
16384.00,4782.23,10901.56,57.97,4724.53
16384.00,4781.17,10900.50,58.39,4725.78
16384.00,4781.58,10900.86,57.34,4725.72
16384.00,4781.25,10900.62,57.61,4725.12
16384.00,4781.97,10901.20,56.92,4725.56
16384.00,4782.31,10900.70,58.36,4725.56
16384.00,4781.34,10900.58,58.48,4725.44
16384.00,4781.61,10900.78,58.62,4725.28
16384.00,4781.53,10900.77,56.86,4725.06
16384.00,4782.36,10901.62,56.89,4724.86
16384.00,4782.86,10902.08,56.16,4724.81
16384.00,4783.12,10902.67,56.14,4724.59
16384.00,9111.97,10349.95,671.66,4657.34
16384.00,9119.80,10340.94,673.20,4662.58
16384.00,9045.05,10290.38,666.41,4650.44
