              disk0              disk10              disk12              disk14 
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s 
   22.00   57  1.23     8.33    0  0.00     8.08    0  0.00     8.71    0  0.00 
    6.55   11  0.07     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    6.13   15  0.09     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    4.00    7  0.03     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    0.00    0  0.00     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    4.00   16  0.06     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    4.00    4  0.02     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  136.00    3  0.40     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
    4.00    2  0.01     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   16.00    9  0.14     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
