Total Memory,Active Memory,Used Memory,Free Memory,Inactive Memory
16384.00,7086.42,8330.59,320.69,4641.08
16384.00,7089.48,8331.61,318.42,4642.91
16384.00,6787.53,8894.31,61.72,4710.36
16384.00,6787.03,8893.41,62.28,4712.50
16384.00,6796.11,8894.22,59.41,4712.91
16384.00,6792.78,8891.16,60.00,4716.56
16384.00,6793.58,8891.70,57.98,4715.67
16384.00,6790.58,8888.89,61.00,4716.38
16384.00,6790.81,8888.89,60.62,4716.45
16384.00,7413.22,8645.38,315.56,4699.83
16384.00,7420.86,8636.53,317.30,4699.48
16384.00,7365.41,8594.23,316.16,4698.80
16384.00,7333.41,8572.86,315.70,4691.16
