CPU Total raspberrypi,User%,Sys%,Wait%,Idle%,Steal%,Busy,CPUs
2024-05-27 21:18:25,8.2,3.1,0.9,87.8,0.0,,4
2024-05-27 21:18:26,89.2,3.0,0.0,7.9,0.0,,4
2024-05-27 21:18:27,99.8,0.2,0.0,0.0,0.0,,4
2024-05-27 21:18:28,97.8,1.7,0.0,0.5,0.0,,4
2024-05-27 21:18:29,98.7,0.8,0.0,0.5,0.0,,4
2024-05-27 21:18:30,98.8,0.7,0.0,0.5,0.0,,4
2024-05-27 21:18:31,99.0,0.2,0.0,0.7,0.0,,4
2024-05-27 21:18:32,98.5,1.0,0.0,0.5,0.0,,4
2024-05-27 21:18:33,98.5,1.2,0.0,0.2,0.0,,4
2024-05-27 21:18:34,98.5,0.7,0.0,0.7,0.0,,4
2024-05-27 21:18:35,98.0,1.5,0.0,0.5,0.0,,4
2024-05-27 21:18:36,98.5,1.0,0.0,0.5,0.0,,4
2024-05-27 21:18:37,98.5,1.0,0.0,0.5,0.0,,4
2024-05-27 21:18:38,98.8,0.7,0.0,0.5,0.0,,4
2024-05-27 21:18:39,98.8,0.8,0.0,0.5,0.0,,4
2024-05-27 21:18:40,98.2,1.3,0.0,0.5,0.0,,4
2024-05-27 21:18:41,98.0,1.2,0.0,0.7,0.0,,4
2024-05-27 21:18:42,99.0,0.5,0.0,0.5,0.0,,4
2024-05-27 21:18:43,98.5,1.0,0.0,0.5,0.0,,4
2024-05-27 21:18:44,98.5,1.0,0.0,0.5,0.0,,4
2024-05-27 21:18:45,97.0,2.0,0.0,1.0,0.0,,4
2024-05-27 21:18:46,98.0,1.5,0.0,0.5,0.0,,4
2024-05-27 21:18:47,98.8,0.7,0.0,0.5,0.0,,4
2024-05-27 21:18:48,99.0,0.5,0.0,0.5,0.0,,4
2024-05-27 21:18:49,99.3,0.2,0.0,0.5,0.0,,4
2024-05-27 21:18:50,99.0,0.5,0.0,0.5,0.0,,4
2024-05-27 21:18:51,99.0,0.5,0.0,0.5,0.0,,4
2024-05-27 21:18:52,98.8,0.7,0.0,0.5,0.0,,4
2024-05-27 21:18:53,98.5,1.0,0.0,0.5,0.0,,4
2024-05-27 21:18:54,98.8,0.7,0.0,0.5,0.0,,4
2024-05-27 21:18:55,98.0,1.5,0.0,0.5,0.0,,4
2024-05-27 21:18:56,98.8,0.5,0.0,0.7,0.0,,4
2024-05-27 21:18:57,98.8,0.7,0.0,0.5,0.0,,4
2024-05-27 21:18:58,97.7,1.8,0.0,0.5,0.0,,4
2024-05-27 21:18:59,99.0,0.5,0.0,0.5,0.0,,4
2024-05-27 21:19:00,99.3,0.2,0.0,0.5,0.0,,4
2024-05-27 21:19:01,98.3,1.2,0.0,0.5,0.0,,4
2024-05-27 21:19:02,98.8,0.5,0.0,0.7,0.0,,4
2024-05-27 21:19:03,98.8,0.5,0.0,0.7,0.0,,4
2024-05-27 21:19:04,99.0,0.5,0.0,0.5,0.0,,4
2024-05-27 21:19:05,97.8,1.8,0.0,0.5,0.0,,4
2024-05-27 21:19:06,99.0,0.2,0.0,0.7,0.0,,4
2024-05-27 21:19:07,98.3,1.2,0.0,0.5,0.0,,4
2024-05-27 21:19:08,98.8,0.7,0.0,0.5,0.0,,4
2024-05-27 21:19:09,99.2,0.2,0.0,0.5,0.0,,4
2024-05-27 21:19:10,97.8,1.7,0.0,0.5,0.0,,4
2024-05-27 21:19:11,98.5,0.7,0.0,0.7,0.0,,4
2024-05-27 21:19:12,98.7,0.8,0.0,0.5,0.0,,4
2024-05-27 21:19:13,99.0,0.5,0.0,0.5,0.0,,4
2024-05-27 21:19:14,99.0,0.5,0.0,0.5,0.0,,4
2024-05-27 21:19:15,98.5,1.0,0.0,0.5,0.0,,4
2024-05-27 21:19:16,99.2,0.3,0.0,0.5,0.0,,4
2024-05-27 21:19:17,97.5,1.7,0.0,0.7,0.0,,4
2024-05-27 21:19:18,98.5,1.0,0.0,0.5,0.0,,4
2024-05-27 21:19:19,97.8,1.7,0.0,0.5,0.0,,4
2024-05-27 21:19:20,98.8,0.5,0.0,0.8,0.0,,4
2024-05-27 21:19:21,99.0,0.5,0.0,0.5,0.0,,4
2024-05-27 21:19:22,98.5,1.0,0.0,0.5,0.0,,4
2024-05-27 21:19:23,97.5,2.0,0.0,0.5,0.0,,4
2024-05-27 21:19:24,98.8,0.5,0.0,0.8,0.0,,4
2024-05-27 21:19:25,98.5,1.0,0.0,0.5,0.0,,4
2024-05-27 21:19:26,98.5,1.0,0.0,0.5,0.0,,4
2024-05-27 21:19:27,99.0,0.5,0.0,0.5,0.0,,4
2024-05-27 21:19:28,98.2,1.3,0.0,0.5,0.0,,4
2024-05-27 21:19:29,98.5,0.7,0.0,0.7,0.0,,4
2024-05-27 21:19:30,98.8,0.7,0.0,0.5,0.0,,4
2024-05-27 21:19:31,99.5,0.0,0.0,0.5,0.0,,4
2024-05-27 21:19:32,98.2,1.2,0.0,0.5,0.0,,4
2024-05-27 21:19:33,99.0,0.5,0.0,0.5,0.0,,4
2024-05-27 21:19:34,97.8,1.7,0.0,0.5,0.0,,4
2024-05-27 21:19:35,99.5,0.0,0.0,0.5,0.0,,4
2024-05-27 21:19:36,98.8,0.7,0.0,0.5,0.0,,4
2024-05-27 21:19:37,98.3,1.0,0.0,0.7,0.0,,4
2024-05-27 21:19:38,99.2,0.3,0.0,0.5,0.0,,4
2024-05-27 21:19:39,98.3,1.2,0.0,0.5,0.0,,4
