Disk Block Size raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
2024-05-27 21:18:25,55.4,0.0,55.4
2024-05-27 21:18:26,0.0,0.0,0.0
2024-05-27 21:18:27,0.0,0.0,0.0
2024-05-27 21:18:28,0.0,0.0,0.0
2024-05-27 21:18:29,29.0,0.0,29.0
2024-05-27 21:18:30,0.0,0.0,0.0
2024-05-27 21:18:31,0.0,0.0,0.0
2024-05-27 21:18:32,0.0,0.0,0.0
2024-05-27 21:18:33,0.0,0.0,0.0
2024-05-27 21:18:34,7.5,0.0,7.5
2024-05-27 21:18:35,0.0,0.0,0.0
2024-05-27 21:18:36,0.0,0.0,0.0
2024-05-27 21:18:37,0.0,0.0,0.0
2024-05-27 21:18:38,0.0,0.0,0.0
2024-05-27 21:18:39,12.0,0.0,12.0
2024-05-27 21:18:40,9.0,0.0,9.0
2024-05-27 21:18:41,0.0,0.0,0.0
2024-05-27 21:18:42,0.0,0.0,0.0
2024-05-27 21:18:43,0.0,0.0,0.0
2024-05-27 21:18:44,0.0,0.0,0.0
2024-05-27 21:18:45,8.0,0.0,8.0
2024-05-27 21:18:46,0.0,0.0,0.0
2024-05-27 21:18:47,0.0,0.0,0.0
2024-05-27 21:18:48,0.0,0.0,0.0
2024-05-27 21:18:49,0.0,0.0,0.0
2024-05-27 21:18:50,16.0,0.0,16.0
2024-05-27 21:18:51,0.0,0.0,0.0
2024-05-27 21:18:52,0.0,0.0,0.0
2024-05-27 21:18:53,0.0,0.0,0.0
2024-05-27 21:18:54,0.0,0.0,0.0
2024-05-27 21:18:55,12.6,0.0,12.6
2024-05-27 21:18:56,0.0,0.0,0.0
2024-05-27 21:18:57,0.0,0.0,0.0
2024-05-27 21:18:58,0.0,0.0,0.0
2024-05-27 21:18:59,0.0,0.0,0.0
2024-05-27 21:19:00,12.8,0.0,12.8
2024-05-27 21:19:01,0.0,0.0,0.0
2024-05-27 21:19:02,0.0,0.0,0.0
2024-05-27 21:19:03,0.0,0.0,0.0
2024-05-27 21:19:04,0.0,0.0,0.0
2024-05-27 21:19:05,10.7,0.0,10.7
2024-05-27 21:19:06,0.0,0.0,0.0
2024-05-27 21:19:07,0.0,0.0,0.0
2024-05-27 21:19:08,0.0,0.0,0.0
2024-05-27 21:19:09,0.0,0.0,0.0
2024-05-27 21:19:10,14.0,0.0,14.0
2024-05-27 21:19:11,10.7,0.0,10.7
2024-05-27 21:19:12,0.0,0.0,0.0
2024-05-27 21:19:13,0.0,0.0,0.0
2024-05-27 21:19:14,0.0,0.0,0.0
2024-05-27 21:19:15,0.0,0.0,0.0
2024-05-27 21:19:16,12.6,0.0,12.6
2024-05-27 21:19:17,0.0,0.0,0.0
2024-05-27 21:19:18,0.0,0.0,0.0
2024-05-27 21:19:19,0.0,0.0,0.0
2024-05-27 21:19:20,0.0,0.0,0.0
2024-05-27 21:19:21,11.4,0.0,11.4
2024-05-27 21:19:22,0.0,0.0,0.0
2024-05-27 21:19:23,0.0,0.0,0.0
2024-05-27 21:19:24,0.0,0.0,0.0
2024-05-27 21:19:25,0.0,0.0,0.0
2024-05-27 21:19:26,16.0,0.0,16.0
2024-05-27 21:19:27,0.0,0.0,0.0
2024-05-27 21:19:28,0.0,0.0,0.0
2024-05-27 21:19:29,0.0,0.0,0.0
2024-05-27 21:19:30,0.0,0.0,0.0
2024-05-27 21:19:31,8.0,0.0,8.0
2024-05-27 21:19:32,0.0,0.0,0.0
2024-05-27 21:19:33,0.0,0.0,0.0
2024-05-27 21:19:34,0.0,0.0,0.0
2024-05-27 21:19:35,0.0,0.0,0.0
2024-05-27 21:19:36,12.0,0.0,12.0
2024-05-27 21:19:37,4.0,0.0,4.0
2024-05-27 21:19:38,0.0,0.0,0.0
2024-05-27 21:19:39,0.0,0.0,0.0
