Memory MB raspberrypi,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
2024-05-27 21:18:25,4041.2,-0.0,-0.0,100.0,696.9,-0.0,-0.0,25.4,77.3,2855.5,1826.0,-1.0,25.2,4.6,1304.0
2024-05-27 21:18:26,4041.2,-0.0,-0.0,100.0,544.8,-0.0,-0.0,25.4,77.3,2855.1,1978.7,-1.0,25.2,4.6,1303.3
2024-05-27 21:18:27,4041.2,-0.0,-0.0,100.0,543.6,-0.0,-0.0,25.4,77.3,2855.1,1979.7,-1.0,25.2,4.6,1303.3
2024-05-27 21:18:28,4041.2,-0.0,-0.0,100.0,543.1,-0.0,-0.0,25.4,76.8,2854.6,1980.6,-1.0,25.2,4.6,1303.3
2024-05-27 21:18:29,4041.2,-0.0,-0.0,100.0,542.9,-0.0,-0.0,25.4,76.8,2854.6,1980.8,-1.0,25.2,4.6,1303.3
2024-05-27 21:18:30,4041.2,-0.0,-0.0,100.0,543.1,-0.0,-0.0,25.4,76.8,2854.6,1980.8,-1.0,25.2,4.6,1303.3
2024-05-27 21:18:31,4041.2,-0.0,-0.0,100.0,542.9,-0.0,-0.0,25.4,76.8,2854.6,1980.8,-1.0,25.2,4.6,1303.3
2024-05-27 21:18:32,4041.2,-0.0,-0.0,100.0,542.6,-0.0,-0.0,25.4,76.8,2854.6,1980.8,-1.0,25.2,4.6,1303.4
2024-05-27 21:18:33,4041.2,-0.0,-0.0,100.0,542.6,-0.0,-0.0,25.4,76.8,2854.6,1980.8,-1.0,25.2,4.6,1303.4
2024-05-27 21:18:34,4041.2,-0.0,-0.0,100.0,542.2,-0.0,-0.0,25.4,76.8,2854.6,1980.8,-1.0,25.3,4.6,1303.4
2024-05-27 21:18:35,4041.2,-0.0,-0.0,100.0,542.3,-0.0,-0.0,25.4,76.8,2854.6,1980.8,-1.0,25.3,4.6,1303.4
2024-05-27 21:18:36,4041.2,-0.0,-0.0,100.0,542.6,-0.0,-0.0,25.4,76.8,2854.6,1980.8,-1.0,25.3,4.6,1303.4
2024-05-27 21:18:37,4041.2,-0.0,-0.0,100.0,542.2,-0.0,-0.0,25.4,76.8,2854.6,1980.8,-1.0,25.3,4.6,1303.4
2024-05-27 21:18:38,4041.2,-0.0,-0.0,100.0,541.9,-0.0,-0.0,25.4,76.8,2854.7,1980.8,-1.0,25.3,4.6,1303.4
2024-05-27 21:18:39,4041.2,-0.0,-0.0,100.0,541.9,-0.0,-0.0,25.4,76.8,2854.6,1980.8,-1.0,25.3,4.6,1303.4
2024-05-27 21:18:40,4041.2,-0.0,-0.0,100.0,541.5,-0.0,-0.0,25.4,76.8,2854.7,1980.8,-1.0,25.3,4.6,1303.4
2024-05-27 21:18:41,4041.2,-0.0,-0.0,100.0,541.5,-0.0,-0.0,25.4,76.8,2854.7,1980.8,-1.0,25.3,4.6,1303.4
2024-05-27 21:18:42,4041.2,-0.0,-0.0,100.0,541.0,-0.0,-0.0,25.4,76.8,2854.7,1980.8,-1.0,25.3,4.6,1303.4
2024-05-27 21:18:43,4041.2,-0.0,-0.0,100.0,541.0,-0.0,-0.0,25.4,76.8,2854.7,1980.8,-1.0,25.3,4.6,1303.4
2024-05-27 21:18:44,4041.2,-0.0,-0.0,100.0,540.5,-0.0,-0.0,25.4,76.8,2854.7,1980.8,-1.0,25.3,4.6,1303.4
2024-05-27 21:18:45,4041.2,-0.0,-0.0,100.0,540.3,-0.0,-0.0,25.4,76.8,2854.7,1980.8,-1.0,25.3,4.6,1303.5
2024-05-27 21:18:46,4041.2,-0.0,-0.0,100.0,540.3,-0.0,-0.0,25.4,76.8,2854.7,1980.8,-1.0,25.3,4.6,1303.5
2024-05-27 21:18:47,4041.2,-0.0,-0.0,100.0,540.1,-0.0,-0.0,25.4,76.8,2854.7,1980.8,-1.0,25.3,4.6,1303.5
2024-05-27 21:18:48,4041.2,-0.0,-0.0,100.0,539.8,-0.0,-0.0,25.4,76.8,2854.7,1980.8,-1.0,25.3,4.6,1303.5
2024-05-27 21:18:49,4041.2,-0.0,-0.0,100.0,539.8,-0.0,-0.0,25.4,76.8,2854.7,1980.8,-1.0,25.3,4.6,1303.5
2024-05-27 21:18:50,4041.2,-0.0,-0.0,100.0,539.8,-0.0,-0.0,25.4,76.8,2854.7,1980.8,-1.0,25.3,4.6,1303.5
2024-05-27 21:18:51,4041.2,-0.0,-0.0,100.0,539.4,-0.0,-0.0,25.4,76.8,2854.7,1980.8,-1.0,25.3,4.6,1303.6
2024-05-27 21:18:52,4041.2,-0.0,-0.0,100.0,539.8,-0.0,-0.0,25.4,76.8,2854.7,1980.8,-1.0,25.3,4.6,1303.6
2024-05-27 21:18:53,4041.2,-0.0,-0.0,100.0,539.4,-0.0,-0.0,25.4,76.8,2854.7,1980.8,-1.0,25.3,4.6,1303.6
2024-05-27 21:18:54,4041.2,-0.0,-0.0,100.0,539.4,-0.0,-0.0,25.4,76.8,2854.7,1980.8,-1.0,25.3,4.6,1303.6
2024-05-27 21:18:55,4041.2,-0.0,-0.0,100.0,538.9,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.6
2024-05-27 21:18:56,4041.2,-0.0,-0.0,100.0,538.9,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.6
2024-05-27 21:18:57,4041.2,-0.0,-0.0,100.0,538.7,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.6
2024-05-27 21:18:58,4041.2,-0.0,-0.0,100.0,538.7,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.6
2024-05-27 21:18:59,4041.2,-0.0,-0.0,100.0,538.2,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.6
2024-05-27 21:19:00,4041.2,-0.0,-0.0,100.0,538.7,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.6
2024-05-27 21:19:01,4041.2,-0.0,-0.0,100.0,538.0,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.7
2024-05-27 21:19:02,4041.2,-0.0,-0.0,100.0,538.0,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.7
2024-05-27 21:19:03,4041.2,-0.0,-0.0,100.0,538.0,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.7
2024-05-27 21:19:04,4041.2,-0.0,-0.0,100.0,538.0,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.7
2024-05-27 21:19:05,4041.2,-0.0,-0.0,100.0,538.0,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.7
2024-05-27 21:19:06,4041.2,-0.0,-0.0,100.0,538.5,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.7
2024-05-27 21:19:07,4041.2,-0.0,-0.0,100.0,538.9,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.7
2024-05-27 21:19:08,4041.2,-0.0,-0.0,100.0,538.9,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.7
2024-05-27 21:19:09,4041.2,-0.0,-0.0,100.0,538.9,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.7
2024-05-27 21:19:10,4041.2,-0.0,-0.0,100.0,538.9,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.7
2024-05-27 21:19:11,4041.2,-0.0,-0.0,100.0,538.9,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.7
2024-05-27 21:19:12,4041.2,-0.0,-0.0,100.0,538.9,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.8
2024-05-27 21:19:13,4041.2,-0.0,-0.0,100.0,539.1,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.8
2024-05-27 21:19:14,4041.2,-0.0,-0.0,100.0,539.1,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.8
2024-05-27 21:19:15,4041.2,-0.0,-0.0,100.0,539.1,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.4,4.6,1303.8
2024-05-27 21:19:16,4041.2,-0.0,-0.0,100.0,539.4,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:17,4041.2,-0.0,-0.0,100.0,539.4,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:18,4041.2,-0.0,-0.0,100.0,539.4,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:19,4041.2,-0.0,-0.0,100.0,539.4,-0.0,-0.0,25.4,76.8,2854.8,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:20,4041.2,-0.0,-0.0,100.0,539.8,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:21,4041.2,-0.0,-0.0,100.0,539.8,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:22,4041.2,-0.0,-0.0,100.0,539.8,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:23,4041.2,-0.0,-0.0,100.0,540.1,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:24,4041.2,-0.0,-0.0,100.0,539.8,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:25,4041.2,-0.0,-0.0,100.0,539.6,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:26,4041.2,-0.0,-0.0,100.0,539.8,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:27,4041.2,-0.0,-0.0,100.0,540.3,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:28,4041.2,-0.0,-0.0,100.0,539.8,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:29,4041.2,-0.0,-0.0,100.0,539.8,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:30,4041.2,-0.0,-0.0,100.0,539.6,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:31,4041.2,-0.0,-0.0,100.0,539.4,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:32,4041.2,-0.0,-0.0,100.0,539.1,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:33,4041.2,-0.0,-0.0,100.0,539.1,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:34,4041.2,-0.0,-0.0,100.0,538.7,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.8
2024-05-27 21:19:35,4041.2,-0.0,-0.0,100.0,540.1,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.9
2024-05-27 21:19:36,4041.2,-0.0,-0.0,100.0,539.8,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.9
2024-05-27 21:19:37,4041.2,-0.0,-0.0,100.0,539.6,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.9
2024-05-27 21:19:38,4041.2,-0.0,-0.0,100.0,539.4,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.9
2024-05-27 21:19:39,4041.2,-0.0,-0.0,100.0,539.4,-0.0,-0.0,25.4,76.8,2854.9,1980.8,-1.0,25.5,4.6,1303.9
