Processes raspberrypi,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2024-05-27 21:18:25,4,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-27 21:18:26,5,0,859.4,-1.0,-1.0,-1.0,5.9,-1.0,-1.0,-1.0
2024-05-27 21:18:27,5,0,204.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-27 21:18:28,5,0,861.8,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0
2024-05-27 21:18:29,5,0,755.3,-1.0,-1.0,-1.0,16.0,-1.0,-1.0,-1.0
2024-05-27 21:18:30,2,0,647.4,-1.0,-1.0,-1.0,12.9,-1.0,-1.0,-1.0
2024-05-27 21:18:31,5,0,644.6,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2024-05-27 21:18:32,5,0,643.7,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2024-05-27 21:18:33,5,0,599.8,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0
2024-05-27 21:18:34,5,0,1048.0,-1.0,-1.0,-1.0,16.0,-1.0,-1.0,-1.0
2024-05-27 21:18:35,5,0,583.0,-1.0,-1.0,-1.0,12.9,-1.0,-1.0,-1.0
2024-05-27 21:18:36,5,0,620.8,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2024-05-27 21:18:37,6,0,775.2,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2024-05-27 21:18:38,5,0,674.0,-1.0,-1.0,-1.0,11.9,-1.0,-1.0,-1.0
2024-05-27 21:18:39,5,0,679.5,-1.0,-1.0,-1.0,16.0,-1.0,-1.0,-1.0
2024-05-27 21:18:40,5,0,894.1,-1.0,-1.0,-1.0,12.9,-1.0,-1.0,-1.0
2024-05-27 21:18:41,5,0,690.2,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2024-05-27 21:18:42,6,0,580.0,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0
2024-05-27 21:18:43,5,0,749.3,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2024-05-27 21:18:44,6,0,677.8,-1.0,-1.0,-1.0,12.9,-1.0,-1.0,-1.0
2024-05-27 21:18:45,5,0,672.5,-1.0,-1.0,-1.0,16.0,-1.0,-1.0,-1.0
