CPU Total raspberrypi,User%,Sys%,Wait%,Idle%,Steal%,Busy,CPUs
2024-05-11 17:14:48,2.9,1.8,0.9,94.5,0.0,,4
2024-05-11 17:14:49,17.2,1.5,0.2,81.0,0.0,,4
2024-05-11 17:14:50,10.1,0.8,5.8,83.4,0.0,,4
2024-05-11 17:14:51,0.0,0.3,0.5,99.2,0.0,,4
2024-05-11 17:14:52,0.2,0.7,0.2,98.8,0.0,,4
2024-05-11 17:14:53,0.0,0.5,1.0,98.5,0.0,,4
2024-05-11 17:14:54,0.0,1.2,0.0,98.8,0.0,,4
2024-05-11 17:14:55,0.0,0.8,0.0,99.2,0.0,,4
2024-05-11 17:14:56,0.0,0.3,0.0,99.7,0.0,,4
2024-05-11 17:14:57,0.3,0.3,0.0,99.5,0.0,,4
2024-05-11 17:14:58,0.0,0.3,0.3,99.5,0.0,,4
2024-05-11 17:14:59,0.0,0.3,0.0,99.7,0.0,,4
2024-05-11 17:15:00,0.0,1.0,0.0,99.0,0.0,,4
2024-05-11 17:15:01,0.0,0.5,0.0,99.5,0.0,,4
2024-05-11 17:15:02,0.5,0.5,0.0,99.0,0.0,,4
2024-05-11 17:15:03,0.0,0.5,0.0,99.5,0.0,,4
2024-05-11 17:15:04,0.0,0.3,0.5,99.2,0.0,,4
2024-05-11 17:15:05,0.0,0.7,0.0,99.3,0.0,,4
2024-05-11 17:15:06,0.0,0.5,0.2,99.2,0.0,,4
2024-05-11 17:15:07,0.3,0.3,0.5,99.0,0.0,,4
2024-05-11 17:15:08,0.0,0.7,0.5,98.8,0.0,,4
2024-05-11 17:15:09,0.0,0.5,0.5,99.0,0.0,,4
2024-05-11 17:15:10,0.2,0.2,1.5,98.0,0.0,,4
2024-05-11 17:15:11,0.0,1.2,0.0,98.8,0.0,,4
2024-05-11 17:15:12,0.2,0.7,0.2,98.8,0.0,,4
2024-05-11 17:15:13,0.0,0.3,0.0,99.7,0.0,,4
2024-05-11 17:15:14,0.0,0.5,0.0,99.5,0.0,,4
2024-05-11 17:15:15,0.0,0.5,0.7,98.8,0.0,,4
2024-05-11 17:15:16,0.0,0.5,1.3,98.2,0.0,,4
2024-05-11 17:15:17,0.2,1.0,1.2,97.5,0.0,,4
2024-05-11 17:15:18,0.0,0.5,0.3,99.2,0.0,,4
2024-05-11 17:15:19,0.0,0.3,0.0,99.7,0.0,,4
2024-05-11 17:15:20,0.0,0.7,0.0,99.3,0.0,,4
2024-05-11 17:15:21,0.0,0.5,1.0,98.5,0.0,,4
2024-05-11 17:15:22,0.5,0.5,0.2,98.8,0.0,,4
2024-05-11 17:15:23,0.0,0.5,0.3,99.2,0.0,,4
2024-05-11 17:15:24,0.0,0.8,0.5,98.7,0.0,,4
2024-05-11 17:15:25,0.0,0.7,0.0,99.3,0.0,,4
2024-05-11 17:15:26,0.0,0.3,0.0,99.7,0.0,,4
2024-05-11 17:15:27,0.5,1.2,0.7,97.5,0.0,,4
2024-05-11 17:15:28,0.0,0.5,0.0,99.5,0.0,,4
2024-05-11 17:15:29,0.0,0.3,0.0,99.7,0.0,,4
2024-05-11 17:15:30,0.0,0.5,0.0,99.5,0.0,,4
2024-05-11 17:15:31,0.0,0.5,0.0,99.5,0.0,,4
2024-05-11 17:15:32,0.2,0.5,0.7,98.5,0.0,,4
2024-05-11 17:15:33,0.0,0.3,0.0,99.7,0.0,,4
2024-05-11 17:15:34,0.0,0.5,0.0,99.5,0.0,,4
2024-05-11 17:15:35,0.0,0.5,0.2,99.2,0.0,,4
2024-05-11 17:15:36,0.0,1.0,0.0,99.0,0.0,,4
2024-05-11 17:15:37,0.5,0.3,0.5,98.7,0.0,,4
2024-05-11 17:15:38,6.2,2.0,29.5,62.3,0.0,,4
2024-05-11 17:15:39,2.5,0.3,89.5,7.8,0.0,,4
2024-05-11 17:15:40,3.8,0.0,91.9,4.3,0.0,,4
2024-05-11 17:15:41,5.0,1.5,92.0,1.5,0.0,,4
2024-05-11 17:15:42,1.8,0.3,94.2,3.8,0.0,,4
2024-05-11 17:15:43,5.7,1.2,91.3,1.7,0.0,,4
2024-05-11 17:15:44,5.0,0.5,92.0,2.5,0.0,,4
2024-05-11 17:15:45,4.2,1.0,93.8,1.0,0.0,,4
2024-05-11 17:15:46,6.3,0.3,91.2,2.3,0.0,,4
2024-05-11 17:15:47,23.4,0.8,74.9,1.0,0.0,,4
2024-05-11 17:15:48,36.1,0.8,61.7,1.5,0.0,,4
2024-05-11 17:15:49,34.3,1.0,63.9,0.7,0.0,,4
2024-05-11 17:15:50,25.0,0.5,73.0,1.5,0.0,,4
2024-05-11 17:15:51,16.3,0.5,81.0,2.3,0.0,,4
2024-05-11 17:15:52,4.3,0.0,94.2,1.5,0.0,,4
2024-05-11 17:15:53,5.0,0.7,84.8,9.5,0.0,,4
2024-05-11 17:15:54,7.0,0.5,87.8,4.8,0.0,,4
2024-05-11 17:15:55,3.2,0.5,95.5,0.8,0.0,,4
2024-05-11 17:15:56,33.0,0.5,66.0,0.5,0.0,,4
2024-05-11 17:15:57,37.2,1.8,49.5,11.6,0.0,,4
2024-05-11 17:15:58,34.8,0.5,52.5,12.1,0.0,,4
2024-05-11 17:15:59,17.8,1.3,79.4,1.5,0.0,,4
2024-05-11 17:16:00,5.5,1.0,91.6,2.0,0.0,,4
