Disk Block Size raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
2024-05-11 17:14:48,50.3,56.4,48.8
2024-05-11 17:14:49,115.6,0.0,115.6
2024-05-11 17:14:50,145.2,0.0,145.2
2024-05-11 17:14:51,247.0,0.0,247.0
2024-05-11 17:14:52,254.7,0.0,254.7
2024-05-11 17:14:53,247.6,1.0,249.0
2024-05-11 17:14:54,256.0,0.0,256.0
2024-05-11 17:14:55,255.4,0.0,255.4
2024-05-11 17:14:56,255.3,0.0,255.3
2024-05-11 17:14:57,256.0,0.0,256.0
2024-05-11 17:14:58,254.6,0.0,254.6
2024-05-11 17:14:59,255.3,0.0,255.3
2024-05-11 17:15:00,256.0,0.0,256.0
2024-05-11 17:15:01,255.3,0.0,255.3
2024-05-11 17:15:02,254.5,0.0,254.5
2024-05-11 17:15:03,255.3,0.0,255.3
2024-05-11 17:15:04,254.6,0.0,254.6
2024-05-11 17:15:05,252.7,0.0,252.7
2024-05-11 17:15:06,246.1,0.0,246.1
2024-05-11 17:15:07,225.6,0.0,225.6
2024-05-11 17:15:08,229.8,0.0,229.8
2024-05-11 17:15:09,225.3,0.0,225.3
2024-05-11 17:15:10,221.7,0.0,221.7
2024-05-11 17:15:11,253.7,0.0,253.7
2024-05-11 17:15:12,254.6,0.0,254.6
2024-05-11 17:15:13,256.0,0.0,256.0
2024-05-11 17:15:14,253.8,0.0,253.8
2024-05-11 17:15:15,252.0,0.0,252.0
2024-05-11 17:15:16,236.9,0.0,236.9
2024-05-11 17:15:17,225.2,0.0,225.2
2024-05-11 17:15:18,253.3,0.0,253.3
2024-05-11 17:15:19,254.5,0.0,254.5
2024-05-11 17:15:20,256.0,0.0,256.0
2024-05-11 17:15:21,247.4,0.0,247.4
2024-05-11 17:15:22,255.3,0.0,255.3
2024-05-11 17:15:23,252.4,0.0,252.4
2024-05-11 17:15:24,251.2,0.0,251.2
2024-05-11 17:15:25,253.8,0.0,253.8
2024-05-11 17:15:26,255.3,0.0,255.3
2024-05-11 17:15:27,254.5,0.0,254.5
2024-05-11 17:15:28,255.3,0.0,255.3
2024-05-11 17:15:29,252.3,0.0,252.3
2024-05-11 17:15:30,256.0,0.0,256.0
2024-05-11 17:15:31,256.0,0.0,256.0
2024-05-11 17:15:32,253.1,0.0,253.1
2024-05-11 17:15:33,256.0,0.0,256.0
2024-05-11 17:15:34,256.0,0.0,256.0
2024-05-11 17:15:35,252.5,0.0,252.5
2024-05-11 17:15:36,255.3,0.0,255.3
2024-05-11 17:15:37,254.5,0.0,254.5
2024-05-11 17:15:38,271.2,0.0,271.2
2024-05-11 17:15:39,483.0,0.0,483.0
2024-05-11 17:15:40,433.9,0.0,433.9
2024-05-11 17:15:41,406.2,0.0,406.2
2024-05-11 17:15:42,461.8,0.0,461.8
2024-05-11 17:15:43,426.9,0.0,426.9
2024-05-11 17:15:44,442.1,0.0,442.1
2024-05-11 17:15:45,469.9,0.0,469.9
2024-05-11 17:15:46,218.3,0.0,218.3
2024-05-11 17:15:47,42.6,0.0,42.6
2024-05-11 17:15:48,20.0,0.0,20.0
2024-05-11 17:15:49,19.8,0.0,19.8
2024-05-11 17:15:50,47.1,0.0,47.1
2024-05-11 17:15:51,108.9,0.0,108.9
2024-05-11 17:15:52,442.9,0.0,442.9
2024-05-11 17:15:53,435.7,0.0,435.7
2024-05-11 17:15:54,193.0,0.0,193.0
2024-05-11 17:15:55,338.8,0.0,338.8
2024-05-11 17:15:56,19.8,0.0,19.8
2024-05-11 17:15:57,19.9,0.0,19.9
2024-05-11 17:15:58,28.3,0.0,28.3
2024-05-11 17:15:59,86.3,0.0,86.3
2024-05-11 17:16:00,319.5,0.0,319.5
2024-05-11 17:16:01,126.7,0.0,126.7
2024-05-11 17:16:02,111.5,0.0,111.5
2024-05-11 17:16:03,438.8,0.0,438.8
2024-05-11 17:16:04,430.2,0.0,430.2
2024-05-11 17:16:05,460.0,0.0,460.0
2024-05-11 17:16:06,432.6,0.0,432.6
2024-05-11 17:16:07,428.7,0.0,428.7
2024-05-11 17:16:08,454.7,0.0,454.7
2024-05-11 17:16:09,455.2,0.0,455.2
2024-05-11 17:16:10,426.1,0.0,426.1
2024-05-11 17:16:11,407.9,0.0,407.9
2024-05-11 17:16:12,483.0,0.0,483.0
2024-05-11 17:16:13,422.3,0.0,422.3
2024-05-11 17:16:14,431.0,0.0,431.0
2024-05-11 17:16:15,471.3,0.0,471.3
2024-05-11 17:16:16,370.6,0.0,370.6
2024-05-11 17:16:17,415.3,0.0,415.3
2024-05-11 17:16:18,469.4,0.0,469.4
2024-05-11 17:16:19,501.6,0.0,501.6
2024-05-11 17:16:20,512.0,0.0,512.0
2024-05-11 17:16:21,512.0,0.0,512.0
2024-05-11 17:16:22,503.5,0.0,503.5
2024-05-11 17:16:23,373.9,0.0,373.9
2024-05-11 17:16:24,432.9,0.0,432.9
2024-05-11 17:16:25,456.5,0.0,456.5
2024-05-11 17:16:26,469.1,0.0,469.1
2024-05-11 17:16:27,438.6,0.0,438.6
