Disk %Busy raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
2024-05-11 17:14:48,10.2,1.7,8.5
2024-05-11 17:14:49,12.0,0.0,12.0
2024-05-11 17:14:50,65.9,0.0,65.9
2024-05-11 17:14:51,99.9,0.0,99.9
2024-05-11 17:14:52,99.9,0.0,99.9
2024-05-11 17:14:53,99.9,3.0,99.9
2024-05-11 17:14:54,99.9,0.0,99.9
2024-05-11 17:14:55,99.9,0.0,99.9
2024-05-11 17:14:56,99.9,0.0,99.9
2024-05-11 17:14:57,99.9,0.0,99.9
2024-05-11 17:14:58,99.9,0.0,99.9
2024-05-11 17:14:59,99.9,0.0,99.9
2024-05-11 17:15:00,99.9,0.0,99.9
2024-05-11 17:15:01,99.9,0.0,99.9
2024-05-11 17:15:02,99.9,0.0,99.9
2024-05-11 17:15:03,99.9,0.0,99.9
2024-05-11 17:15:04,101.00,0.0,101.00
2024-05-11 17:15:05,99.9,0.0,99.9
2024-05-11 17:15:06,99.9,0.0,99.9
2024-05-11 17:15:07,99.9,0.0,99.9
2024-05-11 17:15:08,99.9,0.0,99.9
2024-05-11 17:15:09,99.9,0.0,99.9
2024-05-11 17:15:10,101.00,0.0,101.00
2024-05-11 17:15:11,99.9,0.0,99.9
2024-05-11 17:15:12,99.9,0.0,99.9
2024-05-11 17:15:13,99.9,0.0,99.9
2024-05-11 17:15:14,99.9,0.0,99.9
2024-05-11 17:15:15,99.9,0.0,99.9
2024-05-11 17:15:16,99.9,0.0,99.9
2024-05-11 17:15:17,99.9,0.0,99.9
2024-05-11 17:15:18,99.9,0.0,99.9
2024-05-11 17:15:19,99.9,0.0,99.9
2024-05-11 17:15:20,99.9,0.0,99.9
2024-05-11 17:15:21,101.00,0.0,101.00
2024-05-11 17:15:22,99.8,0.0,99.8
2024-05-11 17:15:23,99.9,0.0,99.9
2024-05-11 17:15:24,99.9,0.0,99.9
2024-05-11 17:15:25,99.9,0.0,99.9
2024-05-11 17:15:26,99.9,0.0,99.9
2024-05-11 17:15:27,101.00,0.0,101.00
2024-05-11 17:15:28,99.9,0.0,99.9
2024-05-11 17:15:29,99.9,0.0,99.9
2024-05-11 17:15:30,99.9,0.0,99.9
2024-05-11 17:15:31,99.9,0.0,99.9
2024-05-11 17:15:32,101.00,0.0,101.00
2024-05-11 17:15:33,99.9,0.0,99.9
2024-05-11 17:15:34,99.9,0.0,99.9
2024-05-11 17:15:35,99.9,0.0,99.9
2024-05-11 17:15:36,99.9,0.0,99.9
2024-05-11 17:15:37,99.9,0.0,99.9
2024-05-11 17:15:38,94.9,0.0,94.9
2024-05-11 17:15:39,99.9,0.0,99.9
2024-05-11 17:15:40,99.9,0.0,99.9
2024-05-11 17:15:41,99.9,0.0,99.9
2024-05-11 17:15:42,99.9,0.0,99.9
2024-05-11 17:15:43,99.9,0.0,99.9
2024-05-11 17:15:44,99.9,0.0,99.9
2024-05-11 17:15:45,99.9,0.0,99.9
2024-05-11 17:15:46,99.9,0.0,99.9
2024-05-11 17:15:47,99.9,0.0,99.9
2024-05-11 17:15:48,101.00,0.0,101.00
2024-05-11 17:15:49,99.9,0.0,99.9
2024-05-11 17:15:50,99.9,0.0,99.9
2024-05-11 17:15:51,99.9,0.0,99.9
2024-05-11 17:15:52,99.9,0.0,99.9
2024-05-11 17:15:53,99.9,0.0,99.9
2024-05-11 17:15:54,99.9,0.0,99.9
2024-05-11 17:15:55,101.00,0.0,101.00
2024-05-11 17:15:56,97.6,0.0,97.6
2024-05-11 17:15:57,97.7,0.0,97.7
2024-05-11 17:15:58,95.9,0.0,95.9
2024-05-11 17:15:59,99.9,0.0,99.9
2024-05-11 17:16:00,101.00,0.0,101.00
2024-05-11 17:16:01,99.9,0.0,99.9
2024-05-11 17:16:02,99.9,0.0,99.9
2024-05-11 17:16:03,99.9,0.0,99.9
2024-05-11 17:16:04,98.9,0.0,98.9
2024-05-11 17:16:05,101.00,0.0,101.00
2024-05-11 17:16:06,90.0,0.0,90.0
2024-05-11 17:16:07,99.9,0.0,99.9
2024-05-11 17:16:08,99.9,0.0,99.9
2024-05-11 17:16:09,101.00,0.0,101.00
2024-05-11 17:16:10,98.9,0.0,98.9
2024-05-11 17:16:11,99.9,0.0,99.9
2024-05-11 17:16:12,99.9,0.0,99.9
2024-05-11 17:16:13,99.9,0.0,99.9
2024-05-11 17:16:14,99.9,0.0,99.9
2024-05-11 17:16:15,99.9,0.0,99.9
2024-05-11 17:16:16,99.9,0.0,99.9
2024-05-11 17:16:17,101.00,0.0,101.00
2024-05-11 17:16:18,96.9,0.0,96.9
2024-05-11 17:16:19,99.9,0.0,99.9
2024-05-11 17:16:20,99.9,0.0,99.9
2024-05-11 17:16:21,99.9,0.0,99.9
2024-05-11 17:16:22,99.9,0.0,99.9
2024-05-11 17:16:23,99.9,0.0,99.9
2024-05-11 17:16:24,99.9,0.0,99.9
2024-05-11 17:16:25,99.9,0.0,99.9
2024-05-11 17:16:26,99.9,0.0,99.9
2024-05-11 17:16:27,99.9,0.0,99.9
