Disk Read KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
2024-05-11 17:14:48,3800.4,861.9,2938.5
2024-05-11 17:14:49,8987.6,0.0,8987.6
2024-05-11 17:14:50,37854.3,0.0,37854.3
2024-05-11 17:14:51,86465.0,0.0,86465.0
2024-05-11 17:14:52,87827.7,0.0,87827.7
2024-05-11 17:14:53,85993.6,1.0,85992.6
2024-05-11 17:14:54,84934.3,0.0,84934.3
2024-05-11 17:14:55,88031.1,0.0,88031.1
2024-05-11 17:14:56,87740.4,0.0,87740.4
2024-05-11 17:14:57,87742.5,0.0,87742.5
2024-05-11 17:14:58,88498.8,0.0,88498.8
2024-05-11 17:14:59,88759.5,0.0,88759.5
2024-05-11 17:15:00,88495.5,0.0,88495.5
2024-05-11 17:15:01,87733.4,0.0,87733.4
2024-05-11 17:15:02,87738.2,0.0,87738.2
2024-05-11 17:15:03,87987.6,0.0,87987.6
2024-05-11 17:15:04,87989.0,0.0,87989.0
2024-05-11 17:15:05,87861.3,0.0,87861.3
2024-05-11 17:15:06,87551.6,0.0,87551.6
2024-05-11 17:15:07,87706.8,0.0,87706.8
2024-05-11 17:15:08,88187.6,0.0,88187.6
2024-05-11 17:15:09,88011.6,0.0,88011.6
2024-05-11 17:15:10,86544.6,0.0,86544.6
2024-05-11 17:15:11,85424.2,0.0,85424.2
2024-05-11 17:15:12,87487.5,0.0,87487.5
2024-05-11 17:15:13,87982.7,0.0,87982.7
2024-05-11 17:15:14,88247.0,0.0,88247.0
2024-05-11 17:15:15,87345.1,0.0,87345.1
2024-05-11 17:15:16,87576.4,0.0,87576.4
2024-05-11 17:15:17,87523.7,0.0,87523.7
2024-05-11 17:15:18,88574.1,0.0,88574.1
2024-05-11 17:15:19,88247.6,0.0,88247.6
2024-05-11 17:15:20,88251.1,0.0,88251.1
2024-05-11 17:15:21,87484.5,0.0,87484.5
2024-05-11 17:15:22,88424.1,0.0,88424.1
2024-05-11 17:15:23,88531.0,0.0,88531.0
2024-05-11 17:15:24,88065.1,0.0,88065.1
2024-05-11 17:15:25,88227.8,0.0,88227.8
2024-05-11 17:15:26,87733.6,0.0,87733.6
2024-05-11 17:15:27,84473.6,0.0,84473.6
2024-05-11 17:15:28,88994.3,0.0,88994.3
2024-05-11 17:15:29,87211.3,0.0,87211.3
2024-05-11 17:15:30,87723.8,0.0,87723.8
2024-05-11 17:15:31,88498.0,0.0,88498.0
2024-05-11 17:15:32,88046.1,0.0,88046.1
2024-05-11 17:15:33,88231.3,0.0,88231.3
2024-05-11 17:15:34,87727.9,0.0,87727.9
2024-05-11 17:15:35,87548.2,0.0,87548.2
2024-05-11 17:15:36,88234.8,0.0,88234.8
2024-05-11 17:15:37,87219.6,0.0,87219.6
2024-05-11 17:15:38,80739.1,0.0,80739.1
2024-05-11 17:15:39,89295.3,0.0,89295.3
2024-05-11 17:15:40,89322.3,0.0,89322.3
2024-05-11 17:15:41,89301.6,0.0,89301.6
2024-05-11 17:15:42,89072.5,0.0,89072.5
2024-05-11 17:15:43,85297.2,0.0,85297.2
2024-05-11 17:15:44,89225.2,0.0,89225.2
2024-05-11 17:15:45,89668.4,0.0,89668.4
2024-05-11 17:15:46,86574.7,0.0,86574.7
2024-05-11 17:15:47,64482.1,0.0,64482.1
2024-05-11 17:15:48,49594.8,0.0,49594.8
2024-05-11 17:15:49,49540.7,0.0,49540.7
2024-05-11 17:15:50,67192.6,0.0,67192.6
2024-05-11 17:15:51,80817.3,0.0,80817.3
2024-05-11 17:15:52,89382.3,0.0,89382.3
2024-05-11 17:15:53,89653.6,0.0,89653.6
2024-05-11 17:15:54,85210.7,0.0,85210.7
2024-05-11 17:15:55,90006.4,0.0,90006.4
2024-05-11 17:15:56,47050.6,0.0,47050.6
2024-05-11 17:15:57,46878.8,0.0,46878.8
2024-05-11 17:15:58,55077.3,0.0,55077.3
2024-05-11 17:15:59,72597.7,0.0,72597.7
2024-05-11 17:16:00,87724.7,0.0,87724.7
2024-05-11 17:16:01,82166.6,0.0,82166.6
2024-05-11 17:16:02,79302.1,0.0,79302.1
2024-05-11 17:16:03,89442.2,0.0,89442.2
2024-05-11 17:16:04,88525.9,0.0,88525.9
2024-05-11 17:16:05,98799.7,0.0,98799.7
2024-05-11 17:16:06,80554.0,0.0,80554.0
2024-05-11 17:16:07,89932.3,0.0,89932.3
2024-05-11 17:16:08,89479.6,0.0,89479.6
2024-05-11 17:16:09,89593.0,0.0,89593.0
2024-05-11 17:16:10,89401.2,0.0,89401.2
2024-05-11 17:16:11,88404.9,0.0,88404.9
2024-05-11 17:16:12,88791.7,0.0,88791.7
2024-05-11 17:16:13,88600.8,0.0,88600.8
2024-05-11 17:16:14,89129.7,0.0,89129.7
2024-05-11 17:16:15,85698.7,0.0,85698.7
2024-05-11 17:16:16,88859.1,0.0,88859.1
2024-05-11 17:16:17,92070.4,0.0,92070.4
2024-05-11 17:16:18,86874.5,0.0,86874.5
2024-05-11 17:16:19,88695.2,0.0,88695.2
2024-05-11 17:16:20,90535.2,0.0,90535.2
2024-05-11 17:16:21,90026.4,0.0,90026.4
2024-05-11 17:16:22,90024.3,0.0,90024.3
2024-05-11 17:16:23,85899.9,0.0,85899.9
2024-05-11 17:16:24,88239.2,0.0,88239.2
2024-05-11 17:16:25,88940.0,0.0,88940.0
2024-05-11 17:16:26,89053.9,0.0,89053.9
2024-05-11 17:16:27,88527.1,0.0,88527.1
