Disk transfers per second raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
2024-05-11 17:14:48,75.5,15.3,60.2
2024-05-11 17:14:49,77.8,0.0,77.8
2024-05-11 17:14:50,277.8,0.0,277.8
2024-05-11 17:14:51,350.7,0.0,350.7
2024-05-11 17:14:52,344.8,0.0,344.8
2024-05-11 17:14:53,347.8,2.0,345.8
2024-05-11 17:14:54,331.8,0.0,331.8
2024-05-11 17:14:55,344.7,0.0,344.7
2024-05-11 17:14:56,343.7,0.0,343.7
2024-05-11 17:14:57,342.7,0.0,342.7
2024-05-11 17:14:58,347.7,0.0,347.7
2024-05-11 17:14:59,347.7,0.0,347.7
2024-05-11 17:15:00,345.7,0.0,345.7
2024-05-11 17:15:01,343.7,0.0,343.7
2024-05-11 17:15:02,344.7,0.0,344.7
2024-05-11 17:15:03,344.7,0.0,344.7
2024-05-11 17:15:04,345.7,0.0,345.7
2024-05-11 17:15:05,347.7,0.0,347.7
2024-05-11 17:15:06,355.7,0.0,355.7
2024-05-11 17:15:07,388.7,0.0,388.7
2024-05-11 17:15:08,383.7,0.0,383.7
2024-05-11 17:15:09,390.7,0.0,390.7
2024-05-11 17:15:10,390.5,0.0,390.5
2024-05-11 17:15:11,336.7,0.0,336.7
2024-05-11 17:15:12,343.7,0.0,343.7
2024-05-11 17:15:13,343.7,0.0,343.7
2024-05-11 17:15:14,347.7,0.0,347.7
2024-05-11 17:15:15,346.7,0.0,346.7
2024-05-11 17:15:16,369.7,0.0,369.7
2024-05-11 17:15:17,388.7,0.0,388.7
2024-05-11 17:15:18,349.7,0.0,349.7
2024-05-11 17:15:19,346.7,0.0,346.7
2024-05-11 17:15:20,344.7,0.0,344.7
2024-05-11 17:15:21,353.7,0.0,353.7
2024-05-11 17:15:22,346.3,0.0,346.3
2024-05-11 17:15:23,350.7,0.0,350.7
2024-05-11 17:15:24,350.7,0.0,350.7
2024-05-11 17:15:25,347.6,0.0,347.6
2024-05-11 17:15:26,343.7,0.0,343.7
2024-05-11 17:15:27,332.0,0.0,332.0
2024-05-11 17:15:28,348.6,0.0,348.6
2024-05-11 17:15:29,345.7,0.0,345.7
2024-05-11 17:15:30,342.7,0.0,342.7
2024-05-11 17:15:31,345.7,0.0,345.7
2024-05-11 17:15:32,347.9,0.0,347.9
2024-05-11 17:15:33,344.7,0.0,344.7
2024-05-11 17:15:34,342.7,0.0,342.7
2024-05-11 17:15:35,346.7,0.0,346.7
2024-05-11 17:15:36,345.7,0.0,345.7
2024-05-11 17:15:37,342.7,0.0,342.7
2024-05-11 17:15:38,297.7,0.0,297.7
2024-05-11 17:15:39,184.9,0.0,184.9
2024-05-11 17:15:40,205.8,0.0,205.8
2024-05-11 17:15:41,219.8,0.0,219.8
2024-05-11 17:15:42,192.9,0.0,192.9
2024-05-11 17:15:43,199.9,0.0,199.9
2024-05-11 17:15:44,201.8,0.0,201.8
2024-05-11 17:15:45,190.8,0.0,190.8
2024-05-11 17:15:46,396.6,0.0,396.6
2024-05-11 17:15:47,1512.5,0.0,1512.5
2024-05-11 17:15:48,2480.1,0.0,2480.1
2024-05-11 17:15:49,2504.0,0.0,2504.0
2024-05-11 17:15:50,1427.8,0.0,1427.8
2024-05-11 17:15:51,742.4,0.0,742.4
2024-05-11 17:15:52,201.8,0.0,201.8
2024-05-11 17:15:53,205.8,0.0,205.8
2024-05-11 17:15:54,441.6,0.0,441.6
2024-05-11 17:15:55,265.8,0.0,265.8
2024-05-11 17:15:56,2376.4,0.0,2376.4
2024-05-11 17:15:57,2357.5,0.0,2357.5
2024-05-11 17:15:58,1946.5,0.0,1946.5
2024-05-11 17:15:59,841.3,0.0,841.3
2024-05-11 17:16:00,274.7,0.0,274.7
2024-05-11 17:16:01,648.3,0.0,648.3
2024-05-11 17:16:02,711.4,0.0,711.4
2024-05-11 17:16:03,203.8,0.0,203.8
2024-05-11 17:16:04,205.8,0.0,205.8
2024-05-11 17:16:05,214.8,0.0,214.8
2024-05-11 17:16:06,186.2,0.0,186.2
2024-05-11 17:16:07,209.8,0.0,209.8
2024-05-11 17:16:08,196.8,0.0,196.8
2024-05-11 17:16:09,196.8,0.0,196.8
2024-05-11 17:16:10,209.8,0.0,209.8
2024-05-11 17:16:11,216.8,0.0,216.8
2024-05-11 17:16:12,183.8,0.0,183.8
2024-05-11 17:16:13,209.8,0.0,209.8
2024-05-11 17:16:14,206.8,0.0,206.8
2024-05-11 17:16:15,181.8,0.0,181.8
2024-05-11 17:16:16,239.8,0.0,239.8
2024-05-11 17:16:17,221.8,0.0,221.8
2024-05-11 17:16:18,185.1,0.0,185.1
2024-05-11 17:16:19,176.8,0.0,176.8
2024-05-11 17:16:20,176.8,0.0,176.8
2024-05-11 17:16:21,175.8,0.0,175.8
2024-05-11 17:16:22,178.8,0.0,178.8
2024-05-11 17:16:23,229.8,0.0,229.8
2024-05-11 17:16:24,203.9,0.0,203.9
2024-05-11 17:16:25,194.9,0.0,194.9
2024-05-11 17:16:26,189.9,0.0,189.9
2024-05-11 17:16:27,201.9,0.0,201.9
