Memory MB raspberrypi,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
2024-05-11 17:14:48,4041.2,-0.0,-0.0,100.0,140.2,-0.0,-0.0,2.6,62.4,3588.0,1748.1,-1.0,12.7,3.0,1977.8
2024-05-11 17:14:49,4041.2,-0.0,-0.0,100.0,82.5,-0.0,-0.0,2.6,62.4,3596.6,1798.0,-1.0,12.7,3.0,1985.3
2024-05-11 17:14:50,4041.2,-0.0,-0.0,100.0,24.2,-0.0,-0.0,0.0,62.4,3598.6,2019.8,-1.0,12.7,4.8,1828.0
2024-05-11 17:14:51,4041.2,-0.0,-0.0,100.0,26.1,-0.0,-0.0,0.0,62.4,3595.9,2103.8,-1.0,12.7,4.8,1741.2
2024-05-11 17:14:52,4041.2,-0.0,-0.0,100.0,26.4,-0.0,-0.0,0.0,61.9,3595.4,2190.0,-1.0,12.7,4.8,1655.0
2024-05-11 17:14:53,4041.2,-0.0,-0.0,100.0,27.5,-0.0,-0.0,0.0,61.9,3594.5,2274.1,-1.0,12.7,4.8,1570.1
2024-05-11 17:14:54,4041.2,-0.0,-0.0,100.0,26.4,-0.0,-0.0,0.0,61.9,3595.2,2356.8,-1.0,12.7,4.8,1488.1
2024-05-11 17:14:55,4041.2,-0.0,-0.0,100.0,29.2,-0.0,-0.0,0.0,61.9,3592.5,2443.1,-1.0,12.7,4.8,1399.1
2024-05-11 17:14:56,4041.2,-0.0,-0.0,100.0,26.4,-0.0,-0.0,0.0,61.9,3595.3,2528.9,-1.0,12.7,4.8,1316.1
2024-05-11 17:14:57,4041.2,-0.0,-0.0,100.0,37.4,-0.0,-0.0,0.0,61.8,3584.3,2615.0,-1.0,12.6,4.8,1219.1
2024-05-11 17:14:58,4041.2,-0.0,-0.0,100.0,59.0,-0.0,-0.0,0.0,61.8,3562.6,2701.2,-1.0,12.6,4.8,1111.1
2024-05-11 17:14:59,4041.2,-0.0,-0.0,100.0,63.9,-0.0,-0.0,0.0,61.8,3557.5,2788.1,-1.0,12.6,4.8,1019.1
2024-05-11 17:15:00,4041.2,-0.0,-0.0,100.0,79.3,-0.0,-0.0,0.0,61.8,3542.0,1850.8,-1.0,12.6,4.8,1940.9
2024-05-11 17:15:01,4041.2,-0.0,-0.0,100.0,76.1,-0.0,-0.0,0.0,61.8,3545.0,1936.8,-1.0,12.6,4.8,1857.9
2024-05-11 17:15:02,4041.2,-0.0,-0.0,100.0,75.1,-0.0,-0.0,0.0,61.8,3545.8,2022.5,-1.0,12.6,4.8,1772.9
2024-05-11 17:15:03,4041.2,-0.0,-0.0,100.0,77.2,-0.0,-0.0,0.0,61.8,3543.8,2108.5,-1.0,12.6,4.8,1684.9
2024-05-11 17:15:04,4041.2,-0.0,-0.0,100.0,76.1,-0.0,-0.0,0.0,61.8,3544.8,2194.5,-1.0,12.6,4.8,1600.0
2024-05-11 17:15:05,4041.2,-0.0,-0.0,100.0,78.4,-0.0,-0.0,0.0,61.8,3542.5,2280.2,-1.0,12.6,4.8,1512.0
2024-05-11 17:15:06,4041.2,-0.0,-0.0,100.0,81.2,-0.0,-0.0,0.0,61.8,3540.2,2365.7,-1.0,12.6,4.8,1424.1
2024-05-11 17:15:07,4041.2,-0.0,-0.0,100.0,74.2,-0.0,-0.0,0.0,61.8,3546.8,2451.4,-1.0,12.5,4.8,1345.0
2024-05-11 17:15:08,4041.2,-0.0,-0.0,100.0,73.2,-0.0,-0.0,0.0,61.8,3547.2,2537.9,-1.0,12.5,4.8,1259.0
2024-05-11 17:15:09,4041.2,-0.0,-0.0,100.0,80.0,-0.0,-0.0,0.0,61.8,3540.8,2625.1,-1.0,12.5,4.8,1165.3
2024-05-11 17:15:10,4041.2,-0.0,-0.0,100.0,79.1,-0.0,-0.0,0.0,61.8,3553.7,2715.2,-1.0,1.0,4.8,1076.5
2024-05-11 17:15:11,4041.2,-0.0,-0.0,100.0,69.3,-0.0,-0.0,0.0,61.8,3562.9,2798.5,-1.0,1.0,4.8,1002.5
2024-05-11 17:15:12,4041.2,-0.0,-0.0,100.0,71.8,-0.0,-0.0,0.0,61.8,3560.7,2884.2,-1.0,1.0,4.8,914.5
2024-05-11 17:15:13,4041.2,-0.0,-0.0,100.0,76.3,-0.0,-0.0,0.0,61.8,3556.5,1199.1,-1.0,1.0,4.8,2595.4
2024-05-11 17:15:14,4041.2,-0.0,-0.0,100.0,79.3,-0.0,-0.0,0.0,62.4,3553.5,1285.6,-1.0,1.0,4.8,2505.4
2024-05-11 17:15:15,4041.2,-0.0,-0.0,100.0,27.1,-0.0,-0.0,0.0,62.4,3606.9,1371.0,-1.0,1.0,4.8,2473.4
2024-05-11 17:15:16,4041.2,-0.0,-0.0,100.0,20.8,-0.0,-0.0,0.0,62.4,3613.5,1456.6,-1.0,1.0,4.8,2394.4
2024-05-11 17:15:17,4041.2,-0.0,-0.0,100.0,26.2,-0.0,-0.0,0.0,61.8,3607.7,1563.3,-1.0,1.0,4.8,2282.4
2024-05-11 17:15:18,4041.2,-0.0,-0.0,100.0,23.9,-0.0,-0.0,0.0,61.8,3610.0,1649.6,-1.0,1.0,4.8,2198.4
2024-05-11 17:15:19,4041.2,-0.0,-0.0,100.0,19.9,-0.0,-0.0,0.0,61.8,3613.7,1736.2,-1.0,1.0,4.8,2115.7
2024-05-11 17:15:20,4041.2,-0.0,-0.0,100.0,27.1,-0.0,-0.0,0.0,61.8,3606.3,1822.5,-1.0,1.0,4.8,2022.0
2024-05-11 17:15:21,4041.2,-0.0,-0.0,100.0,19.9,-0.0,-0.0,0.0,61.8,3613.5,1921.3,-1.0,1.0,4.8,1930.4
2024-05-11 17:15:22,4041.2,-0.0,-0.0,100.0,33.0,-0.0,-0.0,0.0,61.8,3600.5,2171.2,-1.0,0.9,4.8,1667.4
2024-05-11 17:15:23,4041.2,-0.0,-0.0,100.0,26.4,-0.0,-0.0,0.0,61.8,3606.8,2261.0,-1.0,0.9,4.8,1584.0
2024-05-11 17:15:24,4041.2,-0.0,-0.0,100.0,36.2,-0.0,-0.0,0.0,61.8,3594.3,2444.1,-1.0,0.9,4.8,1388.2
