Processes raspberrypi,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2024-05-11 17:14:48,2,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:14:49,2,0,1389.6,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:14:50,1,1,2662.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:14:51,1,0,1144.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:14:52,1,0,903.4,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:14:53,1,0,1034.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:14:54,1,0,903.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:14:55,1,0,815.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:14:56,1,0,768.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:14:57,1,0,917.3,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:14:58,1,0,822.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:14:59,1,0,922.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:00,1,0,822.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:01,1,0,867.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:02,1,0,1012.2,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:15:03,1,0,829.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:04,1,0,825.3,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:15:05,1,0,918.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:06,1,0,860.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:07,1,0,995.2,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:15:08,1,0,889.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:09,1,0,914.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:10,2,0,942.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:11,1,0,1001.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:12,1,0,936.1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:15:13,1,0,827.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:14,1,0,1146.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:15,1,0,812.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:16,1,0,966.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:17,1,0,1183.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:15:18,1,0,791.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:19,1,0,866.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:20,1,0,773.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:21,1,0,856.3,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:15:22,1,0,998.1,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
2024-05-11 17:15:23,1,0,949.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:24,1,0,832.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:25,1,0,836.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:26,1,0,757.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:27,1,0,994.9,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:15:28,1,0,851.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:29,1,0,940.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:30,1,0,769.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:31,1,0,825.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:32,1,0,928.4,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:15:33,1,0,785.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:34,1,0,835.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:35,1,0,998.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:36,1,0,774.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:37,1,0,967.2,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:15:38,1,4,1211.8,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0
2024-05-11 17:15:39,1,4,1018.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:40,1,4,1201.1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:15:41,1,3,1349.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:42,1,4,1178.2,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:15:43,2,4,1291.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:44,1,4,1171.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:45,1,4,1125.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:46,1,4,2029.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:47,1,4,7229.1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:15:48,4,1,11224.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:49,2,3,11715.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:50,1,4,6848.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:51,3,1,3579.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:52,1,4,1224.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:15:53,1,4,1358.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:54,1,4,2105.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:55,1,4,1183.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:56,4,2,11131.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:57,2,3,10632.7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:15:58,3,2,8436.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:15:59,1,4,4444.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:16:00,1,4,1510.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:16:01,1,4,3087.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:16:02,1,4,3436.3,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:16:03,1,4,1136.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:16:04,1,3,1160.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:16:05,1,5,1181.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:16:06,2,4,1190.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:16:07,1,4,1308.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:16:08,3,2,1130.9,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:16:09,1,4,1162.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:16:10,1,4,1190.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:16:11,2,3,1429.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:16:12,1,4,1181.8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:16:13,1,4,1279.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:16:14,1,4,1216.8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:16:15,1,4,1157.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:16:16,1,4,1354.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:16:17,1,4,1474.4,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11 17:16:18,2,3,1103.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:16:19,1,4,1063.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:16:20,1,4,999.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:16:21,1,4,1011.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-05-11 17:16:22,1,4,1198.8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
