Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab_reclaimable,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
2024-05-11 17:14:48,2,0,0,628,4425,1228,4464,0,8,0,2386,0,0,3578,31,0,0,0,0,1,0,0,0,0,2303,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:14:49,3,0,0,635,4544,1228,9016,0,0,0,1321,0,0,4598,7,0,0,0,0,0,0,0,0,0,5090,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:14:50,3,12,0,640,7444,1228,38400,2624,0,164,2691,6097,0,5220,0,0,0,0,0,2,0,111,0,0,6752,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:14:51,3,0,0,643,12868,1228,86528,0,0,0,6030,0,0,1695,0,0,0,0,0,12,0,23,0,0,5414,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:14:52,3,0,0,646,18359,1228,87888,0,0,0,5538,0,0,1716,1,0,0,0,0,10,0,0,0,0,5497,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:14:53,0,0,0,652,32245,1228,86049,117,0,0,5459,0,0,3810,0,0,24,0,0,10,0,0,0,0,5393,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:14:54,2,0,0,655,37541,1228,84992,0,0,0,5250,0,0,1660,0,0,0,0,0,10,0,0,0,0,5318,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:14:55,2,0,0,658,43639,1228,88096,0,0,0,5696,0,0,1868,0,0,0,0,0,10,0,0,0,0,5509,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:14:56,2,0,0,661,49111,1228,87552,0,0,0,5298,1,0,1710,0,0,0,0,0,9,0,0,0,0,5475,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:14:57,2,0,0,663,54615,1228,88064,0,0,0,6209,1,0,1720,0,0,0,0,0,10,0,0,0,0,5508,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:14:58,6,0,0,666,60135,1228,88320,24,0,0,6913,0,0,1725,0,0,0,0,0,10,0,0,0,0,5524,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:14:59,6,0,0,669,65687,1228,89088,0,0,0,5885,2,0,1740,0,0,384,0,0,10,0,0,0,0,5577,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:00,6,0,0,671,71224,1228,88576,0,0,0,6530,0,0,1730,0,0,128,0,0,10,0,0,0,0,5541,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:01,6,0,0,674,76727,1228,87808,0,0,0,5313,0,0,1715,0,0,0,0,0,10,0,0,0,0,5491,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:02,6,0,0,677,82215,1228,87808,0,0,0,5440,0,0,1715,0,0,0,0,0,10,0,0,0,0,5492,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:03,6,0,0,680,87719,1228,88064,8,0,0,5633,1,0,1720,0,0,0,0,0,10,0,0,0,0,5511,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:04,6,0,0,682,93223,1228,88064,4,0,0,5440,0,0,1724,0,0,0,0,0,10,0,0,0,0,5508,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:05,6,0,0,685,98719,1228,87680,0,0,0,5638,0,0,1720,1,0,0,0,0,10,0,0,0,0,5490,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:06,6,0,0,688,104209,1228,87872,0,0,0,5634,0,0,1724,1,0,0,0,0,10,0,0,0,0,5497,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:07,6,0,0,690,109829,1228,87776,0,0,0,5056,0,0,1484,9,0,0,0,0,9,0,0,0,0,5489,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:08,6,0,0,693,115477,1228,88256,0,0,0,5505,0,0,1768,8,0,0,0,0,10,0,0,0,0,5519,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:09,6,0,0,696,121070,1228,88080,8,0,0,5917,11,0,1760,7,0,0,0,0,10,0,0,0,0,5508,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:10,6,0,0,699,126373,1208,87104,4,0,0,5382,120,0,1739,5,0,0,0,0,10,0,0,0,0,5448,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:11,6,0,0,701,131700,1208,85248,0,0,0,4742,1,0,1665,0,0,0,0,0,9,0,0,0,0,5337,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:12,6,0,0,704,137188,1208,87824,0,0,0,5634,0,0,1716,0,0,0,0,0,10,0,0,0,0,5495,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:13,6,0,0,707,142676,1208,87808,0,0,0,5761,0,0,1715,0,0,128,0,0,10,0,0,0,0,5491,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:14,6,0,0,709,148212,1208,88576,8,0,0,5760,0,0,1732,0,0,0,0,0,9,0,0,0,0,5572,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:15,6,0,0,712,153676,1208,87424,4,0,0,2048,0,0,1708,2,0,0,0,0,1,0,0,0,0,5468,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:16,6,0,0,715,160747,1208,87648,0,0,0,5058,0,0,2140,22,0,0,0,0,12,0,0,0,0,5483,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:17,7,0,0,719,168222,1208,87600,0,0,0,5854,58,0,2347,16,0,0,0,0,14,0,0,0,0,5487,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:18,7,0,0,722,173981,1208,88400,0,0,0,5377,0,0,1505,4,0,0,0,0,12,0,0,0,0,5528,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:19,7,0,0,725,179517,1208,88576,0,0,0,5314,0,0,1730,0,0,0,0,0,13,0,0,0,0,5541,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:20,7,0,0,727,185037,1208,88320,8,0,0,6016,0,0,1725,0,0,0,0,0,14,0,0,0,0,5522,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:21,7,0,0,737,205162,1208,87296,4,0,0,4962,34,0,5411,6,0,0,0,0,9,0,0,0,0,5467,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:22,7,0,0,740,207132,1208,88848,0,0,0,6392,420,0,1388,0,0,0,0,0,11,0,0,0,0,5558,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:23,7,0,0,745,216528,1208,88608,0,0,0,5139,12,0,2517,5,0,0,0,0,9,0,0,0,0,5549,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:24,4,0,0,749,224561,1208,87888,28,0,0,7859,213,0,2504,5,0,0,0,0,11,0,1,0,0,5497,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:25,5,0,0,752,225647,1208,88320,0,0,0,5699,53,0,1725,0,0,0,0,0,10,0,0,0,0,5525,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:26,5,0,0,755,226100,1208,88064,16,0,0,5054,1,0,1720,0,0,0,0,0,9,0,0,0,0,5508,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:27,6,0,0,757,227694,1208,84736,4,0,0,5435,115,0,1655,0,0,128,0,0,10,0,0,0,0,5300,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:28,6,0,0,760,227695,1208,89344,0,0,0,5569,1,0,1745,0,0,0,0,0,10,0,0,0,0,5589,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:29,1,0,0,763,227458,1208,87040,16,0,0,5699,3,0,1700,0,0,0,0,0,10,0,4,0,0,5450,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:30,1,0,0,765,227828,1208,87808,0,0,0,5120,0,0,1715,0,0,0,0,0,9,0,0,0,0,5490,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:31,1,0,0,768,227620,1208,88832,8,0,0,5763,0,0,1735,0,0,0,0,0,10,0,0,0,0,5558,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:32,1,0,0,771,227636,1208,88320,4,0,0,5504,0,0,1725,0,0,0,0,0,10,0,0,0,0,5524,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:33,1,0,0,774,227413,1208,88320,0,0,0,5744,2,0,1725,0,0,0,0,0,10,0,0,0,0,5523,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:34,1,0,0,776,227413,1208,88064,0,0,0,5506,0,0,1720,0,0,0,0,0,10,0,0,0,0,5508,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:35,1,0,0,779,227514,1208,87632,0,0,0,5384,0,0,1713,2,0,0,0,0,10,0,0,0,0,5488,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:36,1,0,0,782,227850,1208,88320,8,0,0,5185,0,0,1725,0,0,0,0,0,9,0,0,0,0,5525,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:37,2,0,0,784,227621,1208,87296,4,0,0,5688,10,0,1705,0,0,0,0,0,10,0,0,0,0,5461,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:38,3,0,0,789,224243,1207,82352,0,0,0,8870,698,0,5655,40,0,0,0,0,11,0,0,0,0,9289,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:39,4,0,0,789,223596,1207,89360,0,0,0,6272,0,0,1536,6,0,0,0,0,10,0,0,0,0,5594,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:40,4,0,0,789,223340,1207,89392,0,0,0,5762,0,0,1548,21,0,0,0,0,9,0,0,0,0,5590,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:41,4,0,0,789,222718,1206,89112,0,0,0,6207,9,0,1693,44,0,0,0,0,10,0,0,0,0,5579,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:42,4,0,0,789,222341,1206,89392,16,0,0,6024,370,0,1503,6,0,0,0,0,10,0,0,0,0,5588,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:43,6,0,0,789,221535,1206,85360,4,0,0,6083,0,0,1510,21,0,0,0,0,10,0,0,0,0,5339,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:44,6,0,0,789,221691,1206,89312,0,0,0,5464,475,0,1660,17,0,0,0,0,9,0,0,0,0,5582,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:45,6,0,0,789,221460,1206,89744,0,0,0,5857,118,0,1448,10,0,0,0,0,10,0,0,0,0,5609,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:46,6,0,0,789,221403,1206,86656,0,0,0,5432,33,0,1790,23,0,0,0,0,10,0,0,0,0,5418,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:47,6,0,0,789,221712,1206,62864,0,0,0,3810,243,0,2145,28,0,0,0,0,9,0,0,0,0,3936,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:48,6,0,0,789,221639,1206,49584,0,0,0,3200,0,0,2499,33,0,0,0,0,10,0,0,0,0,3099,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:49,6,0,0,789,221085,1206,49952,12,0,0,3635,9,0,2587,46,0,0,0,0,10,0,0,0,0,3126,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:50,6,0,0,789,221267,1206,68864,0,0,0,3902,102,0,2401,25,0,0,0,0,9,0,0,0,0,4304,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:51,6,0,0,789,221384,1206,79408,0,0,0,4986,79,0,1711,15,0,0,0,0,10,0,0,0,0,4964,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:52,6,0,0,789,221092,1206,90928,0,0,0,5919,46,0,1469,16,0,0,0,0,9,0,0,0,0,5684,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:53,6,0,0,789,221124,1206,89744,0,0,0,5585,101,0,1700,21,0,0,0,0,10,0,0,0,0,5615,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:54,6,0,0,789,221773,1206,85296,8,0,0,4590,274,0,1780,22,0,0,0,0,9,0,0,0,0,5331,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:55,4,0,0,789,221832,1206,88492,28,0,0,5721,243,0,1670,10,0,0,0,0,10,0,0,0,0,5537,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:56,5,0,0,789,221419,1206,48112,0,0,0,3769,61,0,2978,41,0,0,0,0,10,0,0,0,0,3007,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:57,5,0,0,789,224567,1206,47072,0,0,0,2966,0,0,2881,29,0,0,0,0,0,0,0,0,0,2942,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:58,5,0,0,789,224638,1206,54896,0,0,0,3364,180,0,2579,29,0,0,0,0,8,0,0,0,0,3433,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:15:59,5,0,0,789,224653,1205,74480,0,0,0,4488,404,0,2028,24,0,0,0,0,10,0,0,0,0,4661,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:16:00,3,0,0,789,224670,1205,86976,40,0,0,5490,551,0,1764,21,0,0,0,0,10,0,0,0,0,5437,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:16:01,4,0,0,789,224672,1205,82596,0,0,0,5004,619,0,1799,31,0,0,0,0,10,0,2,0,0,5166,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:16:02,5,0,0,789,224512,1204,79876,0,0,0,5317,2947,0,2027,32,0,0,0,0,11,0,0,0,0,4998,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:16:03,5,0,0,789,224632,1204,89008,0,0,0,5413,4,0,1567,21,0,0,0,0,9,0,1,0,0,5563,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:16:04,5,0,0,789,224726,1204,88880,0,0,0,5433,100,0,1665,17,0,0,0,0,10,0,0,0,0,5557,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:16:05,6,0,0,789,223016,1204,98112,32,0,0,7962,268,0,1602,15,0,0,0,0,11,0,1,0,0,6138,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:16:06,3,0,0,789,224649,1204,90560,4,0,0,3979,67,0,1753,20,0,0,0,0,8,0,2,0,0,5661,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-11 17:16:07,3,0,0,789,224658,1204,89520,0,0,0,5543,211,0,1613,21,0,0,0,0,10,0,0,0,0,5595,0,0,0,0,0,0,0,0,0,0,0,0
