CPU 4 raspberrypi,User%,Sys%,Wait%,Idle%,Steal%
2024-04-02 15:11:34,10.1,1.8,0.0,88.1,0.0
2024-04-02 15:11:35,64.0,1.0,0.0,35.0,0.0
2024-04-02 15:11:36,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:37,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:11:38,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:11:39,98.0,1.0,1.0,0.0,0.0
2024-04-02 15:11:40,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:41,97.1,1.0,0.0,2.0,0.0
2024-04-02 15:11:42,100.0,0.0,0.0,0.0,0.0
2024-04-02 15:11:43,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:44,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:11:45,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:11:46,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:11:47,94.1,5.0,0.0,1.0,0.0
2024-04-02 15:11:48,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:11:49,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:50,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:11:51,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:52,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:53,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:11:54,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:11:55,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:56,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:57,96.0,3.0,0.0,1.0,0.0
2024-04-02 15:11:58,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:11:59,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:12:00,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:01,98.0,0.0,0.0,2.0,0.0
2024-04-02 15:12:02,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:03,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:04,96.0,4.0,0.0,0.0,0.0
2024-04-02 15:12:05,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:12:06,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:07,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:12:08,98.0,0.0,0.0,2.0,0.0
2024-04-02 15:12:09,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:10,99.0,1.0,0.0,0.0,0.0
2024-04-02 15:12:11,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:12,97.0,1.0,0.0,2.0,0.0
2024-04-02 15:12:13,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:12:14,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:15,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:16,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:12:17,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:18,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:19,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:12:20,93.0,6.0,0.0,1.0,0.0
2024-04-02 15:12:21,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:22,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:23,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:24,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:12:25,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:26,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:27,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:12:28,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:12:29,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:12:30,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:31,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:32,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:33,96.0,3.0,0.0,1.0,0.0
2024-04-02 15:12:34,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:12:35,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:36,96.0,3.0,0.0,1.0,0.0
2024-04-02 15:12:37,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:12:38,99.0,0.0,0.0,1.0,0.0
2024-04-02 15:12:39,98.0,1.0,0.0,1.0,0.0
2024-04-02 15:12:40,97.0,2.0,0.0,1.0,0.0
2024-04-02 15:12:41,98.0,0.0,0.0,2.0,0.0
2024-04-02 15:12:42,96.0,4.0,0.0,0.0,0.0
2024-04-02 15:12:43,97.0,1.0,0.0,2.0,0.0
