CPU Total raspberrypi,User%,Sys%,Wait%,Idle%,Steal%,Busy,CPUs
2024-04-02 15:11:34,4.1,1.4,0.7,93.9,0.0,,4
2024-04-02 15:11:35,66.7,5.5,0.0,27.9,0.0,,4
2024-04-02 15:11:36,99.0,0.5,0.0,0.5,0.0,,4
2024-04-02 15:11:37,97.5,1.8,0.0,0.8,0.0,,4
2024-04-02 15:11:38,98.5,0.8,0.0,0.8,0.0,,4
2024-04-02 15:11:39,98.3,1.0,0.0,0.7,0.0,,4
2024-04-02 15:11:40,99.0,0.2,0.0,0.7,0.0,,4
2024-04-02 15:11:41,98.5,0.8,0.0,0.8,0.0,,4
2024-04-02 15:11:42,99.0,0.2,0.0,0.7,0.0,,4
2024-04-02 15:11:43,98.8,0.5,0.0,0.7,0.0,,4
2024-04-02 15:11:44,99.0,0.2,0.0,0.7,0.0,,4
2024-04-02 15:11:45,99.0,0.3,0.0,0.8,0.0,,4
2024-04-02 15:11:46,98.3,1.0,0.0,0.7,0.0,,4
2024-04-02 15:11:47,97.3,1.7,0.0,1.0,0.0,,4
2024-04-02 15:11:48,97.8,1.5,0.0,0.8,0.0,,4
2024-04-02 15:11:49,98.5,0.7,0.0,0.7,0.0,,4
2024-04-02 15:11:50,99.0,0.2,0.0,0.7,0.0,,4
2024-04-02 15:11:51,98.7,0.5,0.0,0.8,0.0,,4
2024-04-02 15:11:52,98.8,0.5,0.0,0.7,0.0,,4
2024-04-02 15:11:53,98.5,0.7,0.0,0.7,0.0,,4
2024-04-02 15:11:54,98.5,0.8,0.0,0.8,0.0,,4
2024-04-02 15:11:55,98.0,1.0,0.0,1.0,0.0,,4
2024-04-02 15:11:56,98.8,0.5,0.0,0.8,0.0,,4
2024-04-02 15:11:57,97.7,1.5,0.0,0.8,0.0,,4
2024-04-02 15:11:58,98.8,0.5,0.0,0.7,0.0,,4
2024-04-02 15:11:59,98.5,0.5,0.0,1.0,0.0,,4
2024-04-02 15:12:00,98.7,0.5,0.0,0.8,0.0,,4
2024-04-02 15:12:01,98.8,0.5,0.0,0.7,0.0,,4
2024-04-02 15:12:02,98.5,0.5,0.0,1.0,0.0,,4
2024-04-02 15:12:03,98.8,0.5,0.0,0.7,0.0,,4
2024-04-02 15:12:04,98.3,1.2,0.0,0.5,0.0,,4
2024-04-02 15:12:05,97.5,1.5,0.0,1.0,0.0,,4
2024-04-02 15:12:06,98.5,0.7,0.0,0.7,0.0,,4
2024-04-02 15:12:07,97.8,1.5,0.0,0.7,0.0,,4
2024-04-02 15:12:08,98.8,0.5,0.0,0.7,0.0,,4
2024-04-02 15:12:09,98.3,0.7,0.0,1.0,0.0,,4
2024-04-02 15:12:10,99.2,0.2,0.0,0.5,0.0,,4
2024-04-02 15:12:11,98.3,0.7,0.0,1.0,0.0,,4
2024-04-02 15:12:12,98.5,0.7,0.0,0.7,0.0,,4
2024-04-02 15:12:13,98.0,1.0,0.0,1.0,0.0,,4
2024-04-02 15:12:14,98.3,1.0,0.0,0.7,0.0,,4
2024-04-02 15:12:15,99.0,0.2,0.0,0.7,0.0,,4
2024-04-02 15:12:16,98.3,1.0,0.0,0.7,0.0,,4
2024-04-02 15:12:17,98.0,1.0,0.0,1.0,0.0,,4
2024-04-02 15:12:18,98.8,0.5,0.0,0.8,0.0,,4
2024-04-02 15:12:19,98.5,0.5,0.2,0.7,0.0,,4
2024-04-02 15:12:20,96.8,2.5,0.0,0.8,0.0,,4
2024-04-02 15:12:21,98.2,0.8,0.0,1.0,0.0,,4
2024-04-02 15:12:22,99.0,0.5,0.0,0.5,0.0,,4
2024-04-02 15:12:23,98.0,1.0,0.0,1.0,0.0,,4
2024-04-02 15:12:24,98.8,0.5,0.0,0.7,0.0,,4
2024-04-02 15:12:25,98.5,0.5,0.0,1.0,0.0,,4
2024-04-02 15:12:26,98.8,0.7,0.0,0.5,0.0,,4
2024-04-02 15:12:27,98.0,1.2,0.0,0.8,0.0,,4
2024-04-02 15:12:28,98.2,0.8,0.0,1.0,0.0,,4
2024-04-02 15:12:29,99.3,0.2,0.0,0.5,0.0,,4
2024-04-02 15:12:30,98.5,0.5,0.0,1.0,0.0,,4
2024-04-02 15:12:31,98.5,0.5,0.0,1.0,0.0,,4
2024-04-02 15:12:32,99.0,0.5,0.0,0.5,0.0,,4
2024-04-02 15:12:33,97.5,1.5,0.0,1.0,0.0,,4
2024-04-02 15:12:34,98.8,0.7,0.0,0.5,0.0,,4
2024-04-02 15:12:35,98.5,0.7,0.0,0.7,0.0,,4
2024-04-02 15:12:36,97.8,1.2,0.0,1.0,0.0,,4
2024-04-02 15:12:37,98.8,0.7,0.0,0.5,0.0,,4
2024-04-02 15:12:38,98.5,0.5,0.0,1.0,0.0,,4
2024-04-02 15:12:39,99.0,0.5,0.0,0.5,0.0,,4
2024-04-02 15:12:40,97.5,1.7,0.0,0.7,0.0,,4
2024-04-02 15:12:41,98.8,0.2,0.0,1.0,0.0,,4
2024-04-02 15:12:42,97.0,2.2,0.0,0.7,0.0,,4
2024-04-02 15:12:43,98.3,0.7,0.0,1.0,0.0,,4
