Processes raspberrypi,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2024-04-02 15:11:34,4,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-04-02 15:11:35,5,0,984.9,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0
2024-04-02 15:11:36,5,0,302.7,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0
2024-04-02 15:11:37,6,0,564.7,-1.0,-1.0,-1.0,18.0,-1.0,-1.0,-1.0
2024-04-02 15:11:38,5,0,665.3,-1.0,-1.0,-1.0,16.0,-1.0,-1.0,-1.0
2024-04-02 15:11:39,5,0,680.2,-1.0,-1.0,-1.0,17.9,-1.0,-1.0,-1.0
2024-04-02 15:11:40,5,0,588.6,-1.0,-1.0,-1.0,17.9,-1.0,-1.0,-1.0
2024-04-02 15:11:41,5,0,544.4,-1.0,-1.0,-1.0,18.0,-1.0,-1.0,-1.0
2024-04-02 15:11:42,5,0,523.8,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2024-04-02 15:11:43,5,0,585.1,-1.0,-1.0,-1.0,18.9,-1.0,-1.0,-1.0
2024-04-02 15:11:44,5,0,639.2,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2024-04-02 15:11:45,5,0,604.4,-1.0,-1.0,-1.0,18.0,-1.0,-1.0,-1.0
2024-04-02 15:11:46,5,0,514.8,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2024-04-02 15:11:47,5,0,576.1,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2024-04-02 15:11:48,5,0,556.7,-1.0,-1.0,-1.0,19.0,-1.0,-1.0,-1.0
2024-04-02 15:11:49,7,0,524.8,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2024-04-02 15:11:50,5,0,630.4,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2024-04-02 15:11:51,5,0,531.9,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2024-04-02 15:11:52,5,0,547.7,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2024-04-02 15:11:53,5,0,481.0,-1.0,-1.0,-1.0,15.9,-1.0,-1.0,-1.0
2024-04-02 15:11:54,5,0,549.2,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2024-04-02 15:11:55,5,0,530.5,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2024-04-02 15:11:56,5,0,622.5,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2024-04-02 15:11:57,5,0,524.3,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2024-04-02 15:11:58,5,0,540.9,-1.0,-1.0,-1.0,15.9,-1.0,-1.0,-1.0
2024-04-02 15:11:59,5,0,506.7,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2024-04-02 15:12:00,5,0,617.7,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2024-04-02 15:12:01,6,0,479.0,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2024-04-02 15:12:02,6,0,593.6,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2024-04-02 15:12:03,5,0,509.2,-1.0,-1.0,-1.0,15.9,-1.0,-1.0,-1.0
2024-04-02 15:12:04,5,0,608.8,-1.0,-1.0,-1.0,12.9,-1.0,-1.0,-1.0
2024-04-02 15:12:05,5,0,516.5,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2024-04-02 15:12:06,5,0,547.4,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
