Memory MB raspberrypi,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
2024-03-26 16:13:46,4045.2,-0.0,-0.0,100.0,1356.0,-0.0,-0.0,100.0,20.9,2296.5,2202.0,-1.0,38.7,0.0,352.8
2024-03-26 16:13:48,4045.2,-0.0,-0.0,100.0,1354.8,-0.0,-0.0,100.0,20.9,2297.2,2202.2,-1.0,38.7,0.0,353.4
2024-03-26 16:13:50,4045.2,-0.0,-0.0,100.0,1104.7,-0.0,-0.0,100.0,20.9,2297.2,2452.6,-1.0,38.7,0.0,353.4
2024-03-26 16:13:52,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.4,-1.0,38.7,0.0,353.4
2024-03-26 16:13:54,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.4,-1.0,38.7,0.0,353.4
2024-03-26 16:13:56,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.4,-1.0,38.7,0.0,353.4
2024-03-26 16:13:58,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.4,-1.0,38.8,0.0,353.4
2024-03-26 16:14:00,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.4,-1.0,38.8,0.0,353.4
2024-03-26 16:14:02,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.4,-1.0,38.8,0.0,353.4
2024-03-26 16:14:04,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.4,-1.0,38.8,0.0,353.4
2024-03-26 16:14:06,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.4,-1.0,38.8,0.0,353.4
2024-03-26 16:14:08,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.4,-1.0,38.8,0.0,353.4
2024-03-26 16:14:10,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.4,-1.0,38.8,0.0,353.4
2024-03-26 16:14:12,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.4,-1.0,38.8,0.0,353.4
2024-03-26 16:14:14,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.4,-1.0,38.8,0.0,353.4
2024-03-26 16:14:16,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.4,-1.0,38.8,0.0,353.4
2024-03-26 16:14:18,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.5,-1.0,38.8,0.0,353.4
2024-03-26 16:14:20,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.5,-1.0,38.8,0.0,353.4
2024-03-26 16:14:22,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.6,-1.0,38.8,0.0,353.5
2024-03-26 16:14:24,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.6,-1.0,38.8,0.0,353.5
2024-03-26 16:14:26,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.6,-1.0,38.8,0.0,353.5
2024-03-26 16:14:28,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.6,-1.0,38.8,0.0,353.5
2024-03-26 16:14:30,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.6,-1.0,38.8,0.0,353.5
2024-03-26 16:14:32,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.6,-1.0,38.8,0.0,353.5
2024-03-26 16:14:34,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.6,-1.0,38.8,0.0,353.5
2024-03-26 16:14:36,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.6,-1.0,38.8,0.0,353.5
2024-03-26 16:14:38,4045.2,-0.0,-0.0,100.0,1031.0,-0.0,-0.0,100.0,20.9,2297.2,2531.6,-1.0,38.8,0.0,353.5
2024-03-26 16:14:40,4045.2,-0.0,-0.0,100.0,1009.9,-0.0,-0.0,100.0,20.9,2297.2,2551.3,-1.0,38.8,0.0,353.5
2024-03-26 16:14:42,4045.2,-0.0,-0.0,100.0,893.2,-0.0,-0.0,100.0,20.9,2297.2,2669.3,-1.0,38.8,0.0,353.5
2024-03-26 16:14:44,4045.2,-0.0,-0.0,100.0,893.2,-0.0,-0.0,100.0,20.9,2297.2,2669.3,-1.0,38.8,0.0,353.5
2024-03-26 16:14:46,4045.2,-0.0,-0.0,100.0,893.2,-0.0,-0.0,100.0,20.9,2297.2,2669.3,-1.0,38.9,0.0,353.5
2024-03-26 16:14:48,4045.2,-0.0,-0.0,100.0,893.2,-0.0,-0.0,100.0,20.9,2297.3,2669.3,-1.0,38.9,0.0,353.5
2024-03-26 16:14:50,4045.2,-0.0,-0.0,100.0,893.2,-0.0,-0.0,100.0,20.9,2297.3,2669.3,-1.0,38.9,0.0,353.5
2024-03-26 16:14:52,4045.2,-0.0,-0.0,100.0,893.2,-0.0,-0.0,100.0,20.9,2297.3,2669.3,-1.0,38.9,0.0,353.5
2024-03-26 16:14:54,4045.2,-0.0,-0.0,100.0,893.2,-0.0,-0.0,100.0,20.9,2297.3,2669.3,-1.0,38.9,0.0,353.5
2024-03-26 16:14:56,4045.2,-0.0,-0.0,100.0,893.2,-0.0,-0.0,100.0,20.9,2297.3,2669.3,-1.0,38.9,0.0,353.5
2024-03-26 16:14:58,4045.2,-0.0,-0.0,100.0,893.2,-0.0,-0.0,100.0,20.9,2297.2,2669.3,-1.0,38.9,0.0,353.6
2024-03-26 16:15:00,4045.2,-0.0,-0.0,100.0,893.2,-0.0,-0.0,100.0,20.9,2297.3,2669.3,-1.0,38.9,0.0,353.6
2024-03-26 16:15:02,4045.2,-0.0,-0.0,100.0,893.2,-0.0,-0.0,100.0,20.9,2297.3,2669.3,-1.0,38.9,0.0,353.6
2024-03-26 16:15:04,4045.2,-0.0,-0.0,100.0,893.2,-0.0,-0.0,100.0,20.9,2297.2,2669.3,-1.0,38.9,0.0,353.6
2024-03-26 16:15:06,4045.2,-0.0,-0.0,100.0,893.2,-0.0,-0.0,100.0,20.9,2297.3,2669.3,-1.0,38.9,0.0,353.6
