Network I/O raspberrypi,lo-read-KB/s,eth0-read-KB/s,wlan0-read-KB/s,lo-write-KB/s,eth0-write-KB/s,wlan0-write-KB/s
2024-03-26 16:13:46,0.0,0.0,0.1,0.0,0.0,0.4
2024-03-26 16:13:48,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:13:50,0.0,0.0,0.3,0.0,0.0,5.5
2024-03-26 16:13:52,0.0,0.0,0.1,0.0,0.0,0.3
2024-03-26 16:13:54,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:13:56,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:13:58,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:00,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:02,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:14:04,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:06,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:08,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:14:10,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:12,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:14,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:14:16,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:18,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:20,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:14:22,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:24,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:26,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:14:28,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:30,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:14:32,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:34,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:36,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:14:38,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:40,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:42,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:14:44,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:46,0.0,0.0,0.1,0.0,0.0,0.2
2024-03-26 16:14:48,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:14:50,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:52,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:54,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:14:56,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:14:58,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:00,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:02,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:04,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:06,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:15:08,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:10,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:12,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:15:14,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:16,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:18,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:15:20,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:22,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:24,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:15:26,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:28,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:30,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:15:32,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:34,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:36,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:15:38,0.0,0.0,0.2,0.0,0.0,0.1
2024-03-26 16:15:40,0.0,0.0,0.2,0.0,0.0,0.0
2024-03-26 16:15:42,0.0,0.0,0.1,0.0,0.0,0.2
2024-03-26 16:15:44,0.0,0.0,0.2,0.0,0.0,0.1
2024-03-26 16:15:46,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:15:48,0.0,0.0,0.2,0.0,0.0,0.1
2024-03-26 16:15:50,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:52,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:15:54,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:56,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:15:58,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:16:00,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:02,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:04,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:16:06,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:08,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:10,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:16:12,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:14,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:16,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:16:18,0.0,0.0,0.2,0.0,0.0,0.1
2024-03-26 16:16:20,0.0,0.0,0.2,0.0,0.0,0.1
2024-03-26 16:16:22,0.0,0.0,0.1,0.0,0.0,0.0
2024-03-26 16:16:24,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:26,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:28,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:16:30,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:32,0.0,0.0,0.2,0.0,0.0,0.2
2024-03-26 16:16:34,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:16:36,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:38,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:40,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:16:42,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:44,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:46,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:16:48,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:50,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:52,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:16:54,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:56,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:16:58,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:00,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:02,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:04,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:17:06,0.0,0.0,0.1,0.0,0.0,0.2
2024-03-26 16:17:08,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:10,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:17:12,0.0,0.0,0.2,0.0,0.0,0.1
2024-03-26 16:17:14,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:16,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:17:18,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:20,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:22,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:17:24,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:26,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:28,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:17:30,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:32,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:17:34,0.0,0.0,0.1,0.0,0.0,0.2
2024-03-26 16:17:36,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:38,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:17:40,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:42,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:44,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:17:46,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:48,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:50,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:17:52,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:54,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:17:56,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:17:58,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:18:00,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:18:02,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:18:04,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:18:06,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:18:08,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:18:10,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:18:12,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:18:14,0.0,0.0,0.0,0.0,0.0,0.1
2024-03-26 16:18:16,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:18:18,0.0,0.0,0.1,0.0,0.0,0.1
2024-03-26 16:18:20,0.0,0.0,0.3,0.0,0.0,0.0
2024-03-26 16:18:22,0.0,0.0,0.2,0.0,0.0,0.1
2024-03-26 16:18:24,0.0,0.0,0.7,0.0,0.0,0.2
2024-03-26 16:18:26,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26 16:18:28,0.0,0.0,0.1,0.0,0.0,0.2
