Processes raspberrypi,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2024-03-26 16:13:46,1,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:13:48,1,0,76.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:13:50,2,0,630.3,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
2024-03-26 16:13:52,5,0,189.7,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0
2024-03-26 16:13:54,5,0,89.8,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0
2024-03-26 16:13:56,5,0,124.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:13:58,5,0,97.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:00,5,0,87.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:02,5,0,144.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:04,5,0,92.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:06,5,0,89.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:08,5,0,167.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:10,5,0,90.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:12,5,0,74.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:14,5,0,136.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:16,5,0,100.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:18,5,0,70.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:20,5,0,127.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:22,5,0,112.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:24,6,0,103.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:26,5,0,134.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:28,5,0,93.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:30,5,0,45.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:32,5,0,152.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:34,5,0,84.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:36,5,0,54.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:38,5,0,158.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:40,5,0,90.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:42,5,0,136.9,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0
2024-03-26 16:14:44,5,0,150.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:46,5,0,106.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:48,5,0,53.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:50,5,0,154.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:52,5,0,100.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:54,5,0,46.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:56,5,0,157.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:14:58,5,0,132.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:15:00,5,0,132.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:15:02,5,0,147.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:15:04,5,0,83.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:15:06,5,0,72.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:15:08,5,0,152.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:15:10,5,0,78.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:15:12,5,0,63.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:15:14,5,0,191.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:15:16,5,0,84.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:15:18,5,0,60.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:15:20,5,0,165.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:15:22,5,0,81.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:15:24,5,0,62.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-26 16:15:26,5,0,159.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
