CPU 4 raspberrypi,User%,Sys%,Wait%,Idle%,Steal%
2024-06-26 04:48:22,1.8,1.8,0.0,96.4,0.0
2024-06-26 04:48:23,77.8,1.0,0.0,21.2,0.0
2024-06-26 04:48:24,96.0,2.0,0.0,2.0,0.0
2024-06-26 04:48:25,97.0,1.0,0.0,2.0,0.0
2024-06-26 04:48:26,97.0,2.0,0.0,1.0,0.0
2024-06-26 04:48:27,95.0,3.0,0.0,2.0,0.0
2024-06-26 04:48:28,96.0,2.0,0.0,2.0,0.0
2024-06-26 04:48:29,97.0,1.0,0.0,2.0,0.0
2024-06-26 04:48:30,96.0,2.0,0.0,2.0,0.0
2024-06-26 04:48:31,97.0,1.0,0.0,2.0,0.0
2024-06-26 04:48:32,96.0,3.0,0.0,1.0,0.0
2024-06-26 04:48:33,96.0,2.0,0.0,2.0,0.0
2024-06-26 04:48:34,96.0,2.0,0.0,2.0,0.0
2024-06-26 04:48:35,97.0,1.0,0.0,2.0,0.0
2024-06-26 04:48:36,98.0,0.0,0.0,2.0,0.0
2024-06-26 04:48:37,97.0,1.0,0.0,2.0,0.0
2024-06-26 04:48:38,92.1,5.9,0.0,2.0,0.0
2024-06-26 04:48:39,97.0,2.0,0.0,1.0,0.0
2024-06-26 04:48:40,97.0,1.0,0.0,2.0,0.0
2024-06-26 04:48:41,97.0,1.0,0.0,2.0,0.0
2024-06-26 04:48:42,96.0,2.0,0.0,2.0,0.0
2024-06-26 04:48:43,94.1,4.0,0.0,2.0,0.0
2024-06-26 04:48:44,96.9,2.0,0.0,1.0,0.0
2024-06-26 04:48:45,95.0,3.0,0.0,2.0,0.0
2024-06-26 04:48:46,91.9,6.1,0.0,2.0,0.0
2024-06-26 04:48:47,97.0,1.0,0.0,2.0,0.0
2024-06-26 04:48:48,94.1,3.9,0.0,2.0,0.0
2024-06-26 04:48:49,95.0,4.0,0.0,1.0,0.0
2024-06-26 04:48:50,96.0,2.0,0.0,2.0,0.0
2024-06-26 04:48:51,95.1,2.9,0.0,2.0,0.0
2024-06-26 04:48:52,97.1,1.0,0.0,2.0,0.0
2024-06-26 04:48:53,39.8,0.0,0.0,60.2,0.0
2024-06-26 04:48:54,0.0,4.0,0.0,96.0,0.0
2024-06-26 04:48:55,0.0,0.0,0.0,100.0,0.0
2024-06-26 04:48:56,0.0,0.0,0.0,100.0,0.0
2024-06-26 04:48:57,0.0,0.0,0.0,100.0,0.0
2024-06-26 04:48:58,0.0,0.0,0.0,100.0,0.0
2024-06-26 04:48:59,0.0,0.0,0.0,100.0,0.0
2024-06-26 04:49:00,0.0,0.0,0.0,100.0,0.0
2024-06-26 04:49:01,0.0,0.0,0.0,100.0,0.0
