CPU Total raspberrypi,User%,Sys%,Wait%,Idle%,Steal%,Busy,CPUs
2024-06-26 04:48:22,2.8,1.6,0.0,95.6,0.0,,4
2024-06-26 04:48:23,79.2,2.3,0.0,18.5,0.0,,4
2024-06-26 04:48:24,97.0,1.7,0.0,1.2,0.0,,4
2024-06-26 04:48:25,97.0,1.5,0.0,1.5,0.0,,4
2024-06-26 04:48:26,97.0,1.5,0.3,1.3,0.0,,4
2024-06-26 04:48:27,96.5,2.2,0.0,1.2,0.0,,4
2024-06-26 04:48:28,96.8,1.7,0.0,1.5,0.0,,4
2024-06-26 04:48:29,97.3,1.5,0.0,1.2,0.0,,4
2024-06-26 04:48:30,97.0,1.7,0.0,1.2,0.0,,4
2024-06-26 04:48:31,97.3,1.2,0.0,1.5,0.0,,4
2024-06-26 04:48:32,97.2,1.5,0.0,1.3,0.0,,4
2024-06-26 04:48:33,96.8,2.0,0.0,1.2,0.0,,4
2024-06-26 04:48:34,97.5,1.0,0.0,1.5,0.0,,4
2024-06-26 04:48:35,98.0,0.7,0.0,1.2,0.0,,4
2024-06-26 04:48:36,97.5,0.7,0.0,1.7,0.0,,4
2024-06-26 04:48:37,97.5,1.3,0.0,1.3,0.0,,4
2024-06-26 04:48:38,96.3,2.5,0.0,1.2,0.0,,4
2024-06-26 04:48:39,97.7,1.0,0.0,1.3,0.0,,4
2024-06-26 04:48:40,97.7,0.8,0.0,1.5,0.0,,4
2024-06-26 04:48:41,98.0,0.8,0.0,1.2,0.0,,4
2024-06-26 04:48:42,96.8,1.7,0.0,1.5,0.0,,4
2024-06-26 04:48:43,96.8,2.0,0.0,1.2,0.0,,4
2024-06-26 04:48:44,97.2,1.5,0.0,1.3,0.0,,4
2024-06-26 04:48:45,97.3,1.5,0.0,1.2,0.0,,4
2024-06-26 04:48:46,95.7,2.8,0.0,1.5,0.0,,4
2024-06-26 04:48:47,97.5,1.2,0.0,1.2,0.0,,4
2024-06-26 04:48:48,96.5,2.2,0.0,1.2,0.0,,4
2024-06-26 04:48:49,96.3,1.7,0.0,2.0,0.0,,4
2024-06-26 04:48:50,97.5,1.2,0.0,1.2,0.0,,4
2024-06-26 04:48:51,96.8,1.5,0.0,1.7,0.0,,4
2024-06-26 04:48:52,97.0,1.0,0.0,2.0,0.0,,4
2024-06-26 04:48:53,40.4,1.0,0.0,58.6,0.0,,4
2024-06-26 04:48:54,0.0,1.0,0.0,99.0,0.0,,4
2024-06-26 04:48:55,0.0,0.0,0.0,100.0,0.0,,4
2024-06-26 04:48:56,0.5,0.2,0.2,99.0,0.0,,4
2024-06-26 04:48:57,0.0,0.0,0.0,100.0,0.0,,4
2024-06-26 04:48:58,0.0,0.0,0.0,100.0,0.0,,4
2024-06-26 04:48:59,0.0,0.0,0.0,100.0,0.0,,4
2024-06-26 04:49:00,8.5,0.8,0.0,90.7,0.0,,4
2024-06-26 04:49:01,0.8,0.0,0.0,99.2,0.0,,4
