Memory MB raspberrypi,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
2024-06-26 04:48:22,4045.2,-0.0,-0.0,100.0,1925.2,-0.0,-0.0,100.0,75.7,1622.3,1419.2,-1.0,52.2,0.0,491.0
2024-06-26 04:48:23,4045.2,-0.0,-0.0,100.0,1900.6,-0.0,-0.0,100.0,75.7,1622.0,1445.9,-1.0,52.2,0.0,490.6
2024-06-26 04:48:24,4045.2,-0.0,-0.0,100.0,1900.6,-0.0,-0.0,100.0,75.7,1622.0,1445.9,-1.0,52.2,0.0,490.6
2024-06-26 04:48:25,4045.2,-0.0,-0.0,100.0,1901.3,-0.0,-0.0,100.0,75.2,1621.5,1445.9,-1.0,52.2,0.0,490.6
2024-06-26 04:48:26,4045.2,-0.0,-0.0,100.0,1902.2,-0.0,-0.0,100.0,75.2,1621.5,1445.9,-1.0,52.3,0.0,490.6
2024-06-26 04:48:27,4045.2,-0.0,-0.0,100.0,1902.0,-0.0,-0.0,100.0,75.2,1621.5,1445.9,-1.0,52.3,0.0,490.7
2024-06-26 04:48:28,4045.2,-0.0,-0.0,100.0,1901.7,-0.0,-0.0,100.0,75.2,1621.5,1445.9,-1.0,52.3,0.0,490.7
2024-06-26 04:48:29,4045.2,-0.0,-0.0,100.0,1901.5,-0.0,-0.0,100.0,75.2,1621.5,1445.9,-1.0,52.3,0.0,490.7
2024-06-26 04:48:30,4045.2,-0.0,-0.0,100.0,1901.3,-0.0,-0.0,100.0,75.2,1621.5,1445.9,-1.0,52.3,0.0,490.7
2024-06-26 04:48:31,4045.2,-0.0,-0.0,100.0,1901.5,-0.0,-0.0,100.0,75.2,1621.6,1446.0,-1.0,52.3,0.0,490.8
2024-06-26 04:48:32,4045.2,-0.0,-0.0,100.0,1901.3,-0.0,-0.0,100.0,75.2,1621.6,1446.0,-1.0,52.3,0.0,490.9
2024-06-26 04:48:33,4045.2,-0.0,-0.0,100.0,1900.8,-0.0,-0.0,100.0,75.2,1621.6,1446.0,-1.0,52.3,0.0,490.9
2024-06-26 04:48:34,4045.2,-0.0,-0.0,100.0,1901.7,-0.0,-0.0,100.0,75.2,1621.6,1446.0,-1.0,52.3,0.0,490.9
2024-06-26 04:48:35,4045.2,-0.0,-0.0,100.0,1901.3,-0.0,-0.0,100.0,75.2,1621.6,1446.0,-1.0,52.3,0.0,490.9
2024-06-26 04:48:36,4045.2,-0.0,-0.0,100.0,1901.5,-0.0,-0.0,100.0,75.2,1621.6,1446.0,-1.0,52.3,0.0,490.9
2024-06-26 04:48:37,4045.2,-0.0,-0.0,100.0,1900.8,-0.0,-0.0,100.0,75.2,1621.7,1446.0,-1.0,52.3,0.0,491.0
2024-06-26 04:48:38,4045.2,-0.0,-0.0,100.0,1901.3,-0.0,-0.0,100.0,75.2,1621.7,1446.0,-1.0,52.3,0.0,491.0
2024-06-26 04:48:39,4045.2,-0.0,-0.0,100.0,1901.3,-0.0,-0.0,100.0,75.2,1621.7,1446.0,-1.0,52.3,0.0,491.0
2024-06-26 04:48:40,4045.2,-0.0,-0.0,100.0,1901.7,-0.0,-0.0,100.0,75.2,1621.7,1446.0,-1.0,52.3,0.0,491.0
2024-06-26 04:48:41,4045.2,-0.0,-0.0,100.0,1901.7,-0.0,-0.0,100.0,75.2,1621.7,1446.0,-1.0,52.3,0.0,491.0
2024-06-26 04:48:42,4045.2,-0.0,-0.0,100.0,1901.5,-0.0,-0.0,100.0,75.2,1621.7,1446.0,-1.0,52.3,0.0,491.0
2024-06-26 04:48:43,4045.2,-0.0,-0.0,100.0,1900.8,-0.0,-0.0,100.0,75.2,1621.7,1446.0,-1.0,52.3,0.0,491.0
2024-06-26 04:48:44,4045.2,-0.0,-0.0,100.0,1901.7,-0.0,-0.0,100.0,75.2,1621.7,1446.0,-1.0,52.3,0.0,491.0
2024-06-26 04:48:45,4045.2,-0.0,-0.0,100.0,1901.7,-0.0,-0.0,100.0,75.2,1621.8,1446.0,-1.0,52.3,0.0,491.0
2024-06-26 04:48:46,4045.2,-0.0,-0.0,100.0,1901.0,-0.0,-0.0,100.0,75.2,1621.8,1446.0,-1.0,52.4,0.0,491.0
2024-06-26 04:48:47,4045.2,-0.0,-0.0,100.0,1901.5,-0.0,-0.0,100.0,75.2,1621.8,1446.0,-1.0,52.4,0.0,491.1
2024-06-26 04:48:48,4045.2,-0.0,-0.0,100.0,1901.0,-0.0,-0.0,100.0,75.2,1621.8,1446.1,-1.0,52.4,0.0,491.1
2024-06-26 04:48:49,4045.2,-0.0,-0.0,100.0,1900.8,-0.0,-0.0,100.0,75.2,1621.8,1446.1,-1.0,52.4,0.0,491.1
2024-06-26 04:48:50,4045.2,-0.0,-0.0,100.0,1900.8,-0.0,-0.0,100.0,75.2,1621.8,1446.1,-1.0,52.4,0.0,491.1
2024-06-26 04:48:51,4045.2,-0.0,-0.0,100.0,1902.2,-0.0,-0.0,100.0,75.2,1621.8,1446.1,-1.0,52.4,0.0,491.1
2024-06-26 04:48:52,4045.2,-0.0,-0.0,100.0,1902.0,-0.0,-0.0,100.0,75.2,1621.8,1446.1,-1.0,52.4,0.0,491.2
2024-06-26 04:48:53,4045.2,-0.0,-0.0,100.0,1926.4,-0.0,-0.0,100.0,75.2,1621.8,1419.2,-1.0,52.4,0.0,491.2
2024-06-26 04:48:54,4045.2,-0.0,-0.0,100.0,1926.4,-0.0,-0.0,100.0,75.2,1621.8,1419.2,-1.0,52.4,0.0,491.2
2024-06-26 04:48:55,4045.2,-0.0,-0.0,100.0,1926.4,-0.0,-0.0,100.0,75.2,1621.8,1419.2,-1.0,52.4,0.0,491.2
2024-06-26 04:48:56,4045.2,-0.0,-0.0,100.0,1926.4,-0.0,-0.0,100.0,75.2,1621.8,1419.2,-1.0,52.4,0.0,491.2
2024-06-26 04:48:57,4045.2,-0.0,-0.0,100.0,1926.4,-0.0,-0.0,100.0,75.2,1621.8,1419.2,-1.0,52.4,0.0,491.2
2024-06-26 04:48:58,4045.2,-0.0,-0.0,100.0,1926.4,-0.0,-0.0,100.0,75.7,1622.4,1419.2,-1.0,52.4,0.0,491.2
2024-06-26 04:48:59,4045.2,-0.0,-0.0,100.0,1926.4,-0.0,-0.0,100.0,75.7,1622.4,1419.2,-1.0,52.4,0.0,491.2
2024-06-26 04:49:00,4045.2,-0.0,-0.0,100.0,1926.4,-0.0,-0.0,100.0,75.7,1622.4,1419.2,-1.0,52.4,0.0,491.2
2024-06-26 04:49:01,4045.2,-0.0,-0.0,100.0,1926.4,-0.0,-0.0,100.0,75.2,1621.9,1419.2,-1.0,52.4,0.0,491.2
