Network I/O raspberrypi,lo-read-KB/s,eth0-read-KB/s,wlan0-read-KB/s,lo-write-KB/s,eth0-write-KB/s,wlan0-write-KB/s
2024-06-26 04:48:22,0.0,0.0,4.4,0.0,0.0,0.1
2024-06-26 04:48:23,0.0,0.0,1.1,0.0,0.0,0.0
2024-06-26 04:48:24,0.0,0.0,2.9,0.0,0.0,0.3
2024-06-26 04:48:25,0.0,0.0,3.8,0.0,0.0,0.0
2024-06-26 04:48:26,0.0,0.0,1.1,0.0,0.0,0.0
2024-06-26 04:48:27,0.0,0.0,2.2,0.0,0.0,0.2
2024-06-26 04:48:28,0.0,0.0,3.8,0.0,0.0,0.1
2024-06-26 04:48:29,0.0,0.0,1.1,0.0,0.0,0.0
2024-06-26 04:48:30,0.0,0.0,2.9,0.0,0.0,0.3
2024-06-26 04:48:31,0.0,0.0,3.1,0.0,0.0,0.0
2024-06-26 04:48:32,0.0,0.0,1.1,0.0,0.0,0.0
2024-06-26 04:48:33,0.0,0.0,2.0,0.0,0.0,0.1
2024-06-26 04:48:34,0.0,0.0,5.0,0.0,0.0,0.1
2024-06-26 04:48:35,0.0,0.0,1.1,0.0,0.0,0.0
2024-06-26 04:48:36,0.0,0.0,2.9,0.0,0.0,0.3
2024-06-26 04:48:37,0.0,0.0,3.2,0.0,0.0,0.0
2024-06-26 04:48:38,0.0,0.0,1.1,0.0,0.0,0.0
2024-06-26 04:48:39,0.0,0.0,2.5,0.0,0.0,0.3
2024-06-26 04:48:40,0.0,0.0,5.3,0.0,0.0,0.0
2024-06-26 04:48:41,0.0,0.0,1.1,0.0,0.0,0.0
2024-06-26 04:48:42,0.0,0.0,1.5,0.0,0.0,0.3
2024-06-26 04:48:43,0.0,0.0,2.2,0.0,0.0,0.0
2024-06-26 04:48:44,0.0,0.0,1.1,0.0,0.0,0.0
2024-06-26 04:48:45,0.0,0.0,1.9,0.0,0.0,0.1
2024-06-26 04:48:46,0.0,0.0,3.3,0.0,0.0,0.1
2024-06-26 04:48:47,0.0,0.0,1.1,0.0,0.0,0.0
2024-06-26 04:48:48,0.0,0.0,1.2,0.0,0.0,0.1
2024-06-26 04:48:49,0.0,0.0,4.8,0.0,0.0,0.1
2024-06-26 04:48:50,0.0,0.0,2.1,0.0,0.0,0.0
2024-06-26 04:48:51,0.0,0.0,0.8,0.0,0.0,0.0
2024-06-26 04:48:52,0.0,0.0,1.3,0.0,0.0,0.0
2024-06-26 04:48:53,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-26 04:48:54,0.0,0.0,1.4,0.0,0.0,0.1
2024-06-26 04:48:55,0.0,0.0,2.6,0.0,0.0,0.1
2024-06-26 04:48:56,0.0,0.0,1.1,0.0,0.0,0.0
2024-06-26 04:48:57,0.0,0.0,1.1,0.0,0.0,0.3
2024-06-26 04:48:58,0.0,0.0,4.5,0.0,0.0,0.0
2024-06-26 04:48:59,0.0,0.0,1.3,0.0,0.0,0.0
2024-06-26 04:49:00,0.0,0.0,1.2,0.0,0.0,0.3
2024-06-26 04:49:01,0.0,0.0,4.3,0.0,0.0,0.0
