Processes raspberrypi,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2024-06-26 04:48:22,2,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-26 04:48:23,5,0,2242.6,-1.0,-1.0,-1.0,19.0,-1.0,-1.0,-1.0
2024-06-26 04:48:24,5,0,1523.3,-1.0,-1.0,-1.0,38.9,-1.0,-1.0,-1.0
2024-06-26 04:48:25,6,0,1344.3,-1.0,-1.0,-1.0,41.9,-1.0,-1.0,-1.0
2024-06-26 04:48:26,5,0,1251.3,-1.0,-1.0,-1.0,39.9,-1.0,-1.0,-1.0
2024-06-26 04:48:27,5,0,1642.9,-1.0,-1.0,-1.0,41.6,-1.0,-1.0,-1.0
2024-06-26 04:48:28,6,0,1248.1,-1.0,-1.0,-1.0,41.9,-1.0,-1.0,-1.0
2024-06-26 04:48:29,5,0,1119.8,-1.0,-1.0,-1.0,41.8,-1.0,-1.0,-1.0
2024-06-26 04:48:30,5,0,1248.6,-1.0,-1.0,-1.0,39.0,-1.0,-1.0,-1.0
2024-06-26 04:48:31,5,0,1303.5,-1.0,-1.0,-1.0,43.0,-1.0,-1.0,-1.0
2024-06-26 04:48:32,5,0,1142.4,-1.0,-1.0,-1.0,38.9,-1.0,-1.0,-1.0
2024-06-26 04:48:33,5,0,1461.8,-1.0,-1.0,-1.0,41.7,-1.0,-1.0,-1.0
2024-06-26 04:48:34,5,0,1424.4,-1.0,-1.0,-1.0,41.9,-1.0,-1.0,-1.0
2024-06-26 04:48:35,2,0,1048.8,-1.0,-1.0,-1.0,38.8,-1.0,-1.0,-1.0
2024-06-26 04:48:36,6,0,1370.2,-1.0,-1.0,-1.0,42.9,-1.0,-1.0,-1.0
2024-06-26 04:48:37,5,0,1269.9,-1.0,-1.0,-1.0,38.9,-1.0,-1.0,-1.0
2024-06-26 04:48:38,2,0,1339.4,-1.0,-1.0,-1.0,38.9,-1.0,-1.0,-1.0
2024-06-26 04:48:39,6,0,1491.0,-1.0,-1.0,-1.0,41.9,-1.0,-1.0,-1.0
2024-06-26 04:48:40,6,0,1466.7,-1.0,-1.0,-1.0,41.8,-1.0,-1.0,-1.0
2024-06-26 04:48:41,6,0,1199.4,-1.0,-1.0,-1.0,39.9,-1.0,-1.0,-1.0
2024-06-26 04:48:42,5,0,1283.8,-1.0,-1.0,-1.0,41.7,-1.0,-1.0,-1.0
2024-06-26 04:48:43,6,0,1451.2,-1.0,-1.0,-1.0,39.0,-1.0,-1.0,-1.0
2024-06-26 04:48:44,5,0,1295.8,-1.0,-1.0,-1.0,38.9,-1.0,-1.0,-1.0
2024-06-26 04:48:45,8,0,1506.5,-1.0,-1.0,-1.0,41.8,-1.0,-1.0,-1.0
2024-06-26 04:48:46,6,0,1499.9,-1.0,-1.0,-1.0,39.9,-1.0,-1.0,-1.0
2024-06-26 04:48:47,5,0,1164.9,-1.0,-1.0,-1.0,41.9,-1.0,-1.0,-1.0
2024-06-26 04:48:48,6,0,1475.3,-1.0,-1.0,-1.0,38.8,-1.0,-1.0,-1.0
2024-06-26 04:48:49,6,0,1720.8,-1.0,-1.0,-1.0,38.8,-1.0,-1.0,-1.0
2024-06-26 04:48:50,6,0,1400.8,-1.0,-1.0,-1.0,38.7,-1.0,-1.0,-1.0
2024-06-26 04:48:51,6,0,1510.5,-1.0,-1.0,-1.0,40.0,-1.0,-1.0,-1.0
2024-06-26 04:48:52,6,0,1452.9,-1.0,-1.0,-1.0,38.9,-1.0,-1.0,-1.0
2024-06-26 04:48:53,1,0,739.0,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2024-06-26 04:48:54,1,0,741.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-26 04:48:55,1,0,357.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-26 04:48:56,1,0,349.8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-06-26 04:48:57,1,0,674.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-26 04:48:58,1,0,766.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-26 04:48:59,2,0,260.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-26 04:49:00,1,0,1599.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-06-26 04:49:01,1,0,1089.2,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
