Processes raspberrypi,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2024-03-31 22:24:04,2,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:06,1,0,1060.6,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0
2024-03-31 22:24:08,1,0,758.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:10,1,0,848.7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-03-31 22:24:12,1,0,868.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:14,1,0,742.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:16,1,0,850.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:18,1,0,838.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:20,1,0,766.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:22,1,0,790.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:24,1,0,924.7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-03-31 22:24:26,1,0,780.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:28,1,0,814.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:30,2,0,805.7,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0
2024-03-31 22:24:32,5,0,94.5,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0
2024-03-31 22:24:34,5,0,116.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:36,5,0,176.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:38,5,0,71.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:40,5,0,103.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:42,5,0,245.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:44,5,0,106.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:46,5,0,100.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:48,5,0,179.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:50,5,0,117.9,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0
2024-03-31 22:24:52,5,0,108.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:54,5,0,175.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:56,5,0,62.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:24:58,5,0,107.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:00,5,0,232.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:02,5,0,74.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:04,5,0,105.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:06,5,0,179.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:08,5,0,141.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:10,5,0,176.4,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0
2024-03-31 22:25:12,5,0,197.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:14,5,0,79.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:16,5,0,151.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:18,5,0,210.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:20,5,0,78.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:22,5,0,152.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:24,5,0,200.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:26,5,0,73.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:28,5,0,101.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:30,5,0,165.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:32,5,0,157.4,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0
2024-03-31 22:25:34,5,0,137.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:36,5,0,265.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:38,5,0,93.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:40,5,0,135.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:42,5,0,195.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:44,5,0,250.9,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0
2024-03-31 22:25:46,5,0,327.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:48,5,0,367.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:50,5,0,303.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:52,5,0,247.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:54,5,0,381.3,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0
2024-03-31 22:25:56,5,0,231.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:25:58,5,0,269.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:00,5,0,265.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:02,5,0,243.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:04,5,0,276.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:06,5,0,261.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:08,5,0,267.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:10,5,0,226.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:12,5,0,285.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:14,5,0,247.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:16,5,0,252.8,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0
2024-03-31 22:26:18,5,0,255.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:20,5,0,298.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:22,5,0,275.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:24,5,0,284.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:26,5,0,291.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:28,5,0,248.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:30,5,0,278.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:33,5,0,321.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:35,5,0,211.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:37,5,0,321.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:39,5,0,351.8,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0
2024-03-31 22:26:41,5,0,266.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:43,5,0,305.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:45,5,0,169.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:47,5,0,196.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:49,5,0,322.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:51,5,0,340.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:53,5,0,203.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:55,5,0,306.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:57,5,0,287.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:26:59,5,0,224.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:01,5,0,348.3,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0
2024-03-31 22:27:03,5,0,319.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:05,5,0,203.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:07,5,0,303.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:09,5,0,284.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:11,5,0,229.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:13,5,0,308.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:15,5,0,320.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:17,5,0,209.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:19,5,0,311.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:21,5,0,301.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:23,5,0,229.4,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0
2024-03-31 22:27:25,5,0,350.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:27,5,0,335.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:29,5,0,202.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:31,5,0,295.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:33,5,0,308.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:35,5,0,123.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:37,5,0,236.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:39,5,0,269.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:41,5,0,229.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:43,5,0,345.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:45,5,0,199.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:47,5,0,275.8,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0
2024-03-31 22:27:49,5,0,310.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:51,5,0,213.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-03-31 22:27:53,5,0,327.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
