Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab_reclaimable,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
2024-03-31 22:24:04,4,0,0,636,10647,1449,0,0,0,0,2138,0,0,3510,0,0,0,0,0,0,0,0,0,0,1942,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-31 22:24:06,1,0,0,647,18854,1453,133628,40,0,0,204,0,0,3509,5,0,0,0,0,0,0,0,0,0,9257,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-31 22:24:08,2,0,0,652,29686,1460,173312,28,0,0,2,0,0,3385,0,0,0,0,0,0,0,0,0,0,10847,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-31 22:24:10,10,0,0,657,40198,1466,168192,56,0,0,2,0,0,3288,0,0,0,0,0,0,0,0,0,0,10528,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-31 22:24:12,1,0,0,663,50950,1472,172032,36,0,0,9,0,0,3360,0,0,0,0,0,0,0,0,0,0,10773,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-31 22:24:14,2,0,0,668,61686,1478,171776,0,0,0,0,0,0,3355,0,0,0,0,0,0,0,0,0,0,10747,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-31 22:24:16,4,0,0,673,72406,1484,171520,12,0,0,8,0,0,3350,0,0,0,0,0,0,0,0,0,0,10740,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-31 22:24:18,1,0,0,678,83110,1490,171264,16,0,0,8,0,0,3345,0,0,0,0,0,0,0,0,0,0,10723,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-31 22:24:20,2,0,0,684,93926,1496,173056,0,0,0,2,0,0,3380,0,0,0,0,0,0,0,0,0,0,10830,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-31 22:24:22,5,0,0,689,104726,1502,172800,20,0,0,3,0,0,3375,0,0,0,0,0,0,0,0,0,0,10816,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-31 22:24:24,1,0,0,694,115526,1505,172800,16,0,0,25,0,0,3375,0,0,0,0,0,0,0,0,0,0,10818,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-31 22:24:26,3,0,0,699,126102,1511,169216,0,0,0,0,0,0,3305,0,0,0,0,0,0,0,0,0,0,10588,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-31 22:24:28,5,0,0,705,136822,1517,171520,16,0,0,4,0,0,3350,0,0,0,0,0,0,0,0,0,0,10737,0,0,0,0,0,0,0,0,0,0,0,0
